Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CO2X(24),C2H4X(215),CHO2X(213),C2H4X(70)
6.384156860928122e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44392180035261103,0.10392793531530763,0.018819507638678644,6.41329328215212e-06,0.0027804999705645294,0.007159841099387045,0.004489978565936632,6.025216386449236e-05,9.853908216808043e-13,0.00245751469627758,5.79063609554272e-11,0.0003963363012404907,2.9646220873067934e-09,6.473401109133822e-05,3.234078571598338e-10,2.1429475603872593e-11,0.00021863400104480597,2.288063934176501e-06,0.0074847830164167925,0.0004240484352315644,0.0002265212695742018,9.660461544895633e-07,1.1506001661696854e-08,9.920719873557784e-09,1.501309136643274e-11,5.589951225639029e-07,0.00010347705287478872,1.3835243540396577e-06,1.255011046354888e-07,0.00014317163030655097,7.634577510828796e-09,3.6205387783726324e-06,1.0884052191991212e-05,1.3944880607064599e-08,6.779779652713587e-10,7.191236459079945e-10,4.7949999438049855e-11,1.664335239327134e-07,2.7612080221570157e-11,3.191328968014463e-10,2.412622641688781e-07,4.38468096313836e-13,6.472497020957097e-13
6.391957044828825e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439230516933209,0.1039199622724526,0.018815017990139682,6.422321835773232e-06,0.0027836849170697156,0.0071727040660293645,0.004497582764279942,6.030142812789291e-05,9.897041843854684e-13,0.00245787181672573,5.79944300924518e-11,0.00039639441999917314,2.9667225724553355e-09,6.479065259475225e-05,3.240036513299729e-10,2.1476740801900718e-11,0.00021824076183024843,2.2942834056781516e-06,0.007484229385897199,0.0004225588124051018,0.0002266891767856046,9.633630741009818e-07,1.1504928479556549e-08,9.921909571906912e-09,1.506586192725525e-11,5.613687030627281e-07,0.00010383984969243549,1.3856843276056338e-06,1.2564315303075315e-07,0.0001434299855247123,7.635708516836374e-09,3.630381054212295e-06,1.0882728273064896e-05,1.3968537203371346e-08,6.767604590290871e-10,7.19754921166537e-10,4.806032226294522e-11,1.6657083748537043e-07,2.766286328757636e-11,3.1858576721006776e-10,2.4196080922244536e-07,4.3793170809155553e-13,6.490109019971974e-13
6.399757228729528e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439242965250364,0.10391199167092224,0.018810529317291276,6.431333019837183e-06,0.0027868630693750973,0.007185574113315405,0.004505186829765159,6.035050774602187e-05,9.940309592287696e-13,0.002458226123250777,5.8082243950687697e-11,0.0003964525333705882,2.9688135931692733e-09,6.48469596677727e-05,3.2459959274032186e-10,2.1524017451098626e-11,0.00021784759811602068,2.300506871195937e-06,0.007483675818636799,0.0004210744578639518,0.00022685696993882405,9.606865274010463e-07,1.1503841927506949e-08,9.923088687560389e-09,1.5118852151853906e-11,5.637510339286622e-07,0.00010420378060035515,1.3878441213048875e-06,1.2578490253151095e-07,0.00014368848335269397,7.63683067511451e-09,3.640229652090858e-06,1.0881399389750746e-05,1.3992193315223125e-08,6.755431700232545e-10,7.203824742025649e-10,4.817072568848868e-11,1.667076381242455e-07,2.77136274038522e-11,3.1803894311158065e-10,2.4265989263301166e-07,4.373944447736156e-13,6.507732321140613e-13
6.407557412630231e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44392553485467495,0.10390402350853895,0.018806041620477713,6.440326845392589e-06,0.002790034436234724,0.00719845121775329,0.004512790752976153,6.0399402925649757e-05,9.983711687943307e-13,0.0024585776259841083,5.8169802304848975e-11,0.0003965106411830976,2.970895172997034e-09,6.490293260470021e-05,3.2519568054182947e-10,2.1571305419089962e-11,0.00021745451674789166,2.306734310035089e-06,0.007483122314613723,0.00041959536436775443,0.00022702464896851398,9.580165291623454e-07,1.1502742062845425e-08,9.924257259934974e-09,1.517206263568856e-11,5.661421303332308e-07,0.00010456884646143574,1.3900037331478203e-06,1.2592635350518895e-07,0.0001439471233116213,7.637944017135176e-09,3.6500845392546854e-06,1.0880065580447886e-05,1.4015848912549987e-08,6.74326119549099e-10,7.210063082376088e-10,4.828120950803148e-11,1.6684392640737568e-07,2.7764372465889802e-11,3.174924368899686e-10,2.4335951183523627e-07,4.3685632700099965e-13,6.525366865343216e-13
6.415357596530935e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439267666892785,0.10389605778310092,0.01880155490004045,6.44930332385952e-06,0.0027931990264938003,0.007211335355835047,0.004520394524549641,6.0448113875282327e-05,1.0027248356534606e-12,0.002458926335039668,5.825710493639283e-11,0.00039656874326636895,2.9729673355424197e-09,6.495857170572861e-05,3.2579191388897574e-10,2.1618604573866015e-11,0.00021706152453249708,2.3129657015533896e-06,0.007482568873806466,0.000418121524570799,0.00022719221381131197,9.553530938357149e-07,1.1501628942736808e-08,9.925415328365636e-09,1.522549397313037e-11,5.685420073327925e-07,0.00010493504811710661,1.3921631611610795e-06,1.2606750632342812e-07,0.00014420590492230246,7.639048574319535e-09,3.6599456830333e-06,1.0878726883405918e-05,1.403950396545122e-08,6.731093287808366e-10,7.216264265592751e-10,4.8391773516128794e-11,1.669797028977422e-07,2.7815098370052903e-11,3.1694626083248446e-10,2.440596642691106e-07,4.363173751922809e-13,6.543012593609993e-13
6.423157780431638e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44392799203601396,0.10388809449238229,0.018797069156318083,6.458262467026512e-06,0.00279635684908781,0.007224226504037339,0.004527998135175205,6.049664080514907e-05,1.0070919823650767e-12,0.002459272260513903,5.834415163349077e-11,0.0003966268394513729,2.9750301044633986e-09,6.501387727690568e-05,3.2638829193978406e-10,2.1665914783786777e-11,0.00021666862823729798,2.3192010251612797e-06,0.007482015496193873,0.0004166529310229418,0.00022735966440583615,9.526962355614079e-07,1.1500502624213337e-08,9.926562932102012e-09,1.5279146758856996e-11,5.70950679863235e-07,0.00010530238638725633,1.3943224033874706e-06,1.2620836136239108e-07,0.00014446482770524288,7.64014437803775e-09,3.6698130508395567e-06,1.0877383336724989e-05,1.4063158444195387e-08,6.718928187715328e-10,7.222428325208049e-10,4.8502417507513014e-11,1.6711496816323846e-07,2.786580501357607e-11,3.164004271151265e-10,2.447603473799832e-07,4.3577760934023597e-13,6.560669447121449e-13
6.430957964332341e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439292109021716,0.10388013363413325,0.018792584389646372,6.467204287047591e-06,0.0027995079130416567,0.007237124638822174,0.004535601575595324,6.0544983927191575e-05,1.0114726314756164e-12,0.0024596154124857093,5.843094219099948e-11,0.0003966849295703814,2.9770835034709004e-09,6.506884963009411e-05,3.269848138558326e-10,2.1713235917581997e-11,0.00021627583459054092,2.325440260321975e-06,0.007481462181755162,0.0004151895761705091,0.00022752700069265626,9.500459681771933e-07,1.1499363164174347e-08,9.927700110313796e-09,1.5333021582539073e-11,5.733681627394469e-07,0.00010567086207015083,1.396481457884805e-06,1.2634891900125582e-07,0.00014472389118065984,7.641231459608681e-09,3.679686610169813e-06,1.087603497835582e-05,1.4086812319220609e-08,6.70676610452957e-10,7.228555295406465e-10,4.861314127756844e-11,1.6724972277663746e-07,2.791649229456273e-11,3.1585494782971136e-10,2.454615586185832e-07,4.3523704982856706e-13,6.578337367208666e-13
6.438758148233044e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.443930423295164,0.10387217520608041,0.018788100600358237,6.4761287964393115e-06,0.0028026522274687935,0.007250029736637599,0.004543204836605386,6.059314345505208e-05,1.0158668055189666e-12,0.002459955801016388,5.851747641043185e-11,0.00039674301345696505,2.9791275563276325e-09,6.512348908293228e-05,3.275814788022657e-10,2.176056784435221e-11,0.00021588315028122,2.331683386551565e-06,0.007480908930469889,0.00041373145235723313,0.00022769422261430963,9.474023052027115e-07,1.1498210619386272e-08,9.928826902088616e-09,1.538711903284182e-11,5.757944706585839e-07,0.00010604047594234792,1.3986403227270598e-06,1.264891796233376e-07,0.00014498309486849712,7.642309850299835e-09,3.689566328604095e-06,1.0874681846099741e-05,1.4110465561134502e-08,6.69460724635463e-10,7.234645211020181e-10,4.87239446229061e-11,1.6738396731555998e-07,2.7967160111984122e-11,3.1530983497315826e-10,2.4616329544104435e-07,4.3469571679829603e-13,6.596016295353738e-13
6.446558332133747e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439316292225263,0.10386421920592678,0.018783617788783777,6.4850360080777635e-06,0.0028057898015703417,0.007262941773918433,0.004550807909053706,6.0641119604061875e-05,1.0202745270163901e-12,0.002460293436149587,5.860375409992762e-11,0.0003968010909459907,2.9811622868468944e-09,6.517779595879486e-05,3.281782859478057e-10,2.1807910433569796e-11,0.00021549058195904,2.3379303834191147e-06,0.007480355742317981,0.0004122785518251724,0.0002278613301153025,9.447652598485405e-07,1.1497045046482633e-08,9.929943346429021e-09,1.5441439698775347e-11,5.782296181952293e-07,0.00010641122875862045,1.400798996004409e-06,1.2662914361643575e-07,0.00014524243828843933,7.643379581327218e-09,3.6994521738062648e-06,1.0873323977608749e-05,1.4134118140714168e-08,6.682451820078765e-10,7.240698107524622e-10,4.8834827340438055e-11,1.6751770236244215e-07,2.8017808365678456e-11,3.1476510042746267e-10,2.4686555530892817e-07,4.341536299363653e-13,6.613706173190009e-13
6.45435851603445e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44393282869191375,0.10385626563135211,0.018779135955250287,6.493925935195588e-06,0.002808920644634241,0.007275860727086965,0.00455841078384155,6.068891259122983e-05,1.0246958184764371e-12,0.0024606283279112583,5.868977507422401e-11,0.00039685916187361906,2.9831877188913882e-09,6.523177058675382e-05,3.287752344647641e-10,2.185526355507999e-11,0.00021509813623438162,2.3441812305467698e-06,0.007479802617279701,0.00041083086671560813,0.0002280283231420771,9.421348450276745e-07,1.1495866501963707e-08,9.931049482257016e-09,1.549598416400168e-11,5.80673619800138e-07,0.00010678312125188086,1.4029574758218866e-06,1.2676881137115882e-07,0.00014550192095992654,7.64444068385497e-09,3.709344113524173e-06,1.087196141038554e-05,1.4157770028906468e-08,6.670300031373633e-10,7.246714021034184e-10,4.8945789227618386e-11,1.6765092850450344e-07,2.8068436956348864e-11,3.1422075599138975e-10,2.475683356892469e-07,4.3361080936258605e-13,6.631406942502343e-13
6.462158699935154e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44393402171110247,0.10384831448001298,0.01877465510008221,6.50279859137902e-06,0.0028120447660343736,0.007288786572553651,0.004566013451923145,6.073652263523089e-05,1.0291307023948792e-12,0.002460960486309602,5.877553915462622e-11,0.0003969172260773022,2.985203876372053e-09,6.528541330153894e-05,3.2937232352905226e-10,2.190262707910191e-11,0.0002147058196782685,2.350435907609853e-06,0.007479249555335671,0.00040938838906997676,0.00022819520164302584,9.395110733390111e-07,1.1494675042196528e-08,9.932145348412232e-09,1.5550753011243125e-11,5.831264898037656e-07,0.00010715615413310164,1.4051157603005805e-06,1.269081832821636e-07,0.00014576154240216875,7.645493188995378e-09,3.719242115589815e-06,1.0870594181783548e-05,1.4181421196827974e-08,6.658152084693273e-10,7.252692988297871e-10,4.905683008313352e-11,1.677836463337146e-07,2.8119045785562258e-11,3.136768133714523e-10,2.4827163405448596e-07,4.330672749386609e-13,6.649118545227543e-13
6.469958883835857e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44393520828798716,0.10384036574954296,0.01877017522360122,6.511653990564882e-06,0.0028151621752296983,0.007301719286717838,0.004573615904305682,6.078394995639462e-05,1.0335792012546351e-12,0.0024612899213350176,5.886104616897772e-11,0.00039697528339578057,2.9872107832468996e-09,6.533872444349853e-05,3.29969552320192e-10,2.195000087622955e-11,0.00021431363882233533,2.356694394336957e-06,0.007478696556466853,0.0004079511108307917,0.00022836196556849718,9.368939570737566e-07,1.1493470723414883e-08,9.933230983649537e-09,1.560574682364871e-11,5.855882424120549e-07,0.00010753032809124369,1.4072738475778183e-06,1.2704725974857442e-07,0.00014602130213415993,7.646537127808681e-09,3.7291461479194913e-06,1.0869222329006998e-05,1.4205071615764871e-08,6.646008183273128e-10,7.258635046694789e-10,4.916794970611613e-11,1.6791585644676545e-07,2.8169634755748387e-11,3.1313328415535294e-10,2.489754478826268e-07,4.325230460356697e-13,6.666840923454575e-13
6.47775906773656e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439363884305815,0.10383241943755281,0.01876569632612616,6.520492147037607e-06,0.00281827288176339,0.00731465884596845,0.0045812181320493495,6.083119477669364e-05,1.0380413375256893e-12,0.002461616642960056,5.894629595163065e-11,0.000397033333669081,2.989208463519842e-09,6.539170435856014e-05,3.305669200213267e-10,2.1997384817432832e-11,0.0002139216001587978,2.3629566705100365e-06,0.007478143620654558,0.00040651902384253487,0.00022852861487076032,9.342835082304268e-07,1.1492253601718977e-08,9.934306426642607e-09,1.5660966178660976e-11,5.880588917044065e-07,0.0001079056437931873,1.4094317358056516e-06,1.271860411721125e-07,0.00014628119967469277,7.647572531302726e-09,3.7390561785139398e-06,1.0867845889110955e-05,1.422872125717327e-08,6.633868529128868e-10,7.26454023422989e-10,4.927914789612752e-11,1.6804755944503316e-07,2.8220203770197777e-11,3.1259017984801604e-10,2.4967977465716837e-07,4.3197814250239286e-13,6.684574019424778e-13
6.485559251637263e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439375621470166,0.10382447554163075,0.0187612184079731,6.529313075426267e-06,0.0028213768952619826,0.007327605226684686,0.004588820126267314,6.0878257319732364e-05,1.042517133665021e-12,0.002461940661139367,5.90312883434157e-11,0.0003970913767385138,2.991196941239551e-09,6.544435339819122e-05,3.3116442581923134e-10,2.2044778774058535e-11,0.00021352971014042485,2.3692227159645084e-06,0.00747759074788044,0.00040509211985258425,0.00022869514950401527,9.316797384979205e-07,1.1491023733075465e-08,9.935371715982417e-09,1.571641165282186e-11,5.905384516373468e-07,0.00010828210188365921,1.4115894231520325e-06,1.273245279584424e-07,0.00014654123454237294,7.648599430432985e-09,3.7489721754584875e-06,1.0866464899001366e-05,1.4252370092679137e-08,6.621733323055545e-10,7.270408589529609e-10,4.939042445394585e-11,1.6817875593455014e-07,2.8270752733060436e-11,3.1204751186560976e-10,2.5038461186714886e-07,4.31432583920448e-13,6.702317775532315e-13
6.493359435537966e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439387294455399,0.10381653405934252,0.018756741469455315,6.538116790701594e-06,0.0028244742254344957,0.00734055840523673,0.004596421878125746,6.092513781073536e-05,1.0470066121165399e-12,0.0024622619858096512,5.91160231916123e-11,0.00039714941244666944,2.9931762404983072e-09,6.549667191935957e-05,3.3176206890432263e-10,2.2092182617831346e-11,0.00021313797518051172,2.3754925105893237e-06,0.007477037938126489,0.0004036703905121378,0.0002288615694244051,9.290826592586939e-07,1.1489781173317405e-08,9.936426890175578e-09,1.577208382322919e-11,5.930269360411087e-07,0.0001086597029851659,1.413746907801204e-06,1.2746272051770246e-07,0.00014680140625563312,7.649617856102357e-09,3.7588941069231902e-06,1.0865079395435097e-05,1.4276018094078139e-08,6.609602764626756e-10,7.276240151837318e-10,4.950177918096155e-11,1.6830944652597202e-07,2.8321281549344857e-11,3.115052915015529e-10,2.510899570071673e-07,4.308863893354897e-13,6.720072134324331e-13
6.501159619438669e-07,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4439398903345153,0.10380859498823161,0.01875226551088329,6.546903308172963e-06,0.0028275648820715793,0.007353518357986444,0.004604023378843811,6.0971836476536104e-05,1.0515097953110014e-12,0.0024625806268896103,5.920050034991846e-11,0.00039720744063741686,2.9951463854308543e-09,6.554866028449428e-05,3.3235984847066855e-10,2.2139596220854797e-11,0.00021274640165285446,2.3817660343270644e-06,0.007476485191375038,0.0004022538273770995,0.00022902787458997756,9.264922816073219e-07,1.1488525978143975e-08,9.9374719876468e-09,1.58279832609048e-11,5.955243586168105e-07,0.00010903844769793158,1.415904187952002e-06,1.276006192624114e-07,0.00014706171433274715,7.650627839160829e-09,3.7688219411629637e-06,1.0863689415020009e-05,1.429966523333593e-08,6.597477052193635e-10,7.282034961009094e-10,4.9613211878882544e-11,1.6843963183454583e-07,2.837179012491589e-11,3.1096352996621276e-10,2.517958075774038e-07,4.303395783174456e-13,6.737837038501155e-13
