Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27)
2.1205589984463757e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617359053,0.0,0.17647058999927415,8.232931637222184e-70,4.443052816415992e-48,4.882738012701065e-36,6.542490803979275e-46,0.0,6.060616565565643e-29,0.0,0.0,1.3139781485559165e-29,0.0,0.11764705999444075,1.7623039138886403e-44,0.0,7.227314395831782e-38,0.0,5.5538044461656755e-12,1.4517341213915442e-12,5.4442115241177505e-15,4.918994097352646e-15,2.360580374408233e-19,5.250277246180808e-16,9.536635085322595e-22,4.7309554020956554e-20,1.6016581319318998e-39,1.4669819860164605e-30,4.901152735818923e-46,1.049573709179578e-30,1.4208196103907566e-58,6.207164057126959e-47,4.834347457308983e-42
4.2411188957032e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561665741,0.0,0.17647058999854828,4.89449875406768e-68,1.421777465501193e-46,3.906192340814335e-35,1.720895505882099e-44,0.0,4.3021468510426465e-28,0.0,0.0,5.255914263739705e-29,0.0,0.1176470599888815,2.4850935487774844e-43,0.0,1.1563707381661619e-36,0.0,1.1107610254778071e-11,2.903468565558042e-12,1.0888425355094359e-14,9.837612400987601e-15,8.499942024150925e-19,1.0500541701645258e-15,3.4088674291707615e-21,9.461912839703738e-20,2.2581642423964527e-38,5.867929824397299e-30,7.841846370488711e-45,8.396592479906026e-30,9.09324839125527e-57,9.232075612610753e-46,6.815098403011554e-41
8.48223869021685e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615254126,0.0,0.17647058999709656,3.001887675703383e-66,4.5496869937430284e-45,3.124954643833869e-34,4.958298189381412e-43,0.0,3.223040334549224e-27,0.0,0.0,2.1023660386226276e-28,0.0,0.11764705997776301,3.709225759162736e-42,0.0,1.8501927815149416e-35,0.0,2.2215218897312766e-11,5.806935406451884e-12,2.1776853014948244e-14,1.967371552131938e-14,3.2113515716720067e-18,2.1001025564560786e-15,1.28238741623831e-20,1.892382791842851e-19,3.369331880661448e-37,2.3471723259893334e-29,1.254695059979285e-43,6.717272269539403e-29,5.819676832232543e-55,1.4162945957412125e-44,1.0166175989516644e-39
1.27233584847305e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613850843,0.0,0.17647058999564483,1.661929822943437e-65,2.1224597969302035e-44,9.27717382903415e-34,2.2166069069817344e-42,0.0,9.055122230203558e-27,0.0,0.0,4.467528039403736e-28,0.0,0.11764705996664451,1.343414089843087e-41,0.0,6.999653480628438e-35,0.0,3.3322824565158135e-11,8.710398835157062e-12,3.2665280672702745e-14,2.950868528531558e-14,6.7060633780981935e-18,3.1501464379656086e-15,2.674346046175802e-20,2.8385743267987283e-19,1.2201028445887303e-36,4.987741470520058e-29,4.7467518385142044e-43,1.9941896018352206e-28,3.254465528987454e-54,5.161067418161388e-44,3.6809533447519263e-39
1.696447827924415e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561244756,0.0,0.1764705899941931,6.231546997810298e-65,6.463342995366569e-44,2.0214408861638356e-33,6.520690368743166e-42,0.0,1.8911994423858878e-26,0.0,0.0,7.621077428037846e-28,0.0,0.11764705995552602,3.374888148920647e-41,0.0,1.8220052425675332e-34,0.0,4.4430427258314995e-11,1.1613857486931748e-11,4.3553708328357826e-14,3.934252182356842e-14,1.1333999027057766e-17,4.200185814712448e-15,4.5167607002151185e-20,3.784765901817643e-19,3.0646387769769745e-36,8.508500453213828e-29,1.2355733286981098e-42,4.3452322901859425e-28,1.139279122678337e-53,1.3011034895014052e-43,9.244813586085948e-39
2.12055980737578e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995611044277,0.0,0.17647058999274137,1.612210607623948e-64,1.3520072306190886e-43,3.528040195471126e-33,1.3420560818450834e-41,0.0,3.1978744024864037e-26,0.0,0.0,1.1310730240085857e-27,0.0,0.11764705994440752,6.368041844658351e-41,0.0,3.508642085174814e-34,0.0,5.553802792868408e-11,1.4517312016967547e-11,5.4442135982585264e-14,4.9175587830995214e-14,1.6732464208330894e-17,5.250222128229938e-15,6.6654845230394e-20,4.730957510308712e-19,5.782084041853173e-36,1.2627788546625345e-28,2.3793446874178494e-42,7.583791395688503e-28,2.5501719666873337e-53,2.459391636824419e-43,1.7441156714820435e-38
2.544671786827145e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995609640994,0.0,0.17647058999128964,3.765551826169882e-64,2.665869096737805e-43,5.715472241679763e-33,2.578194020672212e-41,0.0,5.011996606642358e-26,0.0,0.0,1.5725699448012823e-27,0.0,0.11764705993328903,1.1122636459172706e-40,0.0,6.300794952901876e-34,0.0,6.664562586234083e-11,1.742075975030399e-11,6.533056363488112e-14,5.900761145249313e-14,2.317331356819415e-17,6.30025429739265e-15,9.228625197955944e-20,5.677149169624297e-19,1.0098026891941979e-35,1.7556851361043829e-28,4.27280201491665e-42,1.2285869371766906e-27,5.483091065143976e-53,4.302213010990117e-43,3.0457469428237527e-38
2.9687837662785096e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560823771,0.0,0.17647058998983792,7.98837067270821e-64,4.82640037316732e-43,8.69638793094218e-33,4.564152500769779e-41,0.0,7.407794147534524e-26,0.0,0.0,2.0878599249556922e-27,0.0,0.11764705992217056,1.8105703830693282e-40,0.0,1.0512329566246495e-33,0.0,7.775322101169084e-11,2.032419956241936e-11,7.621899128521182e-14,6.883857464627505e-14,3.0674588862328185e-17,7.350282250137676e-15,1.221338869178014e-19,6.623340887933516e-19,1.643600547974595e-35,2.3309771972856196e-28,7.128787373218353e-42,1.8693619333078002e-27,1.068705960338068e-52,7.011646478691841e-43,4.957025904009256e-38
3.8170077251812396e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995605431156,0.0,0.1764705899869345,3.025150422123141e-63,1.4130994971206373e-42,1.7786140053455996e-32,1.2754875190973612e-40,0.0,1.4485570120594043e-25,0.0,0.0,3.352587720796892e-27,0.0,0.11764705989993361,4.2664169256176095e-40,0.0,2.59296082669522e-33,0.0,9.996840247569619e-11,2.6131047961542634e-11,9.799584657963735e-14,8.849713684506413e-14,4.904132256880444e-17,9.45032477688034e-15,1.9520730289419526e-19,8.515724552717985e-19,3.871982895495718e-35,3.7429741738271764e-28,1.7583748587459515e-41,3.823287244885582e-27,3.670550728943367e-52,1.6553623744078446e-42,1.167571492904041e-37
4.536285603449172e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995603051254,0.0,0.17647058998447246,7.498642543874585e-63,3.005291089733957e-42,2.928499652599661e-32,2.632618064164811e-40,0.0,2.3250150360048016e-25,0.0,0.0,4.670201995718503e-27,0.0,0.1176470598810771,7.815674516843217e-40,0.0,4.8854009177728944e-33,0.0,1.1880644704537814e-10,3.105510776038238e-11,1.1646220808898065e-13,1.0516370410779541e-13,6.8137721915932e-17,1.1231107123051664e-14,2.711788093329246e-19,1.0120430393853447e-18,7.091647015812929e-35,5.2140159965296565e-28,3.312952145850611e-41,6.295068666076244e-27,8.719609599886448e-52,3.0356914134219844e-42,2.138142467826455e-37
5.255563481717105e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560067136,0.0,0.17647058998201046,1.6132973635020658e-62,5.777363516675776e-42,4.49417761073015e-32,4.941741978850738e-40,0.0,3.50367728453057e-25,0.0,0.0,6.213928580644916e-27,0.0,0.11764705986222058,1.3222477976649282e-39,0.0,8.443933306045574e-33,0.0,1.3764448308356257e-10,3.597912605294378e-11,1.349285695923018e-13,1.2182702371357753e-13,9.048177274150075e-17,1.3011876549769467e-14,3.6006918861752974e-19,1.1725136536755057e-18,1.199516714911557e-34,6.937499534905588e-28,5.72610721861742e-41,9.660626055450957e-27,1.8455416271329346e-51,5.1396194241260536e-42,3.6160701141360853e-37
5.974841359985038e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995598291467,0.0,0.17647058997954848,3.2087543383862375e-62,1.0348636483950458e-41,6.545415512326954e-32,8.677658142883008e-40,0.0,5.034683677013596e-25,0.0,0.0,7.9842438777486e-27,0.0,0.1176470598433641,2.110474843061238e-39,0.0,1.370678120633447e-32,0.0,1.5648251057227832e-10,4.0903095875466446e-11,1.5339493108958778e-13,1.384870894757794e-13,1.1607966166013063e-16,1.4792633029910515e-14,4.619055627407245e-19,1.3329843031514303e-18,1.9141905229726376e-34,8.913956718546692e-28,9.295015514290454e-41,1.4069923209715414e-26,3.6167674471998816e-51,8.20795395470881e-42,5.769734464619777e-37
6.694119238252971e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559591158,0.0,0.17647058997708653,5.9939373885229705e-62,1.7518456074463615e-41,9.150170281620344e-32,1.444733993192752e-39,0.0,6.96693089198971e-25,0.0,0.0,9.981286099337156e-27,0.0,0.1176470598245076,3.215961524877271e-39,0.0,2.116880350566624e-32,0.0,1.7532052950631432e-10,4.582701044520078e-11,1.7186129258083473e-13,1.551439000547152e-13,1.449327283493196e-16,1.657337655567332e-14,5.766957328321158e-19,1.4934549927009314e-18,2.91625730284905e-34,1.1143541914057915e-27,1.4355261283178026e-40,1.9669028803100523e-26,6.663404410048577e-51,1.2512217097765847e-41,8.788921438784362e-37
8.132674994788836e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559115184,0.0,0.1764705899721627,1.8148012308258634e-61,4.3969311414766995e-41,1.627007604934405e-31,3.533102870355676e-39,0.0,1.2214970432202767e-24,0.0,0.0,1.4655544050016613e-26,0.0,0.11764705978679466,6.689976326022007e-39,0.0,4.4900982150288116e-32,0.0,2.1299654171063583e-10,5.567464889134158e-11,2.0879401554521078e-13,1.8844775815003082e-13,2.1240190777905191e-16,2.0134824744832332e-14,8.451366927496863e-19,1.814396509998678e-18,6.06391433730348e-34,1.636208849793137e-27,3.0448890826366998e-40,3.497366899230681e-26,1.9676559516959096e-50,2.60394570571497e-41,1.8269912163406248e-36
9.571230751324702e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558639213,0.0,0.17647058996723908,4.618884143746386e-61,9.607064665092632e-41,2.639547993868824e-31,7.578498887247147e-39,0.0,1.963754758579262e-24,0.0,0.0,2.0236884070231666e-26,0.0,0.11764705974908174,1.247030323673875e-38,0.0,8.479647739453041e-32,0.0,2.5067251968970515e-10,6.552198734244772e-11,2.4572673848542347e-13,2.2173860055187484e-13,2.928867586363663e-16,2.3696221107632884e-14,1.1654016814345165e-18,2.1353382445380753e-18,1.1298406106648341e-33,2.259334270213441e-27,5.750356917200185e-40,5.673857539839226e-26,4.946234289481325e-50,4.854394149908728e-41,3.4030860875148247e-36
1.1009786507860567e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558163246,0.0,0.17647058996231554,1.0351501439287803e-60,1.8926639548362317e-40,4.006718699956147e-31,1.4729999832963636e-38,0.0,2.9623775119855255e-24,0.0,0.0,2.6725322549106947e-26,0.0,0.11764705971136885,2.1424529051265618e-38,0.0,1.470162254339099e-31,0.0,2.883484634429354e-10,7.53689718338934e-11,2.826594614014703e-13,2.550164321805256e-13,3.8638236060306123e-16,2.7257565643902676e-14,1.5374908710573775e-18,2.456280235228779e-18,1.940271858185256e-33,2.98373235729715e-27,9.969744385374568e-40,8.612602989424095e-26,1.1014247772319885e-49,8.339362490433827e-41,5.842385665211549e-36
