Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57)
4.80552853323897e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552035619517263,0.0,0.1764705870058519,0.0,0.0,2.7030507579443995e-14,2.3867700128329007e-27,0.0,9.713601394360051e-17,0.0,0.0,4.55972713589631e-15,0.0,0.11760746608821214,1.117890560255594e-28,0.0,0.0,0.0,3.948248870442912e-05,5.988296415302229e-09,1.1142302499523376e-07,8.540866164506176e-11,1.1133767476005898e-07
4.835579288039479e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855203179944623,0.0,0.1764705870058523,0.0,0.0,2.754064931524929e-14,2.447074152368149e-27,0.0,9.897086984805793e-17,0.0,0.0,4.616854754029924e-15,0.0,0.11760742788750055,1.1533065423690522e-28,0.0,0.0,0.0,3.951999279264982e-05,5.988295613890964e-09,1.1211964729931253e-07,8.540915016246742e-11,1.1203429764936174e-07
4.865630042839988e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552028049868616,0.0,0.17647058700585266,0.0,0.0,2.8057168358617128e-14,2.5085138273846153e-27,0.0,1.008286862728004e-16,0.0,0.0,4.674337076583243e-15,0.0,0.11760739039172295,1.1896144770476855e-28,0.0,0.0,0.0,3.955679194762097e-05,5.988294827268558e-09,1.128162688492927e-07,8.540963961376138e-11,1.127309197966954e-07
4.895680797640498e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552024369459406,0.0,0.17647058700585305,0.0,0.0,2.858010429872418e-14,2.5711032030701603e-27,0.0,1.0270960596044059e-16,0.0,0.0,4.732174086527726e-15,0.0,0.11760735358762939,1.2268311063650482e-28,0.0,0.0,0.0,3.9592899419265956e-05,5.988294055157042e-09,1.1351288965263535e-07,8.541012998137593e-11,1.1342754120961748e-07
4.925731552441007e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552020756918495,0.0,0.17647058700585344,0.0,0.0,2.910949672434982e-14,2.6348565324028482e-27,0.0,1.0461377165338834e-16,0.0,0.0,4.79036576683942e-15,0.0,0.11760731746221902,1.2649733805823329e-28,0.0,0.0,0.0,3.9628328208462606e-05,5.988293297283659e-09,1.142095097166598e-07,8.541062124807357e-11,1.1412416189554342e-07
4.955782307241516e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552017210970265,0.0,0.17647058700585383,0.0,0.0,2.964538522387647e-14,2.699788156150825e-27,0.0,1.0654132609385204e-16,0.0,0.0,4.848912100498887e-15,0.0,0.11760728200273529,1.3040584594346102e-28,0.0,0.0,0.0,3.966309107172432e-05,5.9882925533808015e-09,1.149061290485462e-07,8.541111339694104e-11,1.1482078186174918e-07
4.985833062042025e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552013730363024,0.0,0.17647058700585416,0.0,0.0,3.0187809385289945e-14,2.765912502872194e-27,0.0,1.0849241202384004e-16,0.0,0.0,4.907813070491132e-15,0.0,0.11760724719666146,1.3441037134170792e-28,0.0,0.0,0.0,3.9697200525793076e-05,5.988291823185873e-09,1.1560274765533818e-07,8.541160641138276e-11,1.1551740111537385e-07
5.015883816842534e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855201031386862,0.0,0.17647058700585452,0.0,0.0,3.0736808796179847e-14,2.8332440889148938e-27,0.0,1.1046717218516192e-16,0.0,0.0,4.9670686598055315e-15,0.0,0.11760721303171608,1.3851267250713105e-28,0.0,0.0,0.0,3.9730668852146195e-05,5.988291106441221e-09,1.1629936554394545e-07,8.541210027511517e-11,1.1621401966342225e-07
5.045934571643043e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28552006960281995,0.0,0.17647058700585488,0.0,0.0,3.129242304373983e-14,2.9017975184165732e-27,0.0,1.124657493194296e-16,0.0,0.0,5.026678851435769e-15,0.0,0.11760717949584845,1.427145290271488e-28,0.0,0.0,0.0,3.976350810141843e-05,5.9882904028940365e-09,1.1699598272114618e-07,8.541259497216078e-11,1.1691063751276748e-07
5.075985326443552e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855200366842073,0.0,0.17647058700585525,0.0,0.0,3.185469171476797e-14,2.9715874833044757e-27,0.0,1.1448828616805868e-16,0.0,0.0,5.086643628379762e-15,0.0,0.11760714657723446,1.4701774195106484e-28,0.0,0.0,0.0,3.979573009774079e-05,5.988289712296257e-09,1.1769259919358963e-07,8.541309048684242e-11,1.1760725467015333e-07
