Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20)
7.470286969473502e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995371398707,0.0,0.1764705897449119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705804355655,0.0,0.0,0.0,0.0,1.956443471854171e-09,5.101762662532794e-10
8.142347375022628e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599534923366,0.0,0.17647058972208962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705786755067,0.0,0.0,0.0,0.0,2.132449346844369e-09,5.558208827865001e-10
8.814407780571753e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599532707519,0.0,0.17647058969929982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705769154554,0.0,0.0,0.0,0.0,2.30845447491257e-09,6.014004634097904e-10
9.486468186120878e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599530492382,0.0,0.17647058967654514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705751554116,0.0,0.0,0.0,0.0,2.4844588560619774e-09,6.469097784487038e-10
1.0158528591670004e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995282780067,0.0,0.1764705896538282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705733953754,0.0,0.0,0.0,0.0,2.6604624902970884e-09,6.923436313608863e-10
1.0830588997219129e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599526064446,0.0,0.17647058963115156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705716353466,0.0,0.0,0.0,0.0,2.836465377621554e-09,7.376968614595511e-10
1.1502649402768254e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559952385175,0.0,0.17647058960851783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470569875325,0.0,0.0,0.0,0.0,3.0124675180380138e-09,7.829643454156817e-10
1.217470980831738e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995216399693,0.0,0.17647058958592954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470568115311,0.0,0.0,0.0,0.0,3.188468911549157e-09,8.281409989711444e-10
1.3154967141290679e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599518415646,0.0,0.17647058955306916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705655481943,0.0,0.0,0.0,0.0,3.445180592738088e-09,8.938617205725401e-10
1.4135224474263978e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995151935315,0.0,0.17647058952031855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705629810934,0.0,0.0,0.0,0.0,3.7018906849249573e-09,9.593630051948998e-10
