Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44)
7.89619668065961e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599535694767,0.0,0.17647058973044497,0.0,0.0,1.4705250659413104e-28,8.036896823762641e-51,0.0,2.956463596444552e-35,0.0,0.0,1.3665362662035169e-24,0.0,0.11764705792998774,6.215671625335078e-59,0.0,0.0,0.0,2.0679850365480234e-09,5.391102294350664e-10,2.0272279256498554e-12,1.8122145044326912e-12,1.951176182239631e-14,1.955016593961374e-13
8.578947081772239e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995334399575,0.0,0.17647058970728052,0.0,0.0,1.8859055799383106e-28,1.3171040375886598e-50,0.0,4.4680323301698356e-35,0.0,0.0,1.6130492111571523e-24,0.0,0.11764705775100745,1.2004238484645183e-58,0.0,0.0,0.0,2.246790027162259e-09,5.854390904438447e-10,2.2025136623601614e-12,1.967090454304437e-12,2.3017355520644953e-14,2.124058525366967e-13
9.261697482884868e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599531185865,0.0,0.17647058968415136,0.0,0.0,2.3729540593239164e-28,2.0795736520356274e-50,0.0,6.54276103405082e-35,0.0,0.0,1.8799937613941176e-24,0.0,0.11764705757202795,2.2059986990507347e-58,0.0,0.0,0.0,2.4255942469064477e-09,6.316973204106264e-10,2.3777993985260153e-12,2.121679355112507e-12,2.68099977906704e-14,2.2931004562472174e-13
1.0627198285110125e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995266800493,0.0,0.17647058963801002,0.0,0.0,3.5848695223511457e-28,4.727362246064333e-50,0.0,1.2979905776801158e-34,0.0,0.0,2.4751776891319716e-24,0.0,0.11764705721407125,6.597240333623251e-58,0.0,0.0,0.0,2.7832003737976903e-09,7.239800825128445e-10,2.728370869224424e-12,2.4299981364703513e-12,3.525430111338758e-14,2.631184316431646e-13
1.1992699087335382e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995221777514,0.0,0.17647058959204243,0.0,0.0,5.151900669784567e-28,9.73509437667441e-50,0.0,2.369994647669692e-34,0.0,0.0,3.1520880240924956e-24,0.0,0.11764705685611763,1.7284273835401852e-57,0.0,0.0,0.0,3.140803417249617e-09,8.159152874177013e-10,3.0789423377452824e-12,2.737175093157365e-12,4.4840427139609e-14,2.969268174514649e-13
1.335819988956064e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995176793963,0.0,0.17647058954626987,0.0,0.0,7.119676715216515e-28,1.854709348267331e-49,0.0,4.054594667049244e-34,0.0,0.0,3.9107247498842885e-24,0.0,0.1176470564981671,4.079349286149394e-57,0.0,0.0,0.0,3.4984033772898118e-09,9.074603694649076e-10,3.429513804088899e-12,3.0432144539728112e-12,5.556414707037124e-14,3.307352030496314e-13
1.4723700691785896e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995131854045,0.0,0.17647058950071332,0.0,0.0,9.533826871549773e-28,3.318570217814748e-49,0.0,6.5821479540304455e-34,0.0,0.0,4.751087872664894e-24,0.0,0.11764705614021966,8.85176254851486e-57,0.0,0.0,0.0,3.8560002539450584e-09,9.985735015584818e-10,3.780085268255687e-12,3.3481204317564907e-12,6.742124806626825e-14,3.6454358843768297e-13
1.6089201494011154e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599508696183,0.0,0.17647058945539323,0.0,0.0,1.243998035085918e-27,5.638712572228825e-49,0.0,1.0233986338319947e-33,0.0,0.0,5.673177401961352e-24,0.0,0.11764705578227529,1.7927805397510403e-56,0.0,0.0,0.0,4.2135940472420675e-09,1.0892136686893952e-09,4.1306567302461634e-12,3.651897223710201e-12,8.040753292599209e-14,3.983519736156483e-13
1.745470229623641e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995042121346,0.0,0.1764705894103297,0.0,0.0,1.588376636409096e-27,9.175090491370087e-49,0.0,1.5347305287423234e-33,0.0,0.0,6.676993336646334e-24,0.0,0.117647055424334,3.4277018265600103e-56,0.0,0.0,0.0,4.571184757207997e-09,1.1793407387270877e-09,4.48122819006095e-12,3.954549011636535e-12,9.451881984753397e-14,4.321603585835655e-13
1.8820203098461668e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994997336515,0.0,0.1764705893655423,0.0,0.0,1.9910814121012645e-27,1.439027152477112e-48,0.0,2.231998324969397e-33,0.0,0.0,7.762535669133461e-24,0.0,0.11764705506639579,6.240674740458374e-56,0.0,0.0,0.0,4.928772383870303e-09,1.2689155296632355e-09,4.831799647700772e-12,4.2560799619337934e-12,1.0975094243326693e-13,4.659687433414822e-13
