Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23)
1.7734820282620205e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547374763895644,0.0,0.17644069478699642,0.0,6.564480346353293e-08,1.2455798390199982e-06,7.056872660643511e-11,0.0,2.9761429057113184e-05,0.0,0.0,2.9984003245174033e-10,0.0,0.11756232506184311,3.016262461550916e-11,0.0,1.790138690013148e-07,0.0,4.145613535613228e-05,5.986696209151153e-09,4.047819406566347e-05,9.1697091130545e-11,1.077807475906678e-05,1.531860990757078e-10,2.7284705298507327e-06,2.551309289310133e-05,1.048284040404262e-08,4.256536010846286e-06,4.389676058548622e-10,5.228310987961786e-10
1.781176633046831e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547355536846386,0.0,0.17644052350964104,0.0,6.642222767521941e-08,1.260040717914441e-06,7.162726875609569e-11,0.0,2.9931648426927006e-05,0.0,0.0,3.0151972383106214e-10,0.0,0.11756214428881864,3.048337461392033e-11,0.0,1.8026971273703963e-07,0.0,4.145604368474326e-05,5.986688845803335e-09,4.06273358002058e-05,9.169065241103395e-11,1.0781649015860186e-05,1.5298332886118475e-10,2.7354804154996488e-06,2.564019919550604e-05,1.0542853925695653e-08,4.299689321141284e-06,4.440649319563769e-10,5.25055888129672e-10
1.7888712378316415e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854733631285916,0.0,0.17644035217236462,0.0,6.720509564483285e-08,1.2745965363910205e-06,7.269701864444274e-11,0.0,3.0101924009114115e-05,0.0,0.0,3.0319865787802667e-10,0.0,0.11756196355798369,3.080610651542925e-11,0.0,1.8152758493204693e-07,0.0,4.1455952032770003e-05,5.986681482784864e-09,4.077623255014442e-05,9.168417273410384e-11,1.0785152626339966e-05,1.527814493925404e-10,2.7424624923016232e-06,2.5767147391291537e-05,1.0602887268583189e-08,4.343056923811531e-06,4.491957289364978e-10,5.272790562149308e-10
1.796565842616452e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854731709195366,0.0,0.1764401807762808,0.0,6.799341616369831e-08,1.2892473423377227e-06,7.377804517791084e-11,0.0,3.0272254696115853e-05,0.0,0.0,3.0487681253479965e-10,0.0,0.11756178286917457,3.113082250245093e-11,0.0,1.8278746445704055e-07,0.0,4.14558604001834e-05,5.98667412011859e-09,4.092488438670135e-05,9.167765303565144e-11,1.0788586740563529e-05,1.525804552039948e-10,2.7494168817709525e-06,2.589393664071578e-05,1.0662940040852995e-08,4.386638551094205e-06,4.543600136587853e-10,5.295005932802962e-10
1.8042604474012625e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547297874149336,0.0,0.17644000932248527,0.0,6.878719793199024e-08,1.3039931813177905e-06,7.487041733764246e-11,0.0,3.0442639398381573e-05,0.0,0.0,3.0655416602540973e-10,0.0,0.11756160222222843,3.145752471289462e-11,0.0,1.8404933027775387e-07,0.0,4.145576878695426e-05,5.986666757826969e-09,4.1073291385068775e-05,9.167109423624416e-11,1.0791952490461467e-05,1.523803408521468e-10,2.7563437047646182e-06,2.6020566123449062e-05,1.0723011857024313e-08,4.4304339338266924e-06,4.595578021667712e-10,5.317204896440563e-10
1.811955052186073e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854727865946535,0.0,0.1764398378120559,0.0,6.958644955914163e-08,1.3188340965828622e-06,7.597420417794558e-11,0.0,3.0613077044084416e-05,0.0,0.0,3.0823069685284665e-10,0.0,0.1175614216169831,3.178621524028358e-11,0.0,1.8531316145473828e-07,0.0,4.145567719305315e-05,5.986659395931978e-09,4.1221453624383184e-05,9.166449724136214e-11,1.0795250990121665e-05,1.521811009661716e-10,2.7632430814833796e-06,2.6147035038257244e-05,1.0783102337887265e-08,4.474442801479147e-06,4.6478910968859335e-10,5.339387357142071e-10
1.8196496569708835e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854725944792062,0.0,0.17643966624605334,0.0,7.039117956425178e-08,1.3337701290861219e-06,7.708947482475579e-11,0.0,3.078356657884224e-05,0.0,0.0,3.0990638379619945e-10,0.0,0.1175612410532773,3.211689613387925e-11,0.0,1.8657893714315289e-07,0.0,4.145558561845061e-05,5.986652034455367e-09,4.1369371187703577e-05,9.165786294163774e-11,1.079848333606832e-05,1.5198273020190519e-10,2.7701151314771242e-06,2.6273342602690582e-05,1.0843211110404132e-08,4.518664882186409e-06,4.700539506416402e-10,5.361553219882771e-10
1.827344261755694e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28547240239533817,0.0,0.17643949462552075,0.0,7.120139637649353e-08,1.3488013174954568e-06,7.821629847410255e-11,0.0,3.095410696544257e-05,0.0,0.0,3.1158120590782164e-10,0.0,0.11756106053095038,3.2449569398808846e-11,0.0,1.8784663659255265e-07,0.0,4.145549406311718e-05,5.986644673418616e-09,4.151704416198753e-05,9.16511922130834e-11,1.0801650607536872e-05,1.5178522324342004e-10,2.77695997364815e-06,2.639948805277722e-05,1.0903337807612072e-08,4.563099902779466e-06,4.753523386371932e-10,5.383702390527488e-10
1.8350388665405045e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854722103432334,0.0,0.17643932295148457,0.0,7.201710833551928e-08,1.363927698206618e-06,7.935474439057998e-11,0.0,3.1124697183572215e-05,0.0,0.0,3.132551425105296e-10,0.0,0.11756088004984251,3.2784236996196616e-11,0.0,1.8911623914667726e-07,0.0,4.145540252702314e-05,5.986637312842542e-09,4.166447263806877e-05,9.164448591731915e-11,1.0804753866744378e-05,1.515885748378645e-10,2.78377772625574e-06,2.6525470642721767e-05,1.096348206852739e-08,4.607747588816343e-06,4.806842864850612e-10,5.405834775826138e-10
1.842733471325315e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2854720183230733,0.0,0.17643915122495457,0.0,7.28383236918664e-08,1.379149305356393e-06,8.050488190582242e-11,0.0,3.129533622955074e-05,0.0,0.0,3.149281731948294e-10,0.0,0.11756069960979461,3.3120900843298596e-11,0.0,1.903877242432387e-07,0.0,4.145531101013865e-05,5.986629952747723e-09,4.181165671063392e-05,9.163774490180821e-11,1.080779415915596e-05,1.5139277975937544e-10,2.790568506920036e-06,2.6651289644608227e-05,1.102364353805124e-08,4.652607664612532e-06,4.860498061982357e-10,5.427950283412764e-10
