Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40)
6.260554107502092e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551910762247423,0.0,0.17647058607729021,0.0,0.0,7.317026066993958e-14,7.405879314481914e-20,0.0,9.269739271979468e-10,0.0,0.0,8.55663181557687e-15,0.0,0.117606217758231,4.865244284524338e-18,0.0,0.0,0.0,4.0681626571092386e-05,5.9882702059668215e-09,1.6061364719411592e-07,8.543144008052466e-11,1.4414064651687116e-07,2.440073608210368e-10,1.52179332402438e-08,9.28575146698799e-10,2.0540533172622173e-13
6.285116349737551e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855190947399543,0.0,0.17647058607000737,0.0,0.0,7.403452558885123e-14,7.506958111970746e-20,0.0,9.34249455752578e-10,0.0,0.0,8.62378217067583e-15,0.0,0.11760620487570345,4.922575287273952e-18,0.0,0.0,0.0,4.0693879196667636e-05,5.988269935583646e-09,1.6124354192314348e-07,8.543185407697245e-11,1.4470273947143527e-07,2.440048976138548e-10,1.527846685139262e-08,9.358580977462392e-10,2.0735631558382205e-13
6.30967859197301e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285519082046004,0.0,0.17647058606269625,0.0,0.0,7.49055673900843e-14,7.609041924666138e-20,0.0,9.415532981765433e-10,0.0,0.0,8.69119405657636e-15,0.0,0.11760619218174545,4.98035342576732e-18,0.0,0.0,0.0,4.0705943253958316e-05,5.988269669156009e-09,1.618734353325201e-07,8.543226829937896e-11,1.4526480376085632e-07,2.4400243522899624e-10,1.533899949702976e-08,9.431693724612381e-10,2.0931714860328946e-13
6.334240834208468e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551906953772127,0.0,0.17647058605535676,0.0,0.0,7.578341250935985e-14,7.712137146334221e-20,0.0,9.48885453023978e-10,0.0,0.0,8.75886746259434e-15,0.0,0.11760617967345506,5.038580413887235e-18,0.0,0.0,0.0,4.071782164496189e-05,5.988269406623021e-09,1.6250332742403968e-07,8.543268274389753e-11,1.4582683938823178e-07,2.439999736547205e-10,1.539953117736357e-08,9.505089693999142e-10,2.1128783295310595e-13
6.358803076443927e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551905721224874,0.0,0.17647058604798901,0.0,0.0,7.666808738206735e-14,7.816250189682526e-20,0.0,9.562459188492159e-10,0.0,0.0,8.826802378046809e-15,0.0,0.11760616734797492,5.0972579652526126e-18,0.0,0.0,0.0,4.072951722701513e-05,5.9882691479247405e-09,1.6313321819946795e-07,8.54330974067409e-11,1.4638884635663359e-07,2.439975128794671e-10,1.5460061892599446e-08,9.5787688711854e-10,2.132683707592106e-13
6.383365318679386e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855190450667731,0.0,0.17647058604059288,0.0,0.0,7.755961844326481e-14,7.921387486357067e-20,0.0,9.636346942067857e-10,0.0,0.0,8.894998792251953e-15,0.0,0.11760615520249168,5.156387793218544e-18,0.0,0.0,0.0,4.074103281348145e-05,5.9882688930021464e-09,1.6376310766054295e-07,8.54335122841803e-11,1.4695082466910833e-07,2.4399505289185424e-10,1.5520591642939964e-08,9.652731241735418e-10,2.1525876410567647e-13
6.432489803150303e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551902130477497,0.0,0.1764705860257157,0.0,0.0,7.936335486970413e-14,8.134760660943825e-20,0.0,9.784971677380069e-10,0.0,0.0,9.032176074198688e-15,0.0,0.11760613144047823,5.2760111310534794e-18,0.0,0.0,0.0,4.076353503726281e-05,5.988268394252463e-09,1.650228826464491e-07,8.543434266821739e-11,1.4807469533833917e-07,2.4399013523489555e-10,1.564164824973121e-08,9.801505505191468e-10,2.1926912555061038e-13
6.476701839174129e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28551900050721885,0.0,0.1764705860122294,0.0,0.0,8.101043100784945e-14,8.330364374371356e-20,0.0,9.919701980196637e-10,0.0,0.0,9.156529846548045e-15,0.0,0.11760611064290843,5.385236104056592e-18,0.0,0.0,0.0,4.0783198800786914e-05,5.988267957716877e-09,1.6615667565555984e-07,8.543509071152238e-11,1.4908608096743668e-07,2.439857119267276e-10,1.5750595897876543e-08,9.936370718817832e-10,2.2291217687263204e-13
6.520913875197955e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855189802510386,0.0,0.17647058599865134,0.0,0.0,8.268013229957192e-14,8.529387558820982e-20,0.0,1.0055349287148709e-09,0.0,0.0,9.28173070878376e-15,0.0,0.11760609038671446,5.49595308728926e-18,0.0,0.0,0.0,4.080232119265011e-05,5.988267532537296e-09,1.672904644319736e-07,8.54358393946972e-11,1.5009737379759778e-07,2.4398129100135303e-10,1.5859540422785527e-08,1.007215325450738e-09,2.2658719071269492e-13
6.56512591122178e-10,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855189605213299,0.0,0.1764705859849816,0.0,0.0,8.437261290214226e-14,8.73186840805306e-20,0.0,1.0191913514004816e-09,0.0,0.0,9.407778598649521e-15,0.0,0.117606070656992,5.608172063503668e-18,0.0,0.0,0.0,4.082091711718298e-05,5.988267118401043e-09,1.6842424898487922e-07,8.543658869798743e-11,1.5110857384572719e-07,2.43976872398478e-10,1.5968481825542112e-08,1.0208853028125007e-09,2.3029417779664424e-13
