Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136)
9.860394876070283e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617734437,0.0,0.1764705899996625,0.0,0.0,4.909026623409605e-37,8.485391143455024e-48,0.0,7.672998491732703e-30,0.0,0.0,2.8410320288089503e-30,0.0,0.11764705999741501,1.0489098247493393e-45,0.0,0.0,0.0,2.5824656403919437e-12,6.750423864385561e-13,2.5315058650963877e-15,2.2873318313708325e-15,6.275918874296729e-20,2.441330163514313e-16,2.566717973469034e-22,2.1998486435954364e-20,9.534632149279472e-41,3.1718509238705485e-31
1.9720798110907956e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561740818,0.0,0.176470589999325,0.0,0.0,3.9272251823970426e-36,1.0852632914762704e-46,0.0,4.957305779757248e-29,0.0,0.0,1.1364135339057902e-29,0.0,0.11764705999483001,1.3415330853967102e-44,0.0,0.0,0.0,5.164933255576913e-12,1.3500853156936172e-12,5.063013876027407e-15,4.574583893944156e-15,2.0722608832892288e-19,4.882659149847008e-16,8.380016812051263e-22,4.3996991553071874e-20,1.219458885839834e-39,1.2687411769435055e-30
3.94416045805833e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995616755664,0.0,0.17647058999864995,0.0,0.0,3.141781699101583e-35,1.518474670776645e-45,0.0,3.493342221258757e-28,0.0,0.0,4.5456555796072986e-29,0.0,0.11764705998966,1.8770411837599457e-43,0.0,0.0,0.0,1.0329867842770426e-11,2.7001709683213203e-12,1.012602989743555e-14,9.148842910614107e-15,7.412679538695531e-19,9.765307382356694e-16,2.9746332479870665e-21,8.79940019992631e-20,1.7062377547558828e-38,5.0749663323137855e-30
7.8883217519934e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615450636,0.0,0.17647058999729986,0.0,0.0,2.5134259800997276e-34,2.255115964142542e-44,0.0,2.605569141396842e-27,0.0,0.0,1.818262520015239e-28,0.0,0.11764705997932001,2.7876296753971172e-42,0.0,0.0,0.0,2.0659734444452406e-11,5.40034062678604e-12,2.0252061938436238e-14,1.82963806151076e-14,2.7896788892471657e-18,1.9530564886908665e-15,1.1143768034082932e-20,1.759880245323387e-19,2.533965909912671e-37,2.0299868729500028e-29
1.183248304592847e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561414561,0.0,0.17647058999594978,0.0,0.0,7.461705011501359e-34,8.156946761328185e-44,0.0,7.31130009069418e-27,0.0,0.0,3.863808034437473e-28,0.0,0.11764705996898002,1.0083093705978834e-41,0.0,0.0,0.0,3.0989598473429975e-11,8.100507540780526e-12,3.03780939776213e-14,2.7442938095799296e-14,5.818311982273659e-18,2.9295783431148777e-15,2.320875892891452e-20,2.6398204994986674e-19,9.165569696517336e-37,4.3137223461973065e-29
1.5776644339863538e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561284058,0.0,0.1764705899945997,0.0,0.0,1.6258610510462058e-33,2.0474506139436384e-43,0.0,1.5259225575486962e-26,0.0,0.0,6.591202100680952e-28,0.0,0.11764705995864003,2.5309268241730476e-41,0.0,0.0,0.0,4.131945992970378e-11,1.0800670612630557e-11,4.0504126014990736e-14,3.6588515457731556e-14,9.827062191011543e-18,3.906096301523232e-15,3.916959038900417e-20,3.519760785935215e-19,2.300621767412386e-36,7.35870308081326e-29
1.9720805633798608e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561153555,0.0,0.1764705899932496,0.0,0.0,2.8376309097231207e-33,3.861575231535299e-43,0.0,2.5792311443938063e-26,0.0,0.0,9.78225318190056e-28,0.0,0.11764705994830003,4.773430902384982e-41,0.0,0.0,0.0,5.164931963653933e-11,1.3500830369316829e-11,5.063015805112553e-14,4.5733426389324137e-14,1.4502241621905733e-17,4.882611610648395e-15,5.777958597261989e-20,4.399701095949964e-19,4.339066044706499e-36,1.0921330608706497e-28
2.3664966927733677e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561023052,0.0,0.17647058999189952,0.0,0.0,4.596999977162286e-33,6.741838081645862e-43,0.0,4.041150445201924e-26,0.0,0.0,1.3600604930035011e-27,0.0,0.11764705993796004,8.333826250069938e-41,0.0,0.0,0.0,6.197917697648831e-11,1.6200984659339103e-11,6.075619008558992e-14,5.4877435757851455e-14,2.007898260480261e-17,5.859123335460787e-15,7.997373323969187e-20,5.27964144631724e-19,7.575478033171228e-36,1.5184303824811514e-28
2.760912822166875e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995608925494,0.0,0.17647058999054943,0.0,0.0,6.994574277118416e-33,1.0970488688780121e-42,0.0,5.971393424068914e-26,0.0,0.0,1.8057166921537455e-27,0.0,0.11764705992762008,1.3561011433172284e-40,0.0,0.0,0.0,7.23090319083879e-11,1.890113257823074e-11,7.088222211835485e-14,6.402052795366432e-14,2.6572894762339018e-17,6.835631413634848e-15,1.0581435494538322e-19,6.159581841924081e-19,1.2327007650890146e-35,2.0159802681998613e-28
3.549745080953889e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995606315454,0.0,0.17647058998784929,0.0,0.0,1.4305534518336374e-32,2.5832899272686635e-42,0.0,1.1672209232667565e-25,0.0,0.0,2.899535326684798e-27,0.0,0.11764705990694013,3.19329633397591e-40,0.0,0.0,0.0,9.296873413136902e-11,2.4301403301286436e-11,9.113428617849215e-14,8.230380259520824e-14,4.2470464268550036e-17,8.788635999147554e-15,1.6906591373458392e-19,7.919462816553436e-19,2.9027174521138775e-35,3.237166822117035e-28
4.2517257895382977e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995603992784,0.0,0.17647058998544646,0.0,0.0,2.410612460846674e-32,4.869702786363393e-42,0.0,1.9147896034619692e-25,0.0,0.0,4.1005260632977084e-27,0.0,0.11764705988853708,6.019611959185358e-40,0.0,0.0,0.0,1.113537652578047e-10,2.910706367193542e-11,1.0915656926350667e-13,9.857079285802347e-14,5.988759959297018e-17,1.0526599005810638e-14,2.3835755955746397e-19,9.485578639652053e-19,5.471847714582597e-35,4.578005028360281e-28
4.953706498122707e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560167012,0.0,0.17647058998304366,0.0,0.0,3.7607635210604237e-32,8.404597689915922e-42,0.0,2.9315035355084264e-25,0.0,0.0,5.516876341032502e-27,0.0,0.11764705987013402,1.0389219938931436e-39,0.0,0.0,0.0,1.2973878825845667e-10,3.3912687098088075e-11,1.2717885234278627e-13,1.148346896585648e-13,8.039819198273873e-17,1.2264549707368033e-14,3.19953758009009e-19,1.1051694731236948e-18,9.443835460258805e-35,6.159280067555889e-28
