Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52)
9.547286285512288e-18,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995617744795,0.0,0.17647058999967322,0.0,0.0,4.456073052794692e-37,7.556007749733392e-48,0.0,7.052914187657374e-30,0.0,0.0,2.6634675270180747e-30,0.0,0.11764705999749708,9.340253899715791e-46,0.0,0.0,0.0,2.5004616076435472e-12,6.536069804620495e-13,2.451120014088503e-15,2.2147007786433503e-15,5.951021928560631e-20,2.363807816382809e-16,2.43530461550624e-22,2.1299942902576707e-20
1.90945806643663e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956174289,0.0,0.17647058999934642,0.0,0.0,3.564861967567608e-36,9.616967204221074e-47,0.0,4.5350597283760404e-29,0.0,0.0,1.0653876880444256e-29,0.0,0.11764705999499417,1.1887879937053622e-44,0.0,0.0,0.0,5.000925133963884e-12,1.3072144882838912e-12,4.902242105877107e-15,4.429326833544473e-15,1.9562152977525386e-19,4.72761459278756e-16,7.914278981906481e-22,4.259990389127218e-20
3.8189169422074325e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995616797103,0.0,0.1764705899986928,0.0,0.0,2.8518909839374204e-35,1.3408800080810431e-45,0.0,3.1850818052548363e-28,0.0,0.0,4.261552105943819e-29,0.0,0.11764705998998834,1.6575100363882085e-43,0.0,0.0,0.0,1.0001851583626656e-11,2.6144293170398356e-12,9.804486289028786e-15,8.858349153367857e-15,6.976337449381236e-19,9.455219014199929e-16,2.8003214487772673e-21,8.519982606325494e-20
7.637834693749038e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995615533514,0.0,0.1764705899973856,0.0,0.0,2.2815133507032662e-34,1.9870668276221232e-44,0.0,2.3707879272071144e-27,0.0,0.0,1.7046211125638665e-28,0.0,0.11764705997997668,2.456284547701311e-42,0.0,0.0,0.0,2.0003702071041176e-11,5.228857479701565e-12,1.9608974653630017e-14,1.7715474728466342e-14,2.6207211841159803e-18,1.891039133157723e-15,1.0470489149655858e-20,1.703996719053035e-19
1.1456752445290643e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995614269924,0.0,0.1764705899960784,0.0,0.0,6.773217010412976e-34,7.183588838109152e-44,0.0,6.6486732893046e-27,0.0,0.0,3.6223200324268986e-28,0.0,0.11764705996996502,8.879891235451446e-42,0.0,0.0,0.0,3.000555014654526e-11,7.84328315111571e-12,2.94134630165291e-14,2.6571681334371428e-14,5.462776274594801e-18,2.8365527123648368e-15,2.179302334055461e-20,2.55599519845666e-19
1.5275670196832249e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613006335,0.0,0.1764705899947712,0.0,0.0,1.4758436189304476e-33,1.8025565091822932e-43,0.0,1.3871730643887904e-26,0.0,0.0,6.17925196968742e-28,0.0,0.11764705995995337,2.228204499061033e-41,0.0,0.0,0.0,4.0007395810139485e-11,1.0457705334889412e-11,3.921795137772604e-14,3.5426969066432845e-14,9.223703667844656e-18,3.7820626390554236e-15,3.676790991228043e-20,3.4079937072333135e-19
2.291350569991546e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561047916,0.0,0.17647058999215678,0.0,0.0,4.283894130372553e-33,6.23031073789389e-43,0.0,3.746181543719568e-26,0.0,0.0,1.2793356597786222e-27,0.0,0.11764705993993009,7.701509056639804e-41,0.0,0.0,0.0,6.001108147672497e-11,1.5686537612960764e-11,5.882692809612501e-14,5.313538828563831e-14,1.8901799755904538e-17,5.673073920247658e-15,7.528948671268531e-20,5.11199081779581e-19
3.055134120299867e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560795199,0.0,0.17647058998954238,0.0,0.0,9.368356154419994e-33,1.5461429424077987e-42,0.0,7.785877160501683e-26,0.0,0.0,2.175814901363213e-27,0.0,0.11764705991990682,1.9112422428422527e-40,0.0,0.0,0.0,8.001475827386257e-11,2.0915347165835246e-11,7.843590480826442e-14,7.084042926991407e-14,3.195812510122428e-17,7.564071769951113e-15,1.2724194864682858e-19,6.815988096179458e-19
3.818917670608188e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995605424833,0.0,0.17647058998692797,0.0,0.0,1.7576265341823268e-32,3.26378153881319e-42,0.0,1.4107111326352675e-25,0.0,0.0,3.324153548446276e-27,0.0,0.11764705989988353,4.0344760823872664e-40,0.0,0.0,0.0,1.000184255680241e-10,2.6144125538104947e-11,9.80448815136971e-14,8.854185135386039e-14,4.863334469344961e-17,9.45505522886803e-15,1.9358455034449515e-19,8.519985602437589e-19
4.506322865885677e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995603150386,0.0,0.17647058998457504,0.0,0.0,2.8417804330732283e-32,5.879174369556901e-42,0.0,2.2310189211638457e-25,0.0,0.0,4.57754904423142e-27,0.0,0.1176470598818626,7.26745538575585e-40,0.0,0.0,0.0,1.1802171783601712e-10,3.0849991589103444e-11,1.1569296054273096e-13,1.0446997237037017e-13,6.679989605310663e-17,1.1156927777841785e-14,2.6585637864833646e-19,1.0053583609515432e-18
