Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35)
1.813216008904563e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2850622754394358,0.0,0.17607707835412598,0.0,1.0925764921574136e-05,0.0001059989971888024,9.322611453285325e-08,0.0,0.0003868936924883873,0.0,0.0,1.935465538235791e-09,0.0,0.11720458581424151,2.9794467232649823e-09,0.0,1.798453088373891e-06,0.0,4.127041269358523e-05,5.9715472079865505e-09,0.00016564111171082994,8.392676529378435e-11,1.0424655696778912e-05,6.404540537748576e-11,3.652848806148972e-06,9.656025572056328e-05,1.3622254018726624e-07,0.0002905830396739782,3.732363333359963e-08,2.6646178737107906e-09,3.846782985170437e-09
1.81735173629697e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28506121092395303,0.0,0.17607617201600767,0.0,1.0968029225193816e-05,0.0001063006890715173,9.378282688156003e-08,0.0,0.00038777648528486193,0.0,0.0,1.9382728404234156e-09,0.0,0.11720370643043597,2.98983832002516e-09,0.0,1.8007067890721498e-06,0.0,4.126994892479234e-05,5.9715089941354444e-09,0.00016583126927509752,8.391514569267275e-11,1.042377164503405e-05,6.397273327032063e-11,3.6499102734360063e-06,9.656993848214032e-05,1.365328828272411e-07,0.0002914574270468614,3.7429726048326774e-08,2.6677522001944436e-09,3.86165024100205e-09
1.821487463689377e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28506014654359585,0.0,0.17607526573095506,0.0,1.101034742723443e-05,0.00010660240244034736,9.434147521938994e-08,0.0,0.0003886591955539632,0.0,0.0,1.9410785396580375e-09,0.0,0.11720282711931504,3.0002405421336014e-09,0.0,1.8029573502267202e-06,0.0,4.1269485203450505e-05,5.9714707846987995e-09,0.00016602120815516013,8.390354105742797e-11,1.0422888747345196e-05,6.390029219820249e-11,3.6469784664659215e-06,9.657945927054797e-05,1.3684319414957648e-07,0.0002923318979403027,3.753582555482887e-08,2.670882588668882e-09,3.876536366962137e-09
1.8252096183425434e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2850591887174503,0.0,0.17607445011971812,0.0,1.1048479833330648e-05,0.0001068739626645421,9.484591561349527e-08,0.0,0.00038945356431758447,0.0,0.0,1.9436023040943014e-09,0.0,0.1172020358013549,3.0096116135402477e-09,0.0,1.8049801808873197e-06,0.0,4.126906789495628e-05,5.971436400808108e-09,0.0001661919667353778,8.389310964271941e-11,1.0422095123525913e-05,6.38352919452e-11,3.64434560583165e-06,9.658789078523213e-05,1.3712244759279125e-07,0.00029311899194758514,3.7631320852789003e-08,2.673696583184541e-09,3.889949993398931e-09
1.8289317729957097e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28505823100194755,0.0,0.17607363455135125,0.0,1.1086655787688178e-05,0.00010714553996121374,9.53519271719961e-08,0.0,0.00039024786638715986,0.0,0.0,1.9461247806278633e-09,0.0,0.11720124454209009,3.018991266990359e-09,0.0,1.807000486944981e-06,0.0,4.126865062499324e-05,5.9714020200134506e-09,0.00016636254922734874,8.388269027818323e-11,1.042130242962544e-05,6.377047730141424e-11,3.641718220824232e-06,9.65961934974431e-05,1.374016757244959e-07,0.0002939061513693424,3.772682153470284e-08,2.676507409408556e-09,3.903378865819362e-09
1.832653927648876e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2850572733976414,0.0,0.17607281902580116,0.0,1.112487523873947e-05,0.00010741713417469645,9.585951131912985e-08,0.0,0.0003910421018349578,0.0,0.0,1.948645974182792e-09,0.0,0.1172004533414366,3.028379490917241e-09,0.0,1.8090182770355594e-06,0.0,4.126823339357055e-05,5.971367642274152e-09,0.0001665329561227219,8.387228292995729e-11,1.0420510663348403e-05,6.370584754738957e-11,3.639096324039517e-06,9.66043685273482e-05,1.3768087857103397e-07,0.00029469337516026863,3.78223275483118e-08,2.6793150754342147e-09,3.916822965927499e-09
1.8363760823020424e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28505631590507874,0.0,0.17607200354301455,0.0,1.1163138135095311e-05,0.00010768874515012604,9.636866947717666e-08,0.0,0.0003918362707330781,0.0,0.0,1.951165889655024e-09,0.0,0.1171996621993107,3.0377762737754864e-09,0.0,1.811033559734876e-06,0.0,4.126781620089381e-05,5.971333269590098e-09,0.00016670318791073646,8.386188756436838e-11,1.0419719822405708e-05,6.364140196679301e-11,3.6364799277207238e-06,9.661241698583768e-05,1.3796005615812667e-07,0.00029548066228416223,3.791783883555562e-08,2.6821195918288586e-09,3.930282275494e-09
1.8400982369552087e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2850553585247998,0.0,0.1760711881029382,0.0,1.1201444425543574e-05,0.00010796037273342407,9.687940306646297e-08,0.0,0.0003926303731534514,0.0,0.0,1.953684531912575e-09,0.0,0.11719887111562956,3.047181604040772e-09,0.0,1.813046343559017e-06,0.0,4.126739904690201e-05,5.971298899560754e-09,0.0001668732450782425,8.385150414764792e-11,1.0418929904514599e-05,6.357713984637094e-11,3.6338690437625593e-06,9.662033997460075e-05,1.382392085123794e-07,0.00029626801171384883,3.8013355342734467e-08,2.6849209692984167e-09,3.943756776362467e-09
1.8434481761430584e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28505449697899266,0.0,0.17607045424334297,0.0,1.1235957146710976e-05,0.0001082048516314042,9.734041146285872e-08,0.0,0.00039334500855262895,0.0,0.0,1.9559502253469093e-09,0.0,0.11719815919021856,3.0556536998047095e-09,0.0,1.8148557194561249e-06,0.0,4.126702364139578e-05,5.9712679694252245e-09,0.00016702614762893324,8.384216926133815e-11,1.0418219765740098e-05,6.351946020942142e-11,3.6315239708218814e-06,9.662736429106206e-05,1.3849042407872255e-07,0.0002969766786302768,3.809932461983965e-08,2.687439531544691e-09,3.955896800738411e-09
1.8467981153309081e-06,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2850536355249524,0.0,0.17606972041826147,0.0,1.127050493866728e-05,0.00010844934374636725,9.780269814011652e-08,0.0,0.0003940595902151602,0.0,0.0,1.9582148949079133e-09,0.0,0.11719744731202104,3.064132701279517e-09,0.0,1.8166630842470018e-06,0.0,4.1266648267378405e-05,5.971237044057358e-09,0.00016717890948102047,8.383284400247491e-11,1.0417510371138218e-05,6.346192808435156e-11,3.629183380437593e-06,9.66342886523441e-05,1.3874161924619707e-07,0.00029768539445339384,3.8185298043198836e-08,2.6899555639335376e-09,3.968049102238962e-09
