Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
3.555219179039354e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956062991,0.0,0.17647058998783058,0.0,0.0,1.1576670266337433e-32,0.0,0.0,0.0,0.0,0.0,2.6031023139381765e-27,0.0,0.11764705990680543,0.0,0.0,0.0,0.0,9.311210303484434e-11,2.433888020699406e-11,8.24724703216641e-14,8.247247032166673e-14
4.2662630299162085e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956039468,0.0,0.17647058998539675,0.0,0.0,1.9597217034882155e-32,0.0,0.0,0.0,0.0,0.0,3.703173482859644e-27,0.0,0.11764705988816655,0.0,0.0,0.0,0.0,1.1173449983955744e-10,2.920658658573946e-11,9.896696472013278e-14,9.89669647201365e-14
5.688350731669916e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995599242195,0.0,0.17647058998052909,0.0,0.0,4.555672025250248e-32,0.0,0.0,0.0,0.0,0.0,6.502856629036876e-27,0.0,0.11764705985088879,0.0,0.0,0.0,0.0,1.4897926841316498e-10,3.894187806116756e-11,1.3195595350110665e-13,1.3195595350111322e-13
7.110438433423625e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559453762,0.0,0.1764705899756616,0.0,0.0,8.832305097873891e-32,0.0,0.0,0.0,0.0,0.0,1.0105288622090299e-26,0.0,0.11764705981361104,0.0,0.0,0.0,0.0,1.8622400346535216e-10,4.867696402826299e-11,1.6494494226070597e-13,1.6494494226071611e-13
8.532526135177334e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558983306,0.0,0.17647058997079415,0.0,0.0,1.5212861313150024e-31,0.0,0.0,0.0,0.0,0.0,1.4509905972376194e-26,0.0,0.11764705977633336,0.0,0.0,0.0,0.0,2.234687050196796e-10,5.841179274342904e-11,1.9793393099894528e-13,1.979339309989598e-13
9.954613836931043e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558512854,0.0,0.1764705899659269,0.0,0.0,2.4118468324682145e-31,0.0,0.0,0.0,0.0,0.0,1.9715916232449537e-26,0.0,0.11764705973905569,0.0,0.0,0.0,0.0,2.607133731092687e-10,6.814631272686274e-11,2.3092291971584505e-13,2.309229197158648e-13
1.2798789240438462e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995575719634,0.0,0.17647058995619294,0.0,0.0,5.118659066708493e-31,0.0,0.0,0.0,0.0,0.0,3.253137263540431e-26,0.0,0.11764705966450048,0.0,0.0,0.0,0.0,3.35202608925372e-10,8.761422096241004e-11,2.9690089708564433e-13,2.9690089708567684e-13
1.564296464394588e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599556631092,0.0,0.17647058994645987,0.0,0.0,9.340231617014874e-31,0.0,0.0,0.0,0.0,0.0,4.8550320613800864e-26,0.0,0.11764705958994542,0.0,0.0,0.0,0.0,4.096917109697423e-10,1.070802774604708e-10,3.6287887437013546e-13,3.6287887437018403e-13
2.133131545096071e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995547494256,0.0,0.17647058992699743,0.0,0.0,2.36739697289213e-30,0.0,0.0,0.0,0.0,0.0,9.019957015999252e-26,0.0,0.11764705944083566,0.0,0.0,0.0,0.0,5.586695137075446e-10,1.4600519117940626e-10,4.94834828683157e-13,4.948348286832471e-13
2.7019666257975548e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599552867888,0.0,0.17647058990754114,0.0,0.0,4.810584737529588e-30,0.0,0.0,0.0,0.0,0.0,1.4466280849020014e-25,0.0,0.11764705929172645,0.0,0.0,0.0,0.0,7.076467813603592e-10,1.8491776715559648e-10,6.267907826549063e-13,6.267907826550512e-13
