Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147)
1.0885581199127143e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561770052,0.0,0.17647058999962742,1.6812828314862006e-71,1.5837559239058016e-49,6.6049164830214475e-37,3.2497817765290864e-47,0.0,9.949595192861981e-30,0.0,0.0,3.462507785069691e-30,0.0,0.11764705999714624,1.499258092906007e-45,0.0,5.0185966676176924e-39,0.0,2.8509648603772928e-12,7.452266152728903e-13,2.7947068040210297e-15,2.5251412803096666e-15,7.397352679212333e-20,2.695155338659648e-16,3.0199008315230413e-22,2.4285671454355403e-20,1.3627073602895498e-40,3.865693313646748e-31,3.4033265212409554e-47,1.4197663404193094e-31,2.5998433207277533e-60,4.807174431547561e-48,4.113350529514486e-43,4.331521575198635e-58,8.570817573373663e-34
2.177117162608363e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561734034,0.0,0.1764705899992548,9.607648532129079e-70,5.0680242220875144e-48,5.283938411447358e-36,7.390113680448742e-46,0.0,6.520205013813328e-29,0.0,0.0,1.3850039944147076e-29,0.0,0.11764705999429248,1.9458952737196275e-44,0.0,8.029762716737155e-38,0.0,5.701931876259145e-12,1.4904538226959752e-12,5.589415976961984e-15,5.050185120311013e-15,2.4752784852162776e-19,5.390309005087826e-16,9.996571297175215e-22,4.857136353950295e-20,1.768505624377491e-39,1.5462783096581757e-30,5.445327433438744e-46,1.1358141280257853e-30,1.663901407459057e-58,6.872353997856901e-47,5.337932902370653e-42,1.9587342186534524e-56,3.428329211431605e-33
4.3542352479996604e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995616619984,0.0,0.17647058999850956,5.719819450839092e-68,1.6217683844067503e-46,4.227152818421604e-35,1.95253318812401e-44,0.0,4.640278835325588e-28,0.0,0.0,5.540017737382598e-29,0.0,0.11764705998858496,2.7513655350390266e-43,0.0,1.2847625094726594e-36,0.0,1.1403865124151608e-11,2.9809079605433415e-12,1.1178834322290699e-14,1.009997407768609e-14,8.933586194859343e-19,1.0780604467134344e-15,3.582018860557765e-21,9.714274799323293e-20,2.500097888546658e-38,6.185115221427778e-30,8.712526043932737e-45,9.086515999800416e-30,1.0648972293712452e-56,1.0235781942980438e-45,7.545202084173151e-41,1.0317284416942517e-54,1.37133212416014e-32
8.708471418782255e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561517927,0.0,0.17647058999701912,3.511354234134859e-66,5.1896576949835386e-45,3.3817230892439674e-34,5.639929494113925e-43,0.0,3.4817150318726145e-27,0.0,0.0,2.2160074460575295e-28,0.0,0.11764705997716991,4.1133870996147837e-42,0.0,2.0556195253713676e-35,0.0,2.2807728484452424e-11,5.9618140205756515e-12,2.235767101073531e-14,2.0198357243277535e-14,3.379767318597262e-18,2.1561147908197122e-15,1.3494831959572395e-20,1.9428551910118406e-19,3.7363881722801463e-37,2.4740465075154428e-29,1.3940037473413607e-43,7.269210774735113e-29,6.815339584225972e-55,1.5717289848699343e-44,1.1273540784136807e-39,5.9503498565652695e-53,5.485329425281138e-32
1.3062707589564849e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995613738555,0.0,0.17647058999552867,1.944308866786961e-65,2.421010434776723e-44,1.0039452253254709e-33,2.5226400127018715e-42,0.0,9.786063266856242e-27,0.0,0.0,4.709016041367214e-28,0.0,0.11764705996575489,1.4903891667973827e-41,0.0,7.776824286827675e-35,0.0,3.4211588709269993e-11,8.942716388058819e-12,3.353650769696706e-14,3.0295545801040313e-14,7.060781837748873e-18,3.2341643866439014e-15,2.815571378222717e-20,2.914282937953012e-19,1.3535557868968857e-36,5.25734913006312e-29,5.273783261204585e-43,2.1580462570156137e-28,3.811257588004961e-54,5.728794584759916e-44,4.08350634584193e-39,3.210372960718103e-52,1.1656325697025605e-31
1.7416943760347442e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561229784,0.0,0.17647058999403822,7.291289890448692e-65,7.372493291334253e-44,2.1875368116705713e-33,7.423369167800024e-42,0.0,2.0443571995205069e-26,0.0,0.0,8.033027558932033e-28,0.0,0.11764705995433986,3.745018424277569e-41,0.0,2.024302261223163e-34,0.0,4.561544579860517e-11,1.1923613586114957e-11,4.4715344380985887e-14,4.039153989229773e-14,1.193626085856858e-17,4.3122092342068864e-15,4.7564643415482314e-20,3.8857107282299684e-19,3.4006508219195276e-36,8.968419431080283e-29,1.3727589139758272e-42,4.702267050338967e-28,1.33419331234556e-53,1.4444279453519945e-43,1.0258241467881737e-38,1.0906523860929458e-51,1.988432103075694e-31
2.1771179931130036e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561085714,0.0,0.17647058999254778,1.8865469649211806e-64,1.542184001027529e-43,3.817929009664463e-33,1.5280822907137207e-41,0.0,3.4573109199831634e-26,0.0,0.0,1.1922121063277407e-27,0.0,0.11764705994292482,7.067323373973787e-41,0.0,3.898206133873047e-34,0.0,5.7019300755812727e-11,1.4904506323768723e-11,5.5894181063499895e-14,5.0486721814161326e-14,1.7623907913053708e-17,5.3902508529622794e-15,7.02022355217161e-20,4.857138551563039e-19,6.416830065799237e-36,1.3310371776522461e-28,2.6435230846057824e-42,8.206928687494934e-28,2.986469512124073e-53,2.730505162169075e-43,1.935542427157004e-38,2.4131577628939467e-51,2.9511075777656724e-31
2.612541610191263e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560941643,0.0,0.17647058999105733,4.406605895900657e-64,3.0408569606559354e-43,6.185095992762419e-33,2.936028493411774e-41,0.0,5.419190122422824e-26,0.0,0.0,1.6575737255073988e-27,0.0,0.11764705993150978,1.2345424423957074e-40,0.0,7.000371193952202e-34,0.0,6.842315282837769e-11,1.788539170626995e-11,6.707301774397794e-14,6.058080502352634e-14,2.4410265621709896e-17,6.46828810334647e-15,9.720800250254262e-20,5.828566429353312e-19,1.12078051744517e-35,1.8505870459074388e-28,4.747210764017177e-42,1.3295361840143357e-27,6.421168556717925e-53,4.776780103929002e-43,3.3804012118967145e-38,5.069919467028633e-51,4.103026982291594e-31
3.0479652272695225e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560797572,0.0,0.17647058998956688,9.348873019935735e-64,5.505293908786826e-43,9.410944864820555e-33,5.198284497917721e-41,0.0,8.010316897402493e-26,0.0,0.0,2.200717218057197e-27,0.0,0.11764705992009475,2.009804337001179e-40,0.0,1.167951151825658e-33,0.0,7.982700196613294e-11,2.0866268516700844e-11,7.825185442238455e-14,7.067377050613283e-14,3.2314348213082774e-17,7.546320909401658e-15,1.2865789873476644e-19,6.799994368864653e-19,1.824396137007053e-35,2.456975980438359e-28,7.920295836031202e-42,2.022961636988069e-27,1.2515460575302242e-52,7.785490698823558e-43,5.50216459314347e-38,9.693989656695158e-51,5.447481524625522e-31
3.483388844347782e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560653501,0.0,0.17647058998807644,1.8196700939710166e-63,9.467402299077657e-43,1.3671828135305463e-32,8.74639533321651e-41,0.0,1.1360418385672617e-25,0.0,0.0,2.825631397928902e-27,0.0,0.11764705990867974,3.1211263743008333e-40,0.0,1.8553059776729835e-33,0.0,9.123084801857619e-11,2.3847134994651512e-11,8.943069109861348e-14,8.076556107179653e-14,4.1393345772155464e-17,8.624349043232662e-15,1.6477980916514892e-19,7.771422384132001e-19,2.832864033940155e-35,3.15465727327868e-28,1.2581477514577915e-41,2.9388774655443617e-27,2.313099071216407e-52,1.21020756537794e-42,8.542907342903123e-38,1.7569056155097592e-50,6.9943448161578324e-31
