Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153)
1.1161209152116648e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956176914,0.0,0.17647058999961798,1.944023600329002e-71,1.7946773262958533e-49,7.119446077153544e-37,3.6249761909231967e-47,0.0,1.0628887869704215e-29,0.0,0.0,3.6400722868564856e-30,0.0,0.11764705999707398,1.6415172437771465e-45,0.0,5.5465226743000204e-39,0.0,2.9231526064622322e-12,7.64096097659353e-13,2.865470073476395e-15,2.5890777333129912e-15,7.713922791746088e-20,2.7633978675852553e-16,3.1477280853179053e-22,2.4900595893579177e-20,1.4920062907142233e-40,4.063933996453067e-31,3.761335872261486e-47,1.5303675550692884e-31,3.020681418735851e-60,5.287372830680576e-48,4.5036341349027564e-43,4.952643287010065e-58,9.010346679696444e-34,1.2416517756891326e-44,8.222065289307055e-53
2.2322427765715546e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956173221,0.0,0.17647058999923593,1.1126268675737237e-69,5.742973399492095e-48,5.695562493771064e-36,8.29848612009375e-46,0.0,6.989815902002417e-29,0.0,0.0,1.456029840272808e-29,0.0,0.11764705999414796,2.1382333736475254e-44,0.0,8.874445155951913e-38,0.0,5.846307416223884e-12,1.5281928003816469e-12,5.730942575850075e-15,5.178052973939017e-15,2.589658232703482e-19,5.526793917868947e-16,1.0455136846311035e-21,4.98012129424673e-20,1.943301126161609e-39,1.6255746333079164e-30,6.018142899422904e-46,1.2242951793774284e-30,1.9332380563876058e-58,7.570606318577356e-47,5.865505270563627e-42,2.2548441605641407e-56,3.604140965934708e-33,9.933221217641983e-44,1.3155060964062484e-51
4.464486499291334e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285559956165835,0.0,0.17647058999847184,6.632680681631942e-68,1.8377521939583873e-46,4.556452247009029e-35,2.2016569814104553e-44,0.0,4.986428100141121e-28,0.0,0.0,5.824121211019964e-29,0.0,0.11764705998829592,3.0309208694471536e-43,0.0,1.4199117405641137e-36,0.0,1.1692616211677425e-11,3.056385907251123e-12,1.1461887580015874e-14,1.0355689414395075e-14,9.366592842051535e-19,1.1053573538868407e-15,3.7548961475555406e-21,9.960244734531308e-20,2.7540977982549523e-38,6.502300618573322e-30,9.629030946724793e-45,9.794364576610094e-30,1.2372727272794499e-56,1.1290634623003423e-45,8.311713179268917e-41,1.1927264064378408e-54,1.4416568486555954e-32,7.946579361496669e-43,2.1047285856141085e-50
8.928973944730893e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561510631,0.0,0.17647058999694365,4.0753050636307107e-66,5.880805606577084e-45,3.645162697079181e-34,6.3744695422703015e-43,0.0,3.746802475968606e-27,0.0,0.0,2.32964885348801e-28,0.0,0.11764705997659183,4.538241082440752e-42,0.0,2.2718581931040965e-35,0.0,2.338523050630638e-11,6.112769732734185e-12,2.2923777586021176e-14,2.0709706284485507e-14,3.548054923537839e-18,2.210708286282101e-15,1.416524137362465e-20,1.992049185211284e-19,4.122228472347965e-37,2.600920689219962e-29,1.5406444655611299e-43,7.835489296073119e-29,7.918542129214993e-55,1.7352025341701569e-44,1.2437556556778916e-39,6.895316971432463e-53,5.766628373581512e-32,6.357263802720999e-42,3.367303206427748e-49
1.339346139017045e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561362912,0.0,0.17647058999541546,2.2569296564612445e-65,2.743435580319481e-44,1.0821535615621693e-33,2.8525604643536187e-42,0.0,1.0535338960559403e-26,0.0,0.0,4.950504043318051e-28,0.0,0.11764705996488775,1.6449355230927284e-41,0.0,8.594898764508286e-35,0.0,3.507784150465814e-11,9.169149578024101e-12,3.438566758970013e-14,3.106246729610454e-14,7.415306935340719e-18,3.316054226895284e-15,2.9567144357097034e-20,2.988073927789993e-19,1.493879418486577e-36,5.526956776971897e-29,5.828553155011725e-43,2.326160097245726e-28,4.4281877745360494e-54,6.325988342863528e-44,4.5067762064725635e-39,3.721795764302169e-52,1.2254085985583655e-31,1.817780065921957e-41,1.28375237653389e-48
1.7857948835610008e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561215193,0.0,0.17647058999388726,8.464651180066558e-65,8.354346530333527e-44,2.3579481151616966e-33,8.396750588169732e-42,0.0,2.2013819286853818e-26,0.0,0.0,8.444977689799558e-28,0.0,0.1176470599531837,4.134285841658593e-41,0.0,2.2372464714226864e-34,0.0,4.677044920673365e-11,1.2225523851193541e-11,4.5847557591052676e-14,4.1413972601571015e-14,1.2538262993140437e-17,4.421395175748916e-15,4.996058255572908e-20,3.984098717063207e-19,3.754024102806865e-36,9.428338370737268e-29,1.5171647856594246e-42,5.068577971431623e-28,1.5501598359147135e-53,1.5952068602183644e-43,1.1324007457444614e-38,1.2647518444668362e-51,2.090402978540134e-31,3.8342244603245807e-41,3.4538613483406724e-48
2.2322436281049566e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561067474,0.0,0.17647058999235907,2.190317063853492e-64,1.7475688277671475e-43,4.115349494502573e-33,1.7287035206196126e-41,0.0,3.723320897559367e-26,0.0,0.0,1.2533511886423631e-27,0.0,0.11764705994147963,7.802829296627744e-41,0.0,4.308273507040976e-34,0.0,5.846305466734173e-11,1.5281893316498694e-11,5.730944759082323e-14,5.1764624099960875e-14,1.8515024691423454e-17,5.526732730216865e-15,7.374825388042532e-20,4.980123545706883e-19,7.084432916594205e-36,1.399295493407699e-28,2.921605592157027e-42,8.846255755105578e-28,3.469890773869495e-53,3.0157346855961915e-43,2.1368731568761179e-38,2.798722922585204e-51,3.102446424920558e-31,6.518181374119514e-41,6.985782628194323e-48
2.6786923726489124e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560919755,0.0,0.17647058999083087,5.116478505168035e-64,3.445831844968784e-43,6.666921150887575e-33,3.321984495788843e-41,0.0,5.836730111884509e-26,0.0,0.0,1.7425775062063805e-27,0.0,0.11764705992977556,1.3631664621818198e-40,0.0,7.736767129086205e-34,0.0,7.015565709537694e-11,1.8338254853689762e-11,6.87713375884534e-14,6.211412056069448e-14,2.5646822105765845e-17,6.6320656922974e-15,1.021281062241334e-19,5.976148433659193e-19,1.2375124295007135e-35,1.9454889449273243e-28,5.2465883634883023e-42,1.4331081954479557e-27,7.460566096800576e-53,5.276079752393691e-43,3.7323973376540235e-38,5.88083132847818e-51,4.313438619653882e-31,1.0260145536105272e-40,1.3045845347644846e-47
3.125141117192868e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560772036,0.0,0.17647058998930268,1.0855499384318992e-63,6.238477167451818e-43,1.0144066873362471e-32,5.882318639989917e-41,0.0,8.628183660298599e-26,0.0,0.0,2.3135745111481208e-27,0.0,0.11764705991807149,2.2193913022403858e-40,0.0,1.2908123873019187e-33,0.0,8.18482564380995e-11,2.1394607151052537e-11,8.023322758390591e-14,7.246244199724511e-14,3.395364172682492e-17,7.737393982137871e-15,1.3517998864127286e-19,6.972173390624219e-19,2.014578237080899e-35,2.5829747492316796e-28,8.753462582580891e-42,2.18055200852929e-27,1.4541343780128495e-52,8.599695150587503e-43,6.075588626064823e-38,1.1245806993997756e-50,5.726839551229311e-31,1.521698229015877e-40,2.2524353168684016e-47
3.571589861736824e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560624318,0.0,0.17647058998777454,2.1130125695874849e-63,1.072825044478672e-42,1.4736877208076802e-32,9.89834403487968e-41,0.0,1.2237500966424268e-25,0.0,0.0,2.9705355719786044e-27,0.0,0.11764705990636742,3.4468606447525803e-40,0.0,2.0504726302408128e-33,0.0,9.35408525372891e-11,2.4450948311043364e-11,9.169511757706905e-14,8.280952829116018e-14,4.3495601907061786e-17,8.842717360156833e-15,1.7314347181102195e-19,7.968198429103676e-19,3.12839594240245e-35,3.316434572599323e-28,1.3904972042865344e-41,3.167818303320295e-27,2.6875214058174302e-52,1.3368259662130262e-42,9.433885459151011e-38,2.0383641387214113e-50,7.353029170709785e-31,2.1641678708267305e-40,3.660020505727236e-47
