Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58)
4.50567554655792e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560315253,0.0,0.17647058998457724,0.0,0.0,2.8278196186578557e-32,3.9147231396282346e-58,0.0,2.2056598561841772e-41,0.0,0.0,4.571309638312471e-27,0.0,0.11764705988187958,9.238895508786547e-69,0.0,0.0,0.0,1.180047645922643e-10,3.084556143610923e-11,1.1567634160729207e-13,1.0445504566949473e-13,6.570931087422474e-17,1.1155325438628763e-14,2.6118831941846135e-19
6.007567421934925e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559818318,0.0,0.17647058997943646,0.0,0.0,6.573684962128216e-32,2.0909637902658204e-57,0.0,8.93115587718884e-41,0.0,0.0,8.027323406988614e-27,0.0,0.11764705984250616,1.0606333699130848e-67,0.0,0.0,0.0,1.5733961391170195e-10,4.1127135592692705e-11,1.5423512277257451e-13,1.392456349222471e-13,1.1537228705052946e-16,1.487365691287768e-14,4.586504294406566e-19
7.509459297311929e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559321386,0.0,0.1764705899742958,0.0,0.0,1.2744712708561767e-31,7.545139496270125e-57,0.0,2.64516540710412e-40,0.0,0.0,1.2474274692156013e-26,0.0,0.1176470598031328,5.8001492173930236e-67,0.0,0.0,0.0,1.9667442584187475e-10,5.1408467667063275e-11,1.9279390391146778e-13,1.7402199704083251e-13,1.7926237354896407e-16,1.8591931768451397e-14,7.127286697384935e-19
9.011351172688933e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995588244576,0.0,0.17647058996915527,0.0,0.0,2.195162301174944e-31,2.150292564465897e-56,0.0,6.43911387093055e-40,0.0,0.0,1.7911467904493534e-26,0.0,0.11764705976375947,2.29846943086252e-66,0.0,0.0,0.0,2.360092004090638e-10,6.16894967079536e-11,2.313526850239897e-13,2.0878414786014092e-13,2.5736373549691874e-16,2.2310150045959743e-14,1.0233824321884176e-18
1.0513243048065937e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599558327533,0.0,0.1764705899640149,0.0,0.0,3.480208742977496e-31,5.236965979095078e-56,0.0,1.3703867472269136e-39,0.0,0.0,2.4337924822230225e-26,0.0,0.11764705972438616,7.479247007336687e-66,0.0,0.0,0.0,2.7534393765021405e-10,7.197016207557889e-11,2.6991146611016536e-13,2.4353210724875554e-13,3.4965650433441674e-16,2.6028311802157915e-14,1.3905549639938427e-18
1.3517026798819947e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995573336995,0.0,0.17647058995373494,0.0,0.0,7.386038979753605e-31,2.4104338661683606e-55,0.0,4.834563727046014e-39,0.0,0.0,4.015771277913511e-26,0.0,0.11764705964563968,6.122598800097614e-65,0.0,0.0,0.0,3.540133001891389e-10,9.253015968944958e-11,3.470290282035002e-13,3.12985488054609e-13,5.767799419918456e-16,3.346446580645133e-14,2.2944005100587065e-18
1.6520810549573956e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995563398895,0.0,0.17647058994345602,0.0,0.0,1.3477611877423498e-30,7.922356257735339e-55,0.0,1.3100079849711157e-38,0.0,0.0,5.99319878565574e-26,0.0,0.11764705956689335,2.9258213142611355e-64,0.0,0.0,0.0,4.3268251352121555e-10,1.130879760752855e-10,4.241465901915106e-13,3.823822094702515e-13,8.605626746976719e-16,4.090039388251702e-14,3.4241641260749153e-18
2.2528378051081975e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599554352361,0.0,0.17647058992290246,0.0,0.0,3.416066375617685e-30,5.465849108303383e-54,0.0,6.325716408996489e-38,0.0,0.0,1.113450842485496e-25,0.0,0.11764705940940114,4.050463024837293e-63,0.0,0.0,0.0,5.900204925250215e-10,1.5419512879548228e-10,5.783817138515086e-13,5.210058433267821e-13,1.5979368293316365e-15,5.577157221542371e-14,6.361480103917393e-18
2.8535945552589995e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995523649863,0.0,0.17647058990235612,0.0,0.0,6.941495445998304e-30,2.1986877192937773e-53,0.0,2.040031955311836e-37,0.0,0.0,1.7857615681648045e-25,0.0,0.11764705925190952,2.4547920059306517e-62,0.0,0.0,0.0,7.473578747037846e-10,1.952877493692805e-10,7.326168370901484e-13,6.594033933979187e-13,2.5613943886570937e-15,7.064184691618437e-14,1.020238758843631e-17
3.4543513054098014e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599550377803,0.0,0.17647058988181902,0.0,0.0,1.2312612432195714e-29,6.668242429725767e-53,0.0,5.223592502470707e-37,0.0,0.0,2.6162550930719913e-25,0.0,0.1176470590944185,1.042894854632361e-61,0.0,0.0,0.0,9.046946600483095e-10,2.3636197222380615e-10,8.868519599073869e-13,7.97575224091392e-13,3.750570944905292e-15,8.551121802233772e-14,1.4946849035155198e-17
4.055108055560603e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995483908514,0.0,0.17647058986129305,0.0,0.0,1.9917983358833513e-29,1.6928478429389035e-52,0.0,1.150582328300311e-36,0.0,0.0,3.604935271236696e-25,0.0,0.11764705893692808,3.574273251169898e-61,0.0,0.0,0.0,1.0620308485463229e-09,2.77413938708039e-10,1.0410870823031832e-12,9.355216980300058e-13,5.1651038752370475e-15,1.0037968556675444e-13,2.0594831567819743e-17
4.655864805711406e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995464041684,0.0,0.17647058984078015,0.0,0.0,3.014617460215623e-29,3.790663432981555e-52,0.0,2.2756443561674684e-36,0.0,0.0,4.751804001902769e-25,0.0,0.11764705877943825,1.0459252339902137e-60,0.0,0.0,0.0,1.2193664401929287e-09,3.184397985753049e-10,1.195322204277506e-12,1.0732431800434781e-12,6.80462834990827e-15,1.1524724959347298e-13,2.7146291143302625e-17
5.256621555862207e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995444177934,0.0,0.17647058982028216,0.0,0.0,4.338575241685581e-29,7.684355757168675e-52,0.0,4.140771808600528e-36,0.0,0.0,6.056861956012231e-25,0.0,0.11764705862194902,2.6830795929088866e-60,0.0,0.0,0.0,1.3767014349878674e-09,3.594357102313456e-10,1.349557325830331e-12,1.2107400362001147e-12,8.668778300592532e-15,1.301139101535484e-13,3.460117670262162e-17
5.941834595273091e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599542152592,0.0,0.17647058979692326,0.0,0.0,6.26593348939948e-29,1.575276885461297e-51,0.0,7.590570459879345e-36,0.0,0.0,7.73849949858735e-25,0.0,0.1176470584423202,7.011559350693127e-60,0.0,0.0,0.0,1.5561543537380695e-09,4.0615350493624266e-10,1.5254753094192942e-12,1.367292891325536e-12,1.106874104511244e-14,1.4706947016341662e-13,4.4206886024692045e-17
6.627047634683974e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995398878975,0.0,0.17647058977358918,0.0,0.0,8.693257920438279e-29,2.998364812929494e-51,0.0,1.304460626698497e-35,0.0,0.0,9.62592965278962e-25,0.0,0.11764705826269212,1.6572679410410595e-59,0.0,0.0,0.0,1.7356064960342371e-09,4.5282169730952994e-10,1.701393292459878e-12,1.5235545438454682e-12,1.3759905899665978e-14,1.640238549820903e-13,5.4987733637823686e-17
7.312260674094858e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995376237664,0.0,0.17647058975028274,0.0,0.0,1.1678204685260685e-28,5.371458892633415e-51,0.0,2.1274723601745092e-35,0.0,0.0,1.1719152274769324e-24,0.0,0.11764705808306483,3.607455029432781e-59,0.0,0.0,0.0,1.9150578618802946e-09,4.994346504062727e-10,1.8773112749520697e-12,1.6795255355935014e-12,1.674173103065453e-14,1.8097706469182198e-13,6.694363728585154e-17
7.997473713505742e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995353602537,0.0,0.1764705897270067,0.0,0.0,1.5278429935978277e-28,9.148044287342639e-51,0.0,3.322532859415692e-35,0.0,0.0,1.4018167414816464e-24,0.0,0.11764705790343832,7.33545373373015e-59,0.0,0.0,0.0,2.0945084512794366e-09,5.45986753855476e-10,2.053229256895865e-12,1.835206407142248e-12,2.0013675865462968e-14,1.9792909937374984e-13,8.00745158275043e-17
8.682686752916625e-15,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995330974154,0.0,0.17647058970376384,0.0,0.0,1.9551589825635553e-28,1.4927105161246355e-50,0.0,5.00319392790567e-35,0.0,0.0,1.6522975149682748e-24,0.0,0.11764705772381259,1.4085972977223168e-58,0.0,0.0,0.0,2.2739582642347635e-09,5.924724267012496e-10,2.229147238291265e-12,1.990597698032359e-12,2.3575200863444724e-14,2.1487995910885614e-13,9.438028827827306e-17
