Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36)
1.0013278332258828e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561772938,0.0,0.17647058999965726,0.0,0.0,5.140925730191678e-37,8.96872790531336e-48,0.0,7.988254483558389e-30,0.0,0.0,2.92981427970403e-30,0.0,0.11764705999737493,1.1086568258485017e-45,0.0,0.0,0.0,2.6225062534617983e-12,6.855087838673062e-13,2.5707563586993382e-15,2.3227958120134718e-15,6.437551828081657e-20,2.479182475288151e-16,2.632073430915341e-22,2.2339568581383225e-20,1.0077734767475197e-40,3.270971265263553e-31,2.4367012647296067e-47
2.0026565152886067e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561739806,0.0,0.1764705899993145,0.0,0.0,4.1127446510858386e-36,1.1497288579652385e-46,0.0,5.172599722522897e-29,0.0,0.0,1.1719264568361859e-29,0.0,0.11764705999474985,1.4212212952716255e-44,0.0,0.0,0.0,5.245014508959746e-12,1.3710181180339624e-12,5.1415148965016655e-15,4.6455093319840666e-15,2.1301205307244557e-19,4.958363704022461e-16,8.61218327762388e-22,4.467915613454516e-20,1.2918957827836765e-39,1.3083893387543916e-30,3.898725647262574e-46
4.0053138794140546e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561673543,0.0,0.176470589998629,0.0,0.0,3.290197347105922e-35,1.6113227607445615e-45,0.0,3.6508089113130298e-28,0.0,0.0,4.6877073164367405e-29,0.0,0.11764705998949969,1.9918140454215533e-43,0.0,0.0,0.0,1.0490030356679956e-11,2.7420365707601815e-12,1.0283031971638237e-14,9.290683604228652e-15,7.6305239610464795e-19,9.916716116956132e-16,3.061648652756798e-21,8.935833146261841e-20,1.810566729810434e-38,5.2335590306737244e-30,6.237962716733612e-45
8.01062860766495e-17,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561541017,0.0,0.17647058999725798,0.0,0.0,2.6321585273213488e-34,2.3954285627658337e-44,0.0,2.725628530103093e-27,0.0,0.0,1.8750832237390854e-28,0.0,0.11764705997899938,2.9610750973798186e-42,0.0,0.0,0.0,2.0980059399018315e-11,5.4840717516329885e-12,2.0566066120039038e-14,1.858002118795441e-14,2.874092152132698e-18,1.983338076484644e-15,1.1480126447353127e-20,1.787166838360827e-19,2.6916284429717807e-37,2.0934239634689317e-29,9.980737794566343e-44
1.2015943335915846e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995614084906,0.0,0.17647058999588697,0.0,0.0,7.814190920201584e-34,8.666610607410674e-44,0.0,7.65024388916595e-27,0.0,0.0,3.9845520354375e-28,0.0,0.11764705996849907,1.0713107372080062e-41,0.0,0.0,0.0,3.14700857882553e-11,8.226104058393076e-12,3.084910026656749e-14,2.7868347920926208e-14,5.9959809671782876e-18,2.975000523492238e-15,2.3916205108358943e-20,2.6807503855931927e-19,9.738254413798133e-37,4.4485261664586185e-29,3.7759044140802985e-43
1.6021258064166742e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995612759644,0.0,0.17647058999451595,0.0,0.0,1.7026656296098452e-33,2.1757033701541914e-43,0.0,1.5969066484835846e-26,0.0,0.0,6.79717716616662e-28,0.0,0.11764705995799876,2.6894646224584903e-41,0.0,0.0,0.0,4.1960109524391564e-11,1.0968132341513156e-11,4.1132134411223564e-14,3.715566391314464e-14,1.01286088404395e-17,3.96665895273468e-15,4.036986835816345e-20,3.5743339666026454e-19,2.4447331930458003e-36,7.58866254163753e-29,9.828630196735207e-43
2.0026572792417638e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561143438,0.0,0.17647058999314494,0.0,0.0,2.971678678259598e-33,4.103781809620592e-43,0.0,2.69943880609512e-26,0.0,0.0,1.0087948593561917e-27,0.0,0.11764705994749845,5.072831065370317e-41,0.0,0.0,0.0,5.245013145641967e-11,1.3710157152867047e-11,5.141516855460643e-14,4.6442292654447255e-14,1.4948486476733175e-17,4.958314649904637e-15,5.955548131511901e-20,4.46791757551398e-19,4.611221851336687e-36,1.1262622170435517e-28,1.8927002289702586e-42
2.4031887520668534e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561010912,0.0,0.17647058999177392,0.0,0.0,4.814159152380049e-33,7.165197742075488e-43,0.0,4.2297776967346436e-26,0.0,0.0,1.4025623833668823e-27,0.0,0.11764705993699814,8.857156154469753e-41,0.0,0.0,0.0,6.294015094759603e-11,1.645217623932085e-11,6.169820269626668e-14,5.57279916673547e-14,2.069809094754317e-17,5.949966650753311e-15,8.243724943510824e-20,5.361501227212392e-19,8.051186740585138e-36,1.5658813292849207e-28,3.398891077366952e-42
2.803720224891943e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560878386,0.0,0.1764705899904029,0.0,0.0,7.324993243008663e-33,1.1660045395720182e-42,0.0,6.250454672494527e-26,0.0,0.0,1.8621453387198086e-27,0.0,0.11764705992649784,1.441339691728459e-40,0.0,0.0,0.0,7.343016795547154e-11,1.919418865368257e-11,7.198123683617435e-14,6.501274485567744e-14,2.7393518414856227e-17,6.941614891007658e-15,1.0907944287253367e-19,6.255084928422752e-19,1.3101828986786093e-35,2.0789796486608858e-28,5.670745316072779e-42
3.6047831705421224e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560613335,0.0,0.1764705899876609,0.0,0.0,1.498131830696827e-32,2.7459258004188606e-42,0.0,1.2218724386043522e-25,0.0,0.0,2.990145805518375e-27,0.0,0.11764705990549726,3.3943362796268755e-40,0.0,0.0,0.0,9.441019409162913e-11,2.4678187181302732e-11,9.254730511042863e-14,8.357925059107804e-14,4.378500955050437e-17,8.924899439098037e-15,1.742957117767699e-19,8.042252523106482e-19,3.08546343184236e-35,3.338328283801765e-28,1.3987366553835087e-41
