Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21)
5.304669803031384e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853883801235431,0.0,0.17636118507087234,2.794463197472774e-29,1.0244969655968694e-06,1.628494631859685e-05,2.7981748940717893e-09,0.0,0.00010847819062091295,0.0,0.0,8.91203919691385e-10,0.0,0.11748212225098971,3.699102461566442e-10,0.0,7.67150876875539e-07,0.0,4.141546390327953e-05,5.983421438847069e-09,8.814211257626314e-05,8.878088449835421e-11,1.0784115837225061e-05,1.0694408247356401e-10,4.218385472702374e-06,6.65386251340486e-05,3.8229366196158195e-08,4.1966644678235645e-05,5.740027189493471e-09,1.3263866669467894e-09,3.6098032579359923e-10,4.4375590996428484e-20
5.314290023284477e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853881498071928,0.0,0.17636096930482764,2.816150239781625e-29,1.0286597218834373e-06,1.63421119105679e-05,2.814291851951172e-09,0.0,0.00010869113202622793,0.0,0.0,8.923595755404319e-10,0.0,0.11748190842760112,3.7125464513664677e-10,0.0,7.685108785171406e-07,0.0,4.141535510127341e-05,5.983412693430959e-09,8.823204641111913e-05,8.87751210513171e-11,1.0783685498453657e-05,1.0687858756925106e-10,4.219714169825237e-06,6.661123514341317e-05,3.8304403059558615e-08,4.210703778587904e-05,5.760174121499682e-09,1.328025878003276e-09,3.6244718911013e-10,4.463114998459039e-20
5.32391024353757e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853879194697327,0.0,0.17636075354452949,2.837962013195883e-29,1.032829871491411e-06,1.6399328872847005e-05,2.830467259172893e-09,0.0,0.00010890406478028304,0.0,0.0,8.935135359489731e-10,0.0,0.11748169462024237,3.726006633733086e-10,0.0,7.698691016002379e-07,0.0,4.141524630198335e-05,5.983403949644068e-09,8.832184850546496e-05,8.876936651286213e-11,1.0783256020263471e-05,1.0681323445154603e-10,4.221034567987519e-06,6.66836837666511e-05,3.837943674827413e-08,4.224758372564745e-05,5.780339133209882e-09,1.3296627850986178e-09,3.6391665677838694e-10,4.488763549639357e-20
5.333530463790663e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285387689110978,0.0,0.17636053778996566,2.859898969111985e-29,1.0370074048666409e-06,1.645659697350757e-05,2.8467011858259017e-09,0.0,0.00010911698889909215,0.0,0.0,8.946658074789776e-10,0.0,0.11748148082886996,3.739482964159448e-10,0.0,7.712255474291933e-07,0.0,4.141513750536715e-05,5.983395203367972e-09,8.841151938462387e-05,8.876362073352391e-11,1.0782827398722962e-05,1.0674802241170293e-10,4.222346698593427e-06,6.675597136025346e-05,3.845446726792001e-08,4.2388282157318494e-05,5.800522142898072e-09,1.3312973948559087e-09,3.6538872542312436e-10,4.5145048623244766e-20
5.343150684043756e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853874587307449,0.0,0.17636032204112403,2.8819615594691943e-29,1.041192312461954e-06,1.6513915981542537e-05,2.8629937018059295e-09,0.0,0.00010932990439859486,0.0,0.0,8.958163966741045e-10,0.0,0.11748126705344064,3.752975398300808e-10,0.0,7.725802173359661e-07,0.0,4.141502871138307e-05,5.983386457325662e-09,8.850105957182135e-05,8.875788378988662e-11,1.078239962989633e-05,1.0668295074563669e-10,4.223650592907308e-06,6.682809827988476e-05,3.8529494624085464e-08,4.252913274142137e-05,5.820723069017448e-09,1.3329297125218963e-09,3.668633916715415e-10,4.540339048353605e-20
5.352770904296849e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538722832885133,0.0,0.17636010629799265,2.904150236756737e-29,1.0453845847372972e-06,1.6571285666863074e-05,2.8793448768161933e-09,0.0,0.0001095428112946564,0.0,0.0,8.969653100596368e-10,0.0,0.11748105329391134,3.7664838919745975e-10,0.0,7.739331126775596e-07,0.0,4.141491991998931e-05,5.9833777129564535e-09,8.859046958818656e-05,8.875215564701532e-11,1.0781972709842832e-05,1.066180187537872e-10,4.224946282054449e-06,6.690006488038444e-05,3.8604518822333214e-08,4.2670135139235146e-05,5.840941830337144e-09,1.3345597447384105e-09,3.6834065215336836e-10,4.5662662186112723e-20
5.361429102524633e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538702094847773,0.0,0.17635991213404678,2.924228225055316e-29,1.0491639187075233e-06,1.662296152330128e-05,2.894111145251416e-09,0.0,0.00010973442015822237,0.0,0.0,8.979979046676999e-10,0.0,0.11748086092389398,3.778655230795117e-10,0.0,7.751492023736619e-07,0.0,4.141482200991532e-05,5.983369841543613e-09,8.867082773588427e-05,8.874700773194398e-11,1.0781589204238309e-05,1.0655969880812187e-10,4.226105412482925e-06,6.696469804058812e-05,3.8672037905312995e-08,4.279716681864044e-05,5.859153897847416e-09,1.3360248253637684e-09,3.696724018731145e-10,4.5896802630188594e-20
5.370087300752417e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28538681355028134,0.0,0.17635971797470773,2.9444090413277046e-29,1.0529492034026204e-06,1.667467807626807e-05,2.908925034349269e-09,0.0,0.00010992602207725268,0.0,0.0,8.990291518714473e-10,0.0,0.11748066856668983,3.790839510200012e-10,0.0,7.763638568167804e-07,0.0,4.141472410187591e-05,5.983361970461101e-09,8.875108124259798e-05,8.874186689329792e-11,1.078120638007652e-05,1.0650149093216733e-10,4.22725794432186e-06,6.70292018865678e-05,3.8739554438882404e-08,4.2924320947518885e-05,5.877380287702638e-09,1.3374880644538752e-09,3.7100624774077804e-10,4.6131697933363603e-20
5.378745498980202e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2853866061341322,0.0,0.17635952381996695,2.9646930165369884e-29,1.0567404318832229e-06,1.6726435159931932e-05,2.923786594526233e-09,0.0,0.00011011761706315879,0.0,0.0,9.00059056389378e-10,0.0,0.11748047622226787,3.8030366983173423e-10,0.0,7.775770770482331e-07,0.0,4.141462619584131e-05,5.983354100745581e-09,8.883123048390262e-05,8.87367331009966e-11,1.0780824234486945e-05,1.064433946253902e-10,4.228403899975779e-06,6.709357667529457e-05,3.880706842704227e-08,4.305159728049395e-05,5.8956209413557825e-09,1.3389494665155885e-09,3.7234218730483573e-10,4.6367348897580277e-20
5.387403697207986e-07,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.285386398699901,0.0,0.17635932966981577,2.985080481998846e-29,1.0605375972149805e-06,1.6778232609060835e-05,2.938695876074241e-09,0.0,0.00011030920512730311,0.0,0.0,9.010876229277785e-10,0.0,0.11748028389059725,3.815246763381711e-10,0.0,7.787888641253549e-07,0.0,4.1414528291781774e-05,5.983346229205082e-09,8.891127583400942e-05,8.873160620969876e-11,1.078044276459945e-05,1.0638540939021803e-10,4.2295433017599175e-06,6.715782266320237e-05,3.887457987377608e-08,4.3178995572676835e-05,5.913875800541063e-09,1.3404090364606648e-09,3.736802181155429e-10,4.660375630442677e-20
