Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37)
1.719219958641203e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995612372204,0.0,0.17647058999411516,6.747576338736796e-65,6.908947180390836e-44,2.103942441320615e-33,6.96330101965021e-42,0.0,1.967288683041503e-26,0.0,0.0,7.827052493488315e-28,0.0,0.11764705995492904,3.5575606286133676e-41,0.0,1.9218228528317576e-34,0.0,4.502683512719548e-11,1.1769754614318146e-11,4.4138348022228853e-14,3.9870483971156834e-14,1.1635163658801653e-17,4.256566078157695e-15,4.63662677295918e-20,3.835570420104557e-19,3.230474122751444e-36,8.738459951356665e-29,1.3032635855006898e-42,4.522575134519399e-28,1.2341721510491445e-53,1.3718337514417523e-43,9.744983577501086e-39,1.0099197349014055e-51
2.1490249710733928e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599561095009,0.0,0.17647058999264395,1.745792976883441e-64,1.445219063024387e-43,3.672030952141291e-33,1.4332673992236429e-41,0.0,3.326760327537832e-26,0.0,0.0,1.161642565168737e-27,0.0,0.1176470599436613,6.713153701437934e-41,0.0,3.700861193683227e-34,0.0,5.6283537590719284e-11,1.471218302032673e-11,5.5172935607539435e-14,4.983547121386195e-14,1.7178228497573885e-17,5.32069718272348e-15,6.842871857024117e-20,4.794463162336707e-19,6.09534905836888e-36,1.2969080179010142e-28,2.5096958721420587e-42,7.893310112575656e-28,2.762581312046062e-53,2.5931836223516697e-43,1.8385907605607473e-38,2.2343798815323446e-51
2.5788299835055827e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995609527973,0.0,0.17647058999117274,4.077695118797187e-64,2.849662869586436e-43,5.94873919079256e-33,2.7536397349467323e-41,0.0,5.21428329138252e-26,0.0,0.0,1.6150718351552436e-27,0.0,0.11764705993239356,1.172609759826266e-40,0.0,6.6459806110082846e-34,0.0,6.754023724356564e-11,1.765460435224641e-11,6.620752319086626e-14,5.979938790717385e-14,2.3791840931679592e-17,6.384824030926252e-15,9.474734113510687e-20,5.753355956926384e-19,1.0645722018272661e-35,1.8031360936140063e-28,4.506885283024009e-42,1.2787294694219834e-27,5.939789547624814e-53,4.536404537101903e-43,3.2109058756993986e-38,4.693953498500422e-51
3.0086349959377724e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995608105855,0.0,0.17647058998970153,8.650820770904188e-64,5.159148222079681e-43,9.051315712063275e-33,4.875058424477901e-41,0.0,7.707112660404139e-26,0.0,0.0,2.144288571507784e-27,0.0,0.11764705992112583,1.9088930447948996e-40,0.0,1.1088241740524177e-33,0.0,7.879693403685374e-11,2.0597017439661332e-11,7.724211077217477e-14,6.976221552304083e-14,3.149452897976945e-17,7.44894654875566e-15,1.2539614245049008e-19,6.712248810779745e-19,1.7328248186119912e-35,2.3939765923533996e-28,7.519334318892316e-42,1.9456564917289447e-27,1.157720776382332e-52,7.393522868669669e-43,5.226058868600292e-38,8.974569065398525e-51
3.438440008369962e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560668374,0.0,0.17647058998823031,1.6837620608751013e-63,8.872138902386376e-43,1.3149373903642514e-32,8.202100778270014e-41,0.0,1.0930024565523228e-25,0.0,0.0,2.7531793108984312e-27,0.0,0.11764705990985809,2.9642998290010734e-40,0.0,1.7613820101067917e-33,0.0,9.005362782394035e-11,2.3539420589432062e-11,8.827669835136143e-14,7.972389833554353e-14,4.0342018467965185e-17,8.513064514159653e-15,1.6059716457842015e-19,7.67114173750842e-19,2.69057348783073e-35,3.073768618991626e-28,1.1944545737825363e-41,2.8265717108235958e-27,2.1396918316261704e-52,1.1492533829066716e-42,8.113915314964009e-38,1.62643058261742e-50
4.2980500332343415e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599560383951,0.0,0.17647058998528795,5.291000925652774e-63,2.252018594232129e-42,2.4784903948325556e-32,2.0073938123459527e-40,0.0,1.987760778645953e-25,0.0,0.0,4.2089542255240904e-27,0.0,0.11764705988732266,6.3124837920242e-40,0.0,3.8899000540523724e-33,0.0,1.1256700641832096e-10,2.942419255453475e-11,1.1034587350339645e-13,9.964384475486559e-14,6.145619737462942e-17,1.064128684652512e-14,2.445970401867883e-19,9.588927839215049e-19,5.728295599500917e-35,4.699058936372067e-28,2.637871706812951e-41,5.327734354987391e-27,6.156037334676272e-52,2.4508260406748843e-42,1.7272096186429341e-37,4.525812875368124e-50
5.157660058098721e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995600995293,0.0,0.17647058998234555,1.3755905688755242e-62,5.0063886916551646e-42,4.2043770035170183e-32,4.329148290733575e-40,0.0,3.2906944069613645e-25,0.0,0.0,5.988042230674349e-27,0.0,0.11764705986478723,1.2017791581797694e-39,0.0,7.616632550420916e-33,0.0,1.3508037281369635e-10,3.530890838464964e-11,1.3241504864682057e-13,1.195591471026991e-13,8.721443995013852e-17,1.276949070559708e-14,3.4706937900221405e-19,1.150671434847289e-18,1.0903101227781688e-34,6.685310164714197e-28,5.16508861394912e-41,9.037676789639041e-27,1.5337065921453692e-51,4.6705431334187555e-42,3.2870187645583106e-37,1.0953367470500748e-49
6.017270082963101e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559815108,0.0,0.1764705899794032,3.1720280054672615e-62,1.009616298419772e-41,6.612562225369405e-32,8.514019404418636e-40,0.0,5.088417386437043e-25,0.0,0.0,8.092367293455858e-27,0.0,0.11764705984225181,2.108449643195618e-39,0.0,1.3654086346435858e-32,0.0,1.575937269374796e-10,4.119355610548027e-11,1.5448422378158212e-13,1.3946977885866726e-13,1.1764326651599865e-16,1.4897675981610072e-14,4.681239415343444e-19,1.3424501351826813e-18,1.9124303404648094e-34,9.03467039125245e-28,9.259281743089598e-41,1.421426243523123e-26,3.4405616352239993e-51,8.199862262999822e-42,5.764585354609544e-37,2.396103092974413e-49
7.73649013269186e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599559246269,0.0,0.17647058997351872,1.3644171888769158e-61,3.383506001216991e-41,1.3930068053281585e-31,2.741927829918678e-39,0.0,1.0495333091889743e-24,0.0,0.0,1.3272585492944482e-26,0.0,0.117647059797181,5.449429415846655e-39,0.0,3.6351311865425665e-32,0.0,2.0262039852662084e-10,5.296260188342765e-11,1.9862257402522633e-13,1.7927709451010235e-13,1.9244875659083401e-16,1.915399102183758e-14,7.657423698766638e-19,1.726007716804614e-18,4.940131813674779e-34,1.4818092753702141e-27,2.4651057751072043e-40,2.994370238108957e-26,1.45203137978604e-50,2.1208563908104278e-41,1.4885448781555346e-36,9.658299816582607e-49
9.455710182420618e-16,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555995586774335,0.0,0.1764705899676344,4.339620210106358e-61,8.975675949860337e-41,2.5348083736654915e-31,7.094849958163803e-39,0.0,1.8869313209683197e-24,0.0,0.0,1.9749549563034184e-26,0.0,0.11764705975211025,1.180117781744085e-38,0.0,8.012961981339627e-32,0.0,2.476470211880341e-10,6.473123836310513e-11,2.427609242343276e-13,2.190658013174338e-13,2.858630592703778e-16,2.3410231971890895e-14,1.1374476419549474e-18,2.109565594844103e-18,1.0692541878947192e-33,2.20492608543865e-27,5.433881087814872e-40,5.448716094185865e-26,4.604673730583563e-50,4.59381930156757e-41,3.2206770869424234e-36,2.976772597893655e-48
