Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19)
1.5059649314057984e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599111396937,0.0,0.17647058719099687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647020577093,0.0,0.0,0.0,0.0,3.9422906955045925e-08,5.618006200450129e-09,0.0
1.5217876781099143e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599107128971,0.0,0.1764705871846018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764702016308667,0.0,0.0,0.0,0.0,3.983691328954784e-08,5.630796411890669e-09,0.0
1.5376104248140303e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599102865324,0.0,0.17647058717842048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701974908448,0.0,0.0,0.0,0.0,4.02509154877456e-08,5.643158961958265e-09,0.0
1.5534331715181463e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599098605861,0.0,0.17647058717244635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701933508642,0.0,0.0,0.0,0.0,4.0664913549681187e-08,5.655107257804941e-09,0.0
1.5692559182222622e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990943504506,0.0,0.17647058716667283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470189210925,0.0,0.0,0.0,0.0,4.107890747539648e-08,5.666654347103249e-09,0.0
1.5850786649263782e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599090098967,0.0,0.17647058716109348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701850710271,0.0,0.0,0.0,0.0,4.149289726493339e-08,5.677812923424618e-09,0.0
1.6167241583346104e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990816072885,0.0,0.17647058715049316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701767913555,0.0,0.0,0.0,0.0,4.232086443563954e-08,5.699013575291517e-09,0.0
1.6452051024020192e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990739770043,0.0,0.17647058714155714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701693397923,0.0,0.0,0.0,0.0,4.306602074396495e-08,5.7168857425909614e-09,0.0
1.673686046469428e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990663576225,0.0,0.1764705871331595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701618883633,0.0,0.0,0.0,0.0,4.381116365172317e-08,5.733680969402225e-09,0.0
1.702166990536837e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990587485247,0.0,0.17647058712526933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701544370683,0.0,0.0,0.0,0.0,4.455629315915789e-08,5.74946126599321e-09,0.0
1.7306479346042457e-13,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555990511491225,0.0,0.17647058711785724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764701469859071,0.0,0.0,0.0,0.0,4.53014092665127e-08,5.7642854190769624e-09,0.0
