Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45),CH2OH(57),CH3OX(44),CH3O(58),HO2(52),CH2OX(40),HO2X(136),H2X(36),HOX(23),H2OX(35),OCX(21),CXHO(27),COX(37),HOOH(147),HOOHX(163),CH4O3(153),SX(168),SX(167),SX(137)
0.00017878012775006464,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25606476259002164,0.0,0.14300841255973215,5.66579398874064e-20,0.01061965219538916,0.012564824408979432,0.012603644463002404,0.0,0.012810943719369784,0.0,0.0,1.454167261596221e-07,0.0,0.0921832828684864,6.908707625336641e-07,0.0,1.1019582599164076e-05,0.0,2.9157909232843403e-05,4.83045197924834e-09,0.0014544555536641155,2.9426909617759666e-11,6.523750935680919e-06,6.216717428527792e-12,3.6917778881255623e-06,6.854463141937116e-05,4.052147003978356e-06,0.027995796997456954,3.974298118392182e-06,1.7442576913765912e-08,3.3590311908762113e-06,1.7943727164322505e-13,7.506263658215647e-12,3.9865734557098865e-06,7.975871928011287e-05,2.5227946302654492e-08,7.22340374995085e-07,2.2847858831608353e-10,2.422007353897489e-07,1.2110694427383666e-07
0.00017957504342316392,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25595663638370436,0.0,0.14287138381212136,5.724265240981091e-20,0.010681151114446102,0.012613039022028545,0.012681308420936828,0.0,0.012819709839113187,0.0,0.0,1.4610700640708257e-07,0.0,0.09209686469537084,6.92567855132486e-07,0.0,1.1029146693617137e-05,0.0,2.911827413221944e-05,4.826088529771487e-09,0.0014566205200907815,2.9354233821501425e-11,6.5189203458415314e-06,6.1996964243216e-12,3.6923059168791724e-06,6.850167230110838e-05,4.05320753408187e-06,0.028101738941717403,3.987863942886873e-06,1.745220470812171e-08,3.3770569152815647e-06,1.8046616651089132e-13,7.508516098412012e-12,4.009445094891011e-06,8.01192670413889e-05,2.5331287895434947e-08,7.254458059546707e-07,2.293639555868025e-10,2.4439908642571215e-07,1.2220620090106395e-07
0.0001803699590962632,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2558486406659463,0.0,0.142734453800281,5.783017611331256e-20,0.010742687922100118,0.012661156911897235,0.012758994876422961,0.0,0.012828307239034633,0.0,0.0,1.4679686516386999e-07,0.0,0.09201059272061436,6.942553589379138e-07,0.0,1.103864539650138e-05,0.0,2.907872315095493e-05,4.821730092540927e-09,0.0014587730251253083,2.928192577995187e-11,6.51411701939035e-06,6.182786856913989e-12,3.692817617701791e-06,6.845875568737642e-05,4.054214468546672e-06,0.028207562872797243,4.001388360778989e-06,1.7461676931178977e-08,3.3950799175354034e-06,1.8149453921460138e-13,7.51066922547172e-12,4.032305154729212e-06,8.048013779250632e-05,2.5434648225626088e-08,7.285435272069527e-07,2.3024617419889716e-10,2.466049919878531e-07,1.233092355842864e-07
0.00018116487476936249,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2557407751816447,0.0,0.14259762265558057,5.842050385666663e-20,0.010804261997843125,0.012709178011551362,0.012836702730132576,0.0,0.012836737556414225,0.0,0.0,1.4748629585909714e-07,0.0,0.09192446640642066,6.959333287989727e-07,0.0,1.1048079170814839e-05,0.0,2.903925598996428e-05,4.817376661311136e-09,0.00146091314320523,2.9209982449077005e-11,6.509340715517401e-06,6.165987524024159e-12,3.693313109970149e-06,6.841588064977041e-05,4.05516839223095e-06,0.028313268971600126,4.014871408864123e-06,1.7470994787973015e-08,3.413100012805658e-06,1.8252237524980238e-13,7.512724114288362e-12,4.055153312459403e-06,8.084133034623198e-05,2.5538026937943172e-08,7.316335411402677e-07,2.3112524925965626e-10,2.488184158425571e-07,1.2441603021054849e-07
0.00018195979044246177,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2556330396779696,0.0,0.14246089050872981,5.901362846622055e-20,0.010865872725861314,0.012757102257799838,0.012914430894354248,0.0,0.012845002412689831,0.0,0.0,1.4817529198462923e-07,0.0,0.09183848521921657,6.976018193056021e-07,0.0,1.1057448474301083e-05,0.0,2.8999872352289344e-05,4.813028229881382e-09,0.0014630409481827158,2.9138400820500667e-11,6.504591196231166e-06,6.149297241105987e-12,3.693792511833152e-06,6.837304628015652e-05,4.056069883981295e-06,0.028418857417338964,4.028313125068942e-06,1.748015947276036e-08,3.431117018062377e-06,1.8354966030132184e-13,7.514681828758963e-12,4.077989249529982e-06,8.120284349987464e-05,2.5641423672936873e-08,7.347158505345796e-07,2.3200118598948304e-10,2.51039321854699e-07,1.255265667161239e-07
0.00018275470611556105,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2555254339043222,0.0,0.14232425748976285,5.960954273667e-20,0.01092751949499649,0.012804929591247786,0.012992178292879328,0.0,0.01285310341362079,0.0,0.0,1.4886384709469148e-07,0.0,0.09175264862960264,6.992608847884933e-07,0.0,1.1066753759538874e-05,0.0,2.8960571943073716e-05,4.808684792094552e-09,0.0014651565133315845,2.906717792096184e-11,6.499868226317954e-06,6.132714841006837e-12,3.694255940231472e-06,6.833025169028002e-05,4.056919516697507e-06,0.02852432838757054,4.041713548434058e-06,1.7489172169154548e-08,3.449130752061584e-06,1.8457638024133967e-13,7.516543421902033e-12,4.1008126515577035e-06,8.156467603573535e-05,2.5744838067143704e-08,7.377904585527152e-07,2.328739897189031e-10,2.5326767398852347e-07,1.2664082708695596e-07
0.00018354962178866033,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25541795761229386,0.0,0.14218772372802368,6.020823943180498e-20,0.010989201698707837,0.0128526599562501,0.013069943860889102,0.0,0.012861042149449702,0.0,0.0,1.4955195480546852e-07,0.0,0.09166695611230395,7.009105793189642e-07,0.0,1.1075995474030529e-05,0.0,2.8921354469537354e-05,4.804346341836022e-09,0.0014672599113543473,2.8996310811775614e-11,6.495171573301532e-06,6.116239173656562e-12,3.694703510916955e-06,6.828749601138026e-05,4.057717857396628e-06,0.028629682058229543,4.055072719097061e-06,1.7498034050262194e-08,3.467141035329323e-06,1.8560252112738216e-13,7.518309935974206e-12,4.123623208283057e-06,8.192682672154905e-05,2.5848269753233174e-08,7.408573687317705e-07,2.3374366588563137e-10,2.55503436308496e-07,1.2775879335908285e-07
0.0001843445374617596,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25531061055562587,0.0,0.14205128935215136,6.080971128524662e-20,0.01105091873503415,0.012900293300865465,0.013147726544843075,0.0,0.01286882019506238,0.0,0.0,1.5023960879471586e-07,0.0,0.09158140714612217,7.025509567088635e-07,0.0,1.1085174060287325e-05,0.0,2.8882219640951723e-05,4.8000128730325264e-09,0.0014693512143888917,2.8925796588315402e-11,6.490501007404151e-06,6.099869105731578e-12,3.6951353384713138e-06,6.824477839381474e-05,4.0584654672762034e-06,0.02873491860366177,4.068390678275739e-06,1.750674627881249e-08,3.4851476901458755e-06,1.8662806920033676e-13,7.519982402585489e-12,4.14642061352608e-06,8.22892943109171e-05,2.5951718360151718e-08,7.439165849746789e-07,2.346102200316982e-10,2.5774657298012384e-07,1.2888044761904805e-07
0.0001851394531348589,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.25520339249017043,0.0,0.14191495449006622,6.141395100117417e-20,0.011112670006556425,0.012947829576810635,0.01322552530236838,0.0,0.012876439110145965,0.0,0.0,1.5092680280135972e-07,0.0,0.0914960012138879,7.041820705105416e-07,0.0,1.1094289955914545e-05,0.0,2.8843167168615222e-05,4.795684379651088e-09,0.0014714304940153695,2.885563237948772e-11,6.485856301507275e-06,6.083603520372834e-12,3.6955515363248534e-06,6.820209800668914e-05,4.0591629017768216e-06,0.02884003819665682,4.081667468251438e-06,1.7515310007290103e-08,3.5031505405301557e-06,1.8765301088248881e-13,7.5215618428132e-12,4.169204565142695e-06,8.265207754373049e-05,2.605518351326346e-08,7.469681115419487e-07,2.3547365780063685e-10,2.5999704827074867e-07,1.3000577200429694e-07
0.00018593436880795817,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2550963031738525,0.0,0.1417787192689562,6.202095125504291e-20,0.011174454920360904,0.012995268739415346,0.013303339102150287,0.0,0.01288390043934524,0.0,0.0,1.5161353062511922e-07,0.0,0.09141073780241388,7.058039740168348e-07,0.0,1.1103343593692645e-05,0.0,2.8804196765829095e-05,4.7913608556979656e-09,0.001473497821262486,2.8785815347243826e-11,6.481237231114528e-06,6.06744131684235e-12,3.6959522167741828e-06,6.815945403749751e-05,4.059810710643909e-06,0.028945041008480017,4.094903132352635e-06,1.7523726378057457e-08,3.521149412224251e-06,1.8867733277557768e-13,7.523049267314573e-12,4.191974764981441e-06,8.301517514658473e-05,2.6158664834487742e-08,7.500119530435527e-07,2.36333984934724e-10,2.6225482655031084e-07,1.311347487035583e-07
