Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59),C2H3X(53)
1.3788912060990948e-08,0.0009467769729032257,0.0,0.0,0.0,7.8233581124986166e-05,0.49733293180557775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964855412848,0.0026670681944227638,3.5144587161420465e-07,0.0
1.383227315818271e-08,0.0009467769729032257,0.0,0.0,0.0,7.8222160917646854e-05,0.49733292033344167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964860605706,0.0026670796665587385,3.5139394297867492e-07,0.0
1.3875634255374472e-08,0.0009467769729032257,0.0,0.0,0.0,7.8211050453562268e-05,0.49733290917245743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964865657731,0.0026670908275430302,3.5134342277158279e-07,0.0
1.3918995352566233e-08,0.0009467769729032257,0.0,0.0,0.0,7.820024133174379e-05,0.49733289831418559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964870572722,0.0026671016858148275,3.5129427279293063e-07,0.0
1.3962356449757995e-08,0.0009467769729032257,0.0,0.0,0.0,7.8189725379058678e-05,0.49733288775041606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964875354413,0.002667112249584427,3.5124645587880079e-07,0.0
1.4005717546949757e-08,0.0009467769729032257,0.0,0.0,0.0,7.8179494644050069e-05,0.49733287747316102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964880006414,0.0026671225268394406,3.5119993587325438e-07,0.0
1.4049078644141518e-08,0.0009467769729032257,0.0,0.0,0.0,7.8169541390924404e-05,0.49733286747464972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964884532244,0.0026671325253508384,3.5115467760099152e-07,0.0
1.409243974133328e-08,0.0009467769729032257,0.0,0.0,0.0,7.8159858093702249e-05,0.49733285774732172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964888935322,0.0026671422526788205,3.5111064684075467e-07,0.0
1.4135800838525041e-08,0.0009467769729032257,0.0,0.0,0.0,7.815043743052739e-05,0.49733284828382196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964893218973,0.0026671517161785375,3.5106781029945185e-07,0.0
1.4179161935716803e-08,0.0009467769729032257,0.0,0.0,0.0,7.8141272278130661e-05,0.49733283907699488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964897386451,0.0026671609230056463,3.5102613558698303e-07,0.0
1.4222523032908565e-08,0.0009467769729032257,0.0,0.0,0.0,7.8132355706443551e-05,0.49733283011987878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964901440885,0.002667169880121729,3.5098559119174765e-07,0.0
1.4265884130100326e-08,0.0009467769729032257,0.0,0.0,0.0,7.8123680973358239e-05,0.4973328214057009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964905385363,0.0026671785942995489,3.509461464568181e-07,0.0
1.4309245227292088e-08,0.0009467769729032257,0.0,0.0,0.0,7.8115241519629566e-05,0.49733281292787229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964909222849,0.0026671870721281781,3.5090777155675854e-07,0.0
1.435260632448385e-08,0.0009467769729032257,0.0,0.0,0.0,7.81070309639153e-05,0.49733280467998259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964912956263,0.0026671953200179737,3.508704374750729e-07,0.0
1.4395967421675611e-08,0.0009467769729032257,0.0,0.0,0.0,7.8099043097951002e-05,0.49733279665579494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964916588407,0.0026672033442054306,3.5083411598226406e-07,0.0
1.4439328518867373e-08,0.0009467769729032257,0.0,0.0,0.0,7.8091271881855606e-05,0.49733278884924248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964920122053,0.0026672111507578945,3.5079877961448837e-07,0.0
1.4482689616059134e-08,0.0009467769729032257,0.0,0.0,0.0,7.8083711439564545e-05,0.49733278125442226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964923559842,0.0026672187455781472,3.5076440165278942e-07,0.0
1.4526050713250896e-08,0.0009467769729032257,0.0,0.0,0.0,7.8076356054386498e-05,0.49733277386559144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964926904394,0.0026672261344088746,3.5073095610289443e-07,0.0
1.4569411810442657e-08,0.0009467769729032257,0.0,0.0,0.0,7.8069200164680946e-05,0.49733276667716342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999964930158231,0.0026672333228370073,3.5069841767555919e-07,0.0
