Time (s),Volume (m^3),N2,Ne,X(1),H2(2),H(3),NH3(4),H2X(49),HX(5)
3.035082913356069e-07,0.03101298056,0.33333333333333331,0.0,0.021938568204218186,0.63177028226918164,3.2746455421414192e-29,0.0,0.001793693375190554,0.066205382044591254
3.044762411999167e-07,0.03101298056,0.33333333333333331,0.0,0.021936999994089428,0.63176956642026305,3.284203416834335e-29,0.0,0.0017935568628986026,0.066207086767011966
3.0544419106422656e-07,0.03101298056,0.33333333333333331,0.0,0.021935461225693082,0.63176886401045118,3.2937462789761597e-29,0.0,0.0017934229141260928,0.066208759484180812
3.064121409285364e-07,0.03101298056,0.33333333333333331,0.0,0.021933951344976638,0.63176817478685232,3.303274141175393e-29,0.0,0.0017932914806079588,0.066210400798415392
3.0738009079284624e-07,0.03101298056,0.33333333333333331,0.0,0.021932469808362769,0.63176749850135294,3.312787016223239e-29,0.0,0.0017931625149925181,0.066212011300644705
3.083480406571561e-07,0.03101298056,0.33333333333333331,0.0,0.021931016082549496,0.63176683491053054,3.3222849170899388e-29,0.0,0.0017930359708240142,0.066213591570626465
3.093159905214659e-07,0.03101298056,0.33333333333333331,0.0,0.02192958964431416,0.63176618377556215,3.331767856921159e-29,0.0,0.0017929118025254973,0.066215142177160319
3.1028394038577575e-07,0.03101298056,0.33333333333333331,0.0,0.021928189980321297,0.63176554486213754,3.3412358490344522e-29,0.0,0.0017927899653820399,0.066216663678296636
3.112518902500856e-07,0.03101298056,0.33333333333333331,0.0,0.021926816586934177,0.63176491794037271,3.3506889069157659e-29,0.0,0.0017926704155242781,0.066218156621541541
3.1221984011439543e-07,0.03101298056,0.33333333333333331,0.0,0.021925468970029973,0.63176430278472651,3.3601270442160098e-29,0.0,0.0017925531099122732,0.06621962154405775
3.1318778997870527e-07,0.03101298056,0.33333333333333331,0.0,0.021924146644818607,0.63176369917391728,3.369550274747686e-29,0.0,0.001792438006319686,0.066221058972861721
3.141557398430151e-07,0.03101298056,0.33333333333333331,0.0,0.021922849135664994,0.63176310689084125,3.3789586124815703e-29,0.0,0.001792325063318261,0.066222469425016722
3.1512368970732494e-07,0.03101298056,0.33333333333333331,0.0,0.021921575975914768,0.63176252572249381,3.388352071543453e-29,0.0,0.0017922142402626083,0.066223853407822636
3.160916395716348e-07,0.03101298056,0.33333333333333331,0.0,0.021920326707723398,0.63176195545989178,3.397730666210926e-29,0.0,0.0017921054972752795,0.066225211419001326
3.170595894359446e-07,0.03101298056,0.33333333333333331,0.0,0.02191910088188858,0.63176139589799607,3.4070944109102319e-29,0.0,0.0017919987952321405,0.066226543946879254
3.1802753930025446e-07,0.03101298056,0.33333333333333331,0.0,0.021917898057685861,0.6317608468356366,3.4164433202131651e-29,0.0,0.0017918940957480198,0.066227851470566104
3.189954891645643e-07,0.03101298056,0.33333333333333331,0.0,0.021916717802707444,0.63176030807544004,3.4257774088340166e-29,0.0,0.0017917913611626356,0.066229134460129929
3.1996343902887413e-07,0.03101298056,0.33333333333333331,0.0,0.021915559692704114,0.63175977942375616,3.4350966916265769e-29,0.0,0.0017916905545267983,0.066230393376769059
3.2093138889318397e-07,0.03101298056,0.33333333333333331,0.0,0.02191442331143019,0.6317592606905883,3.4444011835811858e-29,0.0,0.0017915916395888779,0.066231628672980922
3.218993387574938e-07,0.03101298056,0.33333333333333331,0.0,0.021913308250491498,0.63175875168952267,3.4536908998218386e-29,0.0,0.0017914945807815334,0.066232840792726969
3.2286728862180365e-07,0.03101298056,0.33333333333333331,0.0,0.02191221410919619,0.63175825223766147,3.4629658556033215e-29,0.0,0.0017913993432086977,0.066234030171595126
3.238352384861135e-07,0.03101298056,0.33333333333333331,0.0,0.021911140494408558,0.63175776215555557,3.4722260663084258e-29,0.0,0.001791305892632812,0.066235197236958629
3.248031883504233e-07,0.03101298056,0.33333333333333331,0.0,0.021910087020405554,0.63175728126713937,3.481471547445171e-29,0.0,0.0017912141954623121,0.066236342408132129
3.2577113821473316e-07,0.03101298056,0.33333333333333331,0.0,0.021909053308736132,0.63175680939966605,3.4907023146441103e-29,0.0,0.0017911242187393505,0.066237466096524519
3.26739088079043e-07,0.03101298056,0.33333333333333331,0.0,0.021908038988083234,0.63175634638364553,3.4999183836556569e-29,0.0,0.0017910359301277544,0.066238568705789022
3.2770703794335284e-07,0.03101298056,0.33333333333333331,0.0,0.02190704369412852,0.63175589205278149,3.5091197703474655e-29,0.0,0.0017909492979012245,0.066239650631970251
3.2867498780766267e-07,0.03101298056,0.33333333333333331,0.0,0.021906067069419579,0.631755446243912,3.5183064907018524e-29,0.0,0.0017908642909317464,0.066240712263648652
3.296429376719725e-07,0.03101298056,0.33333333333333331,0.0,0.021905108763239797,0.63175500879694857,3.5274785608132664e-29,0.0,0.0017907808786782403,0.066241753982081958
3.3061088753628235e-07,0.03101298056,0.33333333333333331,0.0,0.021904168431480638,0.63175457955482062,3.5366359968857958e-29,0.0,0.0017906990311754157,0.066242776161343941
3.315788374005922e-07,0.03101298056,0.33333333333333331,0.0,0.021903245736516423,0.63175415836341464,3.5457788152307164e-29,0.0,0.0017906187190228505,0.066243779168460706
3.32546787264902e-07,0.03101298056,0.33333333333333331,0.0,0.021902340347081523,0.63175374507152138,3.5549070322640865e-29,0.0,0.0017905399133742747,0.066244763363544193
3.3351473712921186e-07,0.03101298056,0.33333333333333331,0.0,0.021901451938149814,0.63175333953077928,3.5640206645043778e-29,0.0,0.0017904625859270591,0.066245729099923142
3.344826869935217e-07,0.03101298056,0.33333333333333331,0.0,0.02190058019081656,0.63175294159562023,3.5731197285701476e-29,0.0,0.0017903867089119104,0.066246676724271536
3.3545063685783154e-07,0.03101298056,0.33333333333333331,0.0,0.021899724792182482,0.63175255112321771,3.5822042411777503e-29,0.0,0.0017903122550827588,0.066247606576734744
3.364185867221414e-07,0.03101298056,0.33333333333333331,0.0,0.021898885435240052,0.6317521679734347,3.591274219139085e-29,0.0,0.0017902391977068423,0.066248518991053107
3.373865365864512e-07,0.03101298056,0.33333333333333331,0.0,0.021898061818761992,0.63175179200877152,3.6003296793593888e-29,0.0,0.0017901675105549816,0.066249414294683034
3.3835448645076105e-07,0.03101298056,0.33333333333333331,0.0,0.021897253647191871,0.63175142309431809,3.609370638835054e-29,0.0,0.0017900971678920391,0.066250292808916117
3.393224363150709e-07,0.03101298056,0.33333333333333331,0.0,0.021896460630536834,0.63175106109770274,3.6183971146514978e-29,0.0,0.0017900281444675626,0.066251154848995603
3.4029038617938073e-07,0.03101298056,0.33333333333333331,0.0,0.021895682484262321,0.63175070588904592,3.6274091239810528e-29,0.0,0.0017899604155066067,0.066252000724231069
3.4125833604369057e-07,0.03101298056,0.33333333333333331,0.0,0.021894918929188864,0.63175035734091212,3.6364066840809075e-29,0.0,0.0017898939567007317,0.066252830738110405
