Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49)
1.8183384145866362e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32852624914580314,0.1129163345367384,0.021191977266992897,0.0,2.4885964853322268e-16,2.3858031668976385e-05,5.39448641404459e-18,2.6278666873321103e-15,2.7466720083514646e-34,1.6626866206043121e-08,1.5950391409754617e-29,3.6523715467166571e-08,1.6363147975378851e-22,6.1588051108068794e-22,2.3475466641952557e-28,3.8313339015836105e-31,2.3127659552643183e-15,5.8792562918377386e-22,0.0057344620474423522,0.0032591808520452234,1.0128666336018845e-11,2.816349423197986e-05,7.5664385461877962e-16,2.1077946385605438e-09,1.9150700988806587e-05,7.4742252583548095e-14,1.6090485829950764e-16,3.5484148924808639e-07
1.821027423522345e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32852165709006398,0.11291635964859248,0.02118968456992289,0.0,2.5067003388451709e-16,2.3948760964840713e-05,5.4213580536203579e-18,2.6395465699720604e-15,2.7712429060189902e-34,1.6651873927417785e-08,1.6081712803284777e-29,3.6583918859647113e-08,1.6449341098474408e-22,6.2125436118455592e-22,2.3634565214937575e-28,3.856384722605938e-31,2.3250951526239087e-15,5.9187834428418047e-22,0.0057343832450235232,0.003263766246185035,1.0142432896518643e-11,2.8193930968456689e-05,7.578737710412775e-16,2.1160084330223019e-09,1.9204358318264529e-05,7.4929303820809351e-14,1.615849615717985e-16,3.5620321371347918e-07
1.823716432458054e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3285170656072352,0.11291638468852082,0.021187392184972034,0.0,2.5249004111617697e-16,2.4039643689736388e-05,5.4483205738152716e-18,2.6512615802806678e-15,2.7959921605115673e-34,1.6676882400926436e-08,1.6213923824614297e-29,3.6644079400837619e-08,1.653586108530292e-22,6.2666494598594116e-22,2.3794451571943718e-28,3.8815602391346347e-31,2.3374636554300062e-15,5.9585186506428185e-22,0.0057343044423941612,0.0032683510160865449,1.0156197583020364e-11,2.8224344802573652e-05,7.591044927135927e-16,2.1242414294458027e-09,1.9258087764027034e-05,7.5116512116383183e-14,1.6226692882494618e-16,3.5756724354021633e-07
1.826405441393763e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32851247469698608,0.11291640965642219,0.021185100112083809,0.0,2.5431970081381121e-16,2.4130679762407365e-05,5.4753741290859427e-18,2.6630117720277669e-15,2.8209207590737613e-34,1.67018916097548e-08,1.6347029184471667e-29,3.670419712074621e-08,1.6622708673179723e-22,6.3211244311003088e-22,2.3955128105082462e-28,3.9068608725882615e-31,2.3498714899424394e-15,5.9984627036339373e-22,0.0057342256396674006,0.0032729351618627891,1.0169960395810001e-11,2.8254735852072571e-05,7.6033602275243477e-16,2.1324936484044665e-09,1.931188931421106e-05,7.5303877541054686e-14,1.6295076233614304e-16,3.5893357735482618e-07
1.8290944503294719e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32850788435898892,0.11291643455219745,0.021182808351201718,0.0,2.5615904358342613e-16,2.4221869102063355e-05,5.5025188738480563e-18,2.6747971989641039e-15,2.8460296927002526e-34,1.6726901537115668e-08,1.6481033611282936e-29,3.6764272049995681e-08,1.6709884599810017e-22,6.3759703065196292e-22,2.4116597208930111e-28,3.9322870451010418e-31,2.3623186822937136e-15,6.0386163919851813e-22,0.0057341468369542211,0.0032775186836267733,1.0183721335244285e-11,2.8285104233763023e-05,7.6156836099089574e-16,2.1407651048930466e-09,1.9365762956941499e-05,7.5491399867781285e-14,1.6363646438471566e-16,3.603022137913661e-07
1.8317834592651808e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32850329459291949,0.11291645937574965,0.021180516902269263,0.0,2.580081000513279e-16,2.4313211628376138e-05,5.5297549624762695e-18,2.6866179148212274e-15,2.8713199561438547e-34,1.675191216624917e-08,1.6615941851208425e-29,3.6824304219815218e-08,1.6797389603287689e-22,6.4311888717681266e-22,2.4278861280525554e-28,3.9578391795226691e-31,2.3748052584895701e-15,6.0789805076443689e-22,0.005734068034363494,0.0032821015814914678,1.0197480401577638e-11,2.8315450063515935e-05,7.6280150909882533e-16,2.149055822173097e-09,1.9419708680337292e-05,7.567907931137358e-14,1.6432403724502331e-16,3.6167315149136554e-07
1.834203567307319e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32849916429218934,0.11291648165511739,0.021178454864900338,0.0,2.5968058141339583e-16,2.4395550810627414e-05,5.5543456688046811e-18,2.6972867755134848e-15,2.8942370554347114e-34,1.6774422318655076e-08,1.6738135964375484e-29,3.687829663963334e-08,1.6876426077469043e-22,6.4812057099228498e-22,2.4425580625521065e-28,3.980944147995877e-31,2.3860768716449825e-15,6.1154887830641656e-22,0.005733997112224846,0.0032862256562291442,1.0209861960020415e-11,2.8342742123413348e-05,7.6391203836652806e-16,2.156533951975145e-09,1.9468321450547506e-05,7.5848125165274176e-14,1.6494445424281739e-16,3.6290896188482301e-07
1.836623675349457e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32849503445422767,0.11291650387583975,0.021176393080123725,0.0,2.613609780497153e-16,2.4478013951460414e-05,5.579010601155897e-18,2.7079843028815475e-15,2.9173025711632712e-34,1.6796933013764573e-08,1.6861069509958456e-29,3.6932254473696966e-08,1.6955730240682494e-22,6.5315271853817914e-22,2.4572947588892389e-28,4.0041517979678257e-31,2.3973804254576472e-15,6.1521687273582232e-22,0.0057339261903483667,0.0032903492257821848,1.0222242001730694e-11,2.8370016092530931e-05,7.6502322698967115e-16,2.1640277115183338e-09,1.9516992587824166e-05,7.6017298224621738e-14,1.6556639009872804e-16,3.6414663422741072e-07
1.839043783391595e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32849090507880424,0.1129165260378502,0.021174331547898287,0.0,2.6304931232864539e-16,2.4560600993261452e-05,5.603749871983388e-18,2.7187105360554244e-15,2.9405172363444096e-34,1.6819444239417299e-08,1.6984745984900041e-29,3.6986177745999616e-08,1.7035302631801612e-22,6.582154609647258e-22,2.4720963923188227e-28,4.0274624391816808e-31,2.408715938624551e-15,6.1890209215538644e-22,0.0057338552688091914,0.003294472290232876,1.0234620526916526e-11,2.8397272053436913e-05,7.6613507676030491e-16,2.171537115836013e-09,1.9565722083512758e-05,7.6186598543444456e-14,1.6618984646915537e-16,3.6538616754409975e-07
1.8414638914337332e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32848677616569072,0.11291654814108354,0.021172270268182889,0.0,2.6474560663162006e-16,2.4643311878711022e-05,5.6285635937134434e-18,2.729465514152276e-15,2.9638817864787455e-34,1.6841955983471335e-08,1.7109168897869952e-29,3.7040066480912419e-08,1.7115143789952219e-22,6.633089297304339e-22,2.4869631382567322e-28,4.0508763818495616e-31,2.4200834297608677e-15,6.2260459478471535e-22,0.005733784347681169,0.0032985948496634838,1.0246997535795991e-11,2.8424510088108268e-05,7.6724758908279126e-16,2.1790621791582684e-09,1.9614509928961072e-05,7.6356026132970468e-14,1.6681482501023442e-16,3.6662756086462152e-07
1.8438839994758713e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32848264771466013,0.11291657018547591,0.021170209240936416,0.0,2.6644988335309109e-16,2.4726146550781622e-05,5.6534518787451158e-18,2.7402492762763549e-15,2.9873969595574e-34,1.6864468233803287e-08,1.7234341769286582e-29,3.7093920703179451e-08,1.7195254254511702e-22,6.6843325660207676e-22,2.5018951722797168e-28,4.0743939366524144e-31,2.4314829174002778e-15,6.2632443896034339e-22,0.0057337134270368777,0.0033027169041562514,1.0259373028587251e-11,2.8451730277934206e-05,7.6836076535672644e-16,2.1866029157031235e-09,1.966335611551846e-05,7.6525581003929736e-14,1.6744132737740416e-16,3.6787081322343375e-07
1.8463041075180094e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32847851972548814,0.11291659217096456,0.021168148466117753,0.0,2.6816216490047086e-16,2.4809104952735717e-05,5.6784148394501628e-18,2.7510618615189456e-15,3.0110634960667506e-34,1.6886980978308451e-08,1.7360268131338657e-29,3.7147740437913108e-08,1.7275634565108384e-22,6.7358857365467926e-22,2.5168926701252653e-28,4.0980154147399038e-31,2.4429144199952811e-15,6.3006168313578831e-22,0.0057336425069476546,0.0033068384537933999,1.027174700550844e-11,2.8478932703720489e-05,7.6947460699097776e-16,2.1941593396816543e-09,1.9712260634535805e-05,7.6695263166765112e-14,1.6806935522539985e-16,3.6911592365968789e-07
1.8487242155601475e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32847439219795133,0.11291661409748803,0.021166087943685796,0.0,2.6988247369407578e-16,2.4892187028123577e-05,5.7034525881729885e-18,2.7619033089583103e-15,3.0348821389931989e-34,1.6909494204900898e-08,1.7486951528006925e-29,3.7201525710589534e-08,1.7356285261620833e-22,6.7877501327150123e-22,2.5319558076914778e-28,4.1217411277303023e-31,2.4543779559175125e-15,6.3381638588160422e-22,0.0057335715874836119,0.0033109594986571308,1.0284119466777755e-11,2.8506117445693644e-05,7.705891153879346e-16,2.2017314652920024e-09,1.9761223477365522e-05,7.6865072631359217e-14,1.6869891020826239e-16,3.7036289121719576e-07
1.8535644316444237e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32846613852690126,0.11291665777339958,0.021161967655817664,0.0,2.7334726276541096e-16,2.5058721974828445e-05,5.7537528989124431e-18,2.7836729466749201e-15,3.08297872857168e-34,1.6954522056098445e-08,1.7742603660205198e-29,3.7308992973466522e-08,1.7518399973154701e-22,6.8924179127192909e-22,2.5622797063805363e-28,4.1695065072352264e-31,2.4774012008277369e-15,6.4137840195207842e-22,0.0057334297507054977,0.003319200074393033,1.030885984323365e-11,2.8560434196236007e-05,7.7282013809680786e-16,2.2169228781546083e-09,1.9859324099879466e-05,7.720507350349343e-14,1.6996260819125059e-16,3.7286239389432504e-07
1.8584046477287e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.328457886699762,0.11291670121274255,0.021157848377003425,0.0,2.7684443018557452e-16,2.5225750944976249e-05,5.8043537091693511e-18,2.8055585017895381e-15,3.1316927223655788e-34,1.6999551691088242e-08,1.8001326754391325e-29,3.74163227027217e-08,1.7681602713122158e-22,6.9983465583354818e-22,2.5928682787388455e-28,4.2176925774810805e-31,2.5005527974985188e-15,6.4901095807899955e-22,0.0057332879172396958,0.0033274386320211323,1.0333594159700985e-11,2.8614681159949955e-05,7.7505384474002176e-16,2.2321772676792394e-09,1.9957657913910453e-05,7.7545583691350467e-14,1.7123243454471749e-16,3.7536931369727541e-07
1.8680850798972523e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32844138857036004,0.11291678737994149,0.021149612845223167,0.0,2.8393661955896759e-16,2.5561289194221245e-05,5.906460418850073e-18,2.8496786126038311e-15,3.230997100572024e-34,1.7089615928753961e-08,1.8528101133755802e-29,3.7630570431535741e-08,1.8011289594183067e-22,7.214029302138863e-22,2.6548450988334788e-28,4.3153368368990628e-31,2.5472416212311204e-15,6.64489583513054e-22,0.0057330042623026604,0.003343909695580914,1.0383044619656242e-11,2.8722968203587928e-05,7.7952935491354832e-16,2.2628754294390868e-09,2.0155024840047461e-05,7.8228132264638404e-14,1.7379052518067719e-16,3.804053748118013e-07
1.8777655120658047e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3284248977962983,0.11291687259569558,0.021141381345719714,0.0,2.9116048278789212e-16,2.5898798296786113e-05,6.0097798940007223e-18,2.8942661360328835e-15,3.3328440350616626e-34,1.7179686153643847e-08,1.9067507187841238e-29,3.7844270692454766e-08,1.8345380575740162e-22,7.4348845685658754e-22,2.7178976022620637e-28,4.4146940742354179e-31,2.5944455647483859e-15,6.8025606699336865e-22,0.0057327206266143743,0.0033603726945870796,1.0432470860619562e-11,2.8830983442139793e-05,7.8401573619412187e-16,2.2938268543524581e-09,2.0353323703070709e-05,7.8912718785505108e-14,1.7637328763981605e-16,3.8547101553130258e-07
1.887445944234357e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32840841436453594,0.11291695685687986,0.021133153875870458,0.0,2.9851746400772375e-16,2.6238274842064358e-05,6.1143193042572014e-18,2.9393235632277738e-15,3.4372829395277291e-34,1.7269761606576319e-08,1.9619780512605697e-29,3.8057425362818074e-08,1.8683910391120182e-22,7.6609993506488676e-22,2.782037164091939e-28,4.5157845774086298e-31,2.6421657457585806e-15,6.963142434280667e-22,0.0057324370138519647,0.0033768276342848406,1.0481872896572034e-11,2.893873160347773e-05,7.8851307905212121e-16,2.3250324435127861e-09,2.0552553950668785e-05,7.9599343582949536e-14,1.78980827267579e-16,3.905661779367316e-07
1.8971263764029095e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32839193826241669,0.11291704016061628,0.021124930433055474,0.0,3.0600901046032657e-16,2.6579715485897411e-05,6.2200858120495225e-18,2.9848533818025686e-15,3.5443638848270964e-34,1.7359841533537471e-08,2.0185159800395459e-29,3.8270036397669134e-08,1.902691383537365e-22,7.8924614297617519e-22,2.8472752000385714e-28,4.6186287538846995e-31,2.6904032623437593e-15,7.1266797787761795e-22,0.0057321534274452374,0.003393274519914074,1.0531250741498882e-11,2.9046217281918474e-05,7.9302147413886933e-16,2.3564930953031834e-09,2.0752715030924736e-05,8.0288006882449669e-14,1.8161324923143273e-16,3.9569080518743148e-07
