Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
1.3782776315783042e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32931089863963625,0.11291117447917688,0.021571346353100557,0.0,8.2668720857311734e-11,1.2993123373541175e-06,0.0,6.1408386629068741e-10,0.0,1.1230927797802369e-05,1.5774624893916755e-21,1.2603863104810233e-08,4.9377897697321245e-17,3.3002990991415804e-13,0.0,0.0,7.0924178335945458e-13,9.016061035326569e-17,0.0057474924522919598,0.0025004382945775787,6.5069346530573335e-08,5.5591343706023393e-10,8.6492288010494565e-06,1.8959433899525684e-08,1.8728542078107e-09
1.385532216028427e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32929838317759713,0.11291125776127665,0.021565020845117092,0.0,8.4792284487726859e-11,1.325374208379197e-06,0.0,6.2916901422878122e-10,0.0,1.1341732585529515e-05,1.6509305430965746e-21,1.2687272578576787e-08,5.0939371807449727e-17,3.3785937849520465e-13,0.0,0.0,7.2147477023700132e-13,9.3420668518553782e-17,0.0057472979472294496,0.002513089265902308,6.5439388861779314e-08,5.6250301136307675e-10,8.707462136557761e-06,1.9345243352835585e-08,1.8908087092557846e-09
1.39278680047855e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32928587342711629,0.11291134142966458,0.021558697672403013,0.0,8.6955314804334801e-11,1.3517609669526802e-06,0.0,6.4454762028977105e-10,0.0,1.1453049489458952e-05,1.7274624275707926e-21,1.2770787623866042e-08,5.2543089023090719e-17,3.4582626640002635e-13,0.0,0.0,7.3383519538653159e-13,9.6783589625008533e-17,0.0057471025427545874,0.0025257355664707777,6.5809777188880145e-08,5.6912033013988288e-10,8.7655488087366978e-06,1.9735952793682316e-08,1.9088382150526792e-09
1.4000413849286728e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32927336934075074,0.11291142543790446,0.021552376833755361,0.0,8.915821685204098e-11,1.3784733080501138e-06,0.0,6.6022387828866571e-10,0.0,1.1564877985484962e-05,1.807171110788518e-21,1.2854404651741661e-08,5.4189998920826941e-17,3.5393205677154107e-13,0.0,0.0,7.4632325504917857e-13,1.0025215023294425e-16,0.0057469062858203409,0.0025383771986891056,6.6180510552312225e-08,5.7576510762410991e-10,8.8234868912574992e-06,2.0131573525791941e-08,1.9269425681995227e-09
1.4072959693787957e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3292608708733038,0.11291150974187289,0.021546058327973686,0.0,9.1401394906796326e-11,1.4055118910687898e-06,0.0,6.762020197526912e-10,0.0,1.167721754882365e-05,1.8901731814363472e-21,1.293812007920525e-08,5.5881067981801457e-17,3.621782366553591e-13,0.0,0.0,7.5893913678534847e-13,1.0382918917354249e-16,0.0057467092210675688,0.0025510141649583711,6.6551587997151627e-08,5.8243706031434842e-10,8.8812745294504608e-06,2.0532116299246181e-08,1.9451216117349331e-09
1.4145505538289185e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32924837798171147,0.11291159429964515,0.021539742153859981,0.0,9.3685252441285917e-11,1.4328773401452694e-06,0.0,6.9248631404446709e-10,0.0,1.1790067654023675e-05,1.9765889473635593e-21,1.3021930330341417e-08,5.7617279808999417e-17,3.7056629694955267e-13,0.0,0.0,7.7168301957623926e-13,1.0751760865464155e-16,0.0057465113909389368,0.0025636464676747879,6.6923008572932582e-08,5.8913590705121348e-10,8.9389099396706449e-06,2.0937591314940783e-08,1.9633751887398451e-09
1.4218051382790414e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32923589062493391,0.11291167907138713,0.021533428310218587,0.0,9.6010192092036504e-11,1.4605702444857578e-06,0.0,7.0908106848451372e-10,0.0,1.1903427774976609e-05,2.0665425362065e-21,1.3105831837439903e-08,5.9399635346121196e-17,3.7909773235616199e-13,0.0,0.0,7.8455507392697431e-13,1.1132037538059611e-16,0.0057463128357872536,0.002576274109229872,6.7294771333467287e-08,5.9586136909184249e-10,8.9963914086370485e-06,2.1348008229255922e-08,1.981703142339286e-09
1.4290597227291642e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32922340876385431,0.11291176401925207,0.021527116795856099,0.0,9.8376615627971382e-11,1.488591158709192e-06,0.0,7.2599062847307929e-10,0.0,1.2017297384926855e-05,2.1601619982683069e-21,1.3189821042093989e-08,6.1229153098078263e-17,3.8777404133447341e-13,0.0,0.0,7.9755546197130435e-13,1.1524052168662416e-16,0.0057461135939783524,0.0025888970920105981,6.7666875336667819e-08,6.0261317018065905e-10,9.0537172927455735e-06,2.1763376158936619e-08,2.0001053157040808e-09
1.436314307179287e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32921093236118049,0.11291184910728312,0.021520807609581322,0.0,1.0078492392038349e-10,1.5169406032022692e-06,0.0,7.4321937761129778e-10,0.0,1.2131675956481194e-05,2.2575794116620468e-21,1.3273894396275424e-08,6.3106869353088797e-17,3.9659672605602997e-13,0.0,0.0,8.1068433757775439e-13,1.1928114668753655e-16,0.0057459137019888968,0.0026015154183995502,6.8039319644369922e-08,6.0939103661674866e-10,9.1108860173573343e-06,2.2183703686171511e-08,2.0185815520524811e-09
1.44356889162941e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32919846138135322,0.11291193430131996,0.021514500750205182,0.0,1.0323551691431953e-10,1.5456190644858945e-06,0.0,7.6077173782167347e-10,0.0,1.2246562961617936e-05,2.3589309897544444e-21,1.3358048363385641e-08,6.5033838406370703e-17,4.0556729236136803e-13,0.0,0.0,8.2394184645711837e-13,1.2344541744094772e-16,0.0057457131944993701,0.0026141290907750617,6.8412103322158149e-08,6.1619469731919177e-10,9.1678960760633806e-06,2.2608998863861639e-08,2.0371316946517373e-09
