Time (s),Volume (m^3),Ar,Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),HeX(44),C2H4X(59)
8.771794261272671e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027262044136470136,0.49998507236867695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999547882355089,1.4927631323140444e-05,4.521176449200483e-06
8.967090491687138e-12,0.0009467769729032257,0.0,0.0,0.0,0.002725794769768176,0.49998474123401643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999540031433276,1.5258765983743163e-05,4.5996856674355358e-06
9.162386722101605e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027253859937065548,0.49998441015045819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999532262182939,1.5589849542062301e-05,4.6773781707378348e-06
9.357682952516072e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027249780770157652,0.49998407911789694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999524573769977,1.5920882103296453e-05,4.7542623002930264e-06
9.55297918293054e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027245710113356159,0.49998374813622859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999516965368801,1.6251863771622629e-05,4.8303463121164175e-06
9.748275413345007e-12,0.0009467769729032257,0.0,0.0,0.0,0.002724164788391225,0.49998341720534989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999509436162221,1.6582794650206682e-05,4.9056383779226542e-06
9.943571643759474e-12,0.0009467769729032257,0.0,0.0,0.0,0.0027237593999921545,0.49998308632515898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999950198534141,1.691367484121361e-05,4.9801465859864782e-06
1e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027236424224295632,0.4999829907309698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999499847004064,1.7009269030326536e-05,5.0015299594643818e-06
1.013886787417394e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027233548380315416,0.49998275549555432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999494612105816,1.7244504445817796e-05,5.0538789419947231e-06
1.0334164104588408e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027229510944852516,0.49998242471643595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999487315663027,1.7575283564213096e-05,5.1268433698896106e-06
1.0529460335002875e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027225481614110282,0.4999820939877046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999480095228749,1.7906012295622868e-05,5.1990477127034159e-06
1.0724756565417342e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027221460309476597,0.49998176330926186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999472950026674,1.8236690738309828e-05,5.2704997333846287e-06
1.0920052795831809e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027217446953141534,0.49998143268101058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999465879288452,1.8567318989585916e-05,5.3412071156156721e-06
1.1115349026246276e-11,0.0009467769729032257,0.0,0.0,0.0,0.0027213441468089106,0.49998110210285435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999945888225355,1.8897897145821949e-05,5.4111774646222714e-06
