Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.814803465219852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319711956,0.11866996602721706,0.02282156769298822,6.9958828333187779e-76,3.2278034683382656e-49,4.8275402010777274e-30,1.1448348749758845e-54,1.9023594030149714e-39,1.2396422665708325e-92,6.9296775021469943e-19,1.3354266426895573e-83,6.9296774073005693e-19,3.1118996433594434e-56,2.1724561903216797e-51,1.1733802742566372e-76,7.0900726450792256e-78,4.2147412424317056e-40,9.8069190429117269e-66,2.7482111771924732e-12,1.3213643565785312e-13,5.0932506051910643e-17,5.0932537455334235e-17,3.7987772544603321e-26,1.5626569338742782e-23,5.9572785679012639e-26,1.9427031236226268e-29,2.8245665616049948e-48,1.8016396553500604e-40,1.0386439502216966e-66,1.2101860662757837e-69,1.6622606197391266e-69
1.3629612707425078e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319423908,0.1186699660244688,0.022821567692922151,3.5663892926682184e-73,5.1216537444806601e-48,1.9398123919426677e-29,1.4591292090048986e-52,1.5218881541624026e-38,6.3222701531544123e-90,1.385936106729736e-18,8.5467387648027588e-82,1.3859360687911518e-18,4.979041938607219e-55,3.4470728050515187e-50,2.9910515508279595e-74,1.8073144901136795e-75,3.344792682106551e-39,3.1382158137890093e-64,5.4964246823308054e-12,2.6427298332565414e-13,1.018650239625759e-16,1.0186514981452582e-16,1.5064764250316946e-25,6.2269616627981513e-23,4.7474343955562749e-25,3.0949539142962888e-28,1.7999829121851236e-46,1.4474437829941716e-39,2.6475810783602592e-64,3.0847163677299114e-67,4.2369587569619994e-67
2.725923119183553e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318847819,0.11866996601897227,0.022821567692790014,1.8118584879778163e-70,8.0607621717060543e-47,7.8288715195044856e-29,1.8534447999076505e-50,1.2175097279615709e-37,3.2147890201004445e-87,2.771872876351166e-18,5.4699110033187915e-80,2.7718727245968624e-18,7.9664624689549116e-54,5.4251157224458381e-49,7.5988820357866913e-72,4.5915085397621154e-73,2.6336203945748179e-38,1.0042285118639801e-62,1.0992851687376673e-11,5.2854607865048917e-13,2.0372996583205806e-16,2.0373047112725401e-16,5.9240924933276214e-25,2.4720488794621786e-22,3.768824035550979e-24,4.9137748289862412e-27,1.1431749163269351e-44,1.1676650343281943e-38,6.7262032876178365e-62,7.8359881762033811e-65,1.0762590925612209e-64
5.451846816065644e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317695641,0.11866996600797922,0.022821567692525739,9.1388692695634156e-68,1.248815717190183e-45,3.186086612913773e-28,2.3377014566579384e-48,9.7400578731635493e-37,1.6243849459827072e-84,5.5437466419590648e-18,3.5007367724355725e-78,5.5437460349423711e-18,1.2746314995476341e-52,8.404595402220459e-48,1.9169445022645261e-69,1.1582624011434992e-70,2.0423585415052229e-37,3.2135250882499903e-61,2.1985705676545238e-11,1.0570922692571475e-12,4.0745947376432696e-16,4.0746150975414385e-16,2.2919297348835948e-24,9.741420974162641e-22,2.9694049849466367e-23,7.7457097734550362e-26,7.2088764564363773e-43,9.4935489602540171e-38,1.6967570418179217e-59,1.9763217266123068e-62,2.7142436950662334e-62
1.0903694209829825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315391279,0.11866996598599309,0.022821567691997193,4.5444150164564584e-65,1.8783990808071225e-44,1.3162966099024971e-27,2.9074815297703144e-46,7.7920114879970211e-36,8.1060135600325802e-82,1.1087495078631539e-17,2.2404623904462054e-76,1.1087492650569738e-17,2.0394016033781113e-51,1.2640895607801716e-46,4.7687913143678047e-67,2.8813047619719526e-68,1.5393139549802415e-36,1.0283236702022306e-59,4.3971413571189661e-11,2.1141846502987419e-12,8.1491698640763727e-16,8.1492524446873559e-16,8.6000877312922584e-24,3.7839060447924045e-21,2.3053643103893803e-22,1.2037949321979979e-24,4.4824613907544614e-41,7.8288493410098135e-37,4.2208324840762851e-57,4.9143454316033822e-60,6.7482628971497756e-60
2.180738899735819e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310782554,0.11866996594202085,0.022821567690940101,2.1992439508643012e-62,2.6814306762677318e-43,5.5742554978699088e-27,3.5209211168690985e-44,6.2335523381407051e-35,3.9504893962826909e-79,2.2174995573776598e-17,1.4338837274286615e-74,2.2174985861569895e-17,3.2630137704905811e-50,1.8042786249444069e-45,1.1552021678601836e-64,6.9792030452080437e-66,1.1030903913842245e-35,3.2906071778855235e-58,8.7942829025707707e-11,4.2283694116973559e-12,1.6298259988538226e-15,1.6298598799237588e-15,3.0570685840659176e-23,1.430382389902743e-20,1.7404838129506572e-21,1.8210283142059923e-23,2.7135053819221708e-39,6.6095440608653266e-36,1.0223678587801907e-54,1.1894209936041996e-57,1.6328012856971601e-57
4.3614778572414917e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301565111,0.11866996585407637,0.022821567688825917,1.013097794035297e-59,3.5204292119670483e-42,2.4422000328517145e-26,4.0623596945878201e-42,4.9867504462981357e-34,1.8452523377798158e-76,4.4350011051052953e-17,9.1766983608086979e-73,4.4349972202552046e-17,5.2207293721801579e-49,2.3683111649553429e-44,2.6666443501842596e-62,1.6108199725329184e-63,7.2915016786085899e-35,1.0529759064506462e-56,1.7588565859566058e-10,8.4567389317685746e-12,3.259619972740223e-15,3.2597614265417972e-15,9.965873909391196e-23,5.1496241069191618e-20,1.2490982215517099e-20,2.6230816908160658e-22,1.5647444923256889e-37,5.7665208957150172e-35,2.3595719687690306e-52,2.7409117646821788e-55,3.7604155497032818e-55
6.542216814747164e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292347667,0.11866996576613188,0.022821567686711734,8.4452297104078029e-59,1.2326201770394246e-41,5.4657578894314939e-26,2.577588283149833e-41,1.4804260980696734e-33,1.5363534311490651e-75,6.6525041015102773e-17,5.2102265881239636e-72,6.6524958462516038e-17,1.9750910854360641e-48,8.296248911874548e-44,1.9514158316430952e-61,1.1787272786435192e-62,1.8819454098703842e-34,4.9120743069891708e-56,2.6382848682653032e-10,1.2685108449121872e-11,4.8893898959764548e-15,4.8896983010623701e-15,1.8564719600327069e-22,1.0199907228996742e-19,3.3611253098151008e-20,9.1913398487890382e-22,8.4367633904551143e-37,1.7193016899132998e-34,1.7266149102865995e-51,2.0154231506898917e-54,2.7646596608060044e-54
1.0903694729758509e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756273912775,0.11866996559024293,0.022821567682483362,1.2126079099084149e-56,7.6209858167312553e-41,1.6659988039149833e-25,9.808654780889917e-40,6.934380454521305e-33,1.8988983760106876e-73,1.1087515888857446e-16,1.4006034781164348e-70,1.1087493065837412e-16,1.5587091690330661e-47,5.1306613376183184e-43,1.302243876342856e-59,7.8628887181448097e-61,6.7482541752468667e-34,6.582280501176768e-55,4.3971413793193717e-10,2.1141847472991081e-11,8.1488335426940835e-15,8.1497314832676052e-15,3.9183739903166935e-22,2.4031279098100092e-19,1.3110226894118833e-19,6.0430687781738395e-21,1.8554945953214112e-35,8.6850424092680706e-34,1.1516956042789145e-49,1.6344258262748607e-52,2.239666911537891e-52
1.4829024853268719e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756257321374,0.11866996543194287,0.02282156767867783,7.6069205719558565e-56,1.9418758677756283e-40,3.1201387850043033e-25,4.4315876838690751e-39,1.6001437018422428e-32,1.0524197075819496e-72,1.5079031177920643e-16,6.0815243217563246e-70,1.5078990537287724e-16,4.3741711772180517e-47,1.3077620960712032e-42,6.4705262812495229e-59,3.9061072401963672e-60,1.33603033249425e-33,2.1845827040592911e-54,5.9801121960019253e-10,2.8752912585732057e-11,1.1082255120831893e-14,1.1083900231590866e-14,5.9216278372786907e-22,3.8661400666822436e-19,2.7001238050810166e-19,1.5508011443121087e-20,7.4656125546105898e-35,2.0393684186167248e-33,5.7213031135394125e-49,9.5973923587216988e-52,1.3148999254111975e-51
