Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74),S(216)
2.9795673186483936e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441779449897155,0.08394237686283539,0.009210268092064103,1.540115714287605e-05,0.0003956808303734862,0.05213656689215416,0.02636942103929951,4.6190233928396e-05,1.668789231475347e-10,0.0019994955150760773,5.344510795114186e-11,0.0005230493744006784,2.8191484988026243e-09,5.911128816058044e-06,2.5082992006393013e-09,1.430216763428506e-10,1.2639377324894705e-05,1.764361837029413e-05,0.006048014160138251,0.0003977063249881365,0.000532883485892523,2.7712171529369786e-08,4.5815606700898495e-09,1.1597460166635325e-08,1.1646536193436724e-10,1.7569483438046656e-06,9.627217615582215e-05,3.668273493245544e-06,0.0010468723754453021,2.792136943545288e-05,6.215273175204542e-09,8.194562912730649e-08,4.2956526857923134e-10,6.629782600580154e-06,1.781282080175251e-08,1.3194121946772959e-10,2.0121734216511227e-06,5.8026203150345664e-11,4.993928388970121e-12,6.142089400491664e-13,3.429858130565582e-14,1.043446577729858e-19
2.9811752524667223e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441808850120529,0.0839301318660143,0.009205700131452759,1.5401773892415917e-05,0.00039579286528093616,0.05216246233133569,0.026382000885861238,4.617608734381828e-05,1.6712524764971477e-10,0.001999190708533146,5.343331869378856e-11,0.0005231008270116214,2.818961170945043e-09,5.907950542376973e-06,2.5097428549292343e-09,1.430794346212028e-10,1.2633253325755224e-05,1.7652650341939223e-05,0.006047173828491853,0.0003941595840994062,0.0005330099929315972,2.7471395344191665e-08,4.578590306627029e-09,1.159518324725196e-08,1.1741198142030664e-10,1.771519194981119e-06,9.704823763566125e-05,3.6699826783668306e-06,0.0010473997180558395,2.7935662945900873e-05,6.214366841438624e-09,8.198526512361978e-08,4.2986460037520496e-10,6.627123628677088e-06,1.7817934230143166e-08,1.3198404070335e-10,2.0132308750694083e-06,5.756629489259016e-11,4.996517910450069e-12,6.142939532806458e-13,3.4303328925878493e-14,1.0440225459145412e-19
2.982783186285051e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441838053220695,0.0839178894338863,0.009201134367324905,1.5402361894013925e-05,0.0003959046444970685,0.05218835297516926,0.026394567431755944,4.616194541125198e-05,1.6737176146120966e-10,0.0019988859739209445,5.342153363286689e-11,0.0005231522626500224,2.8187739508515103e-09,5.904772515194001e-06,2.5111854020610943e-09,1.431371329141333e-10,1.2627131543636687e-05,1.7661679419857054e-05,0.006046333443563215,0.00039062206302227254,0.0005331364284803712,2.723114525555995e-08,4.575621892885166e-09,1.1592908830889534e-08,1.183716178283872e-10,1.7862891350688115e-06,9.783485484804218e-05,3.671689320251625e-06,0.0010479269255751,2.7949951876905693e-05,6.2134604429857875e-09,8.20248566653962e-08,4.301636866894018e-10,6.624465338470704e-06,1.7823035543300744e-08,1.3202678096921994e-10,2.014287937740666e-06,5.7107160244702235e-11,4.999106424854208e-12,6.143778047533757e-13,3.4308011668819486e-14,1.0445964360284916e-19
2.9842303267215466e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44418641646474183,0.0839068734390916,0.009197027057091706,1.540286656110874e-05,0.0003960050275143034,0.05221165045667257,0.026405865808778194,4.61492216574657e-05,1.6759378562120211e-10,0.0019986117746537873,5.341093067753984e-11,0.0005231985402737652,2.8186055454625908e-09,5.901912505260052e-06,2.512482734272979e-09,1.431890097409251e-10,1.2621623847045254e-05,1.7669803116993383e-05,0.00604557704846896,0.0003874463198015359,0.0005332501590585131,2.7015380372229945e-08,4.572951987535483e-09,1.1590864027422368e-08,1.1924659674710387e-10,1.7997549823008772e-06,9.855197639484573e-05,3.673223094252988e-06,0.0010484012961673357,2.7962808001201477e-05,6.212644626421061e-09,8.20604505453142e-08,4.3043265089433703e-10,6.62207346076353e-06,1.7827616371745594e-08,1.3206517732418215e-10,2.0152389590418165e-06,5.669462188900971e-11,5.001435223619497e-12,6.144522793656325e-13,3.4312170756225573e-14,1.0451111610240351e-19
2.985677467158042e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441890111111241,0.08389585952415388,0.009192921525062384,1.5403348027597106e-05,0.0003961052040598684,0.0522349440578306,0.026417153145604496,4.61365016868975e-05,1.6781596287816656e-10,0.0019983376343687786,5.340033114295788e-11,0.0005232448042634582,2.8184372284063843e-09,5.8990527020219175e-06,2.513779144211409e-09,1.432408373239238e-10,1.2616117968297373e-05,1.7677924472355066e-05,0.006044820604397629,0.0003842783123765005,0.0005333638311824241,2.680006109768524e-08,4.570283661484567e-09,1.1588821309871835e-08,1.2013245073957108e-10,1.8133871175004453e-06,9.927791228488543e-05,3.674754753487702e-06,0.0010488755560750021,2.7975660419542054e-05,6.21182875249252e-09,8.209600748129273e-08,4.307014095321143e-10,6.619682136403713e-06,1.7832187396603574e-08,1.321035068651583e-10,2.016189661933812e-06,5.6282750277631634e-11,5.003763200746424e-12,6.14525815962817e-13,3.4316277461122067e-14,1.0456242040665031e-19
2.9871246075945377e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44419158900528555,0.08388484769026526,0.009188817770794779,1.540380633552307e-05,0.0003962051744468523,0.05225823378051559,0.02642842931327954,4.612378550682835e-05,1.680382931140659e-10,0.0019980635534133416,5.3389735039546004e-11,0.0005232910546739298,2.8182690001869487e-09,5.896193108815643e-06,2.5150746195566084e-09,1.4329261534514245e-10,1.2610613918063302e-05,1.7686043486970074e-05,0.006044064108532745,0.0003811181701924174,0.0005334774445869494,2.658519684841339e-08,4.567616914762255e-09,1.1586780706533365e-08,1.2102934016883933e-10,1.8271879720575926e-06,0.00010001279028232281,3.67628427157593e-06,0.0010493497046877352,2.798850913355434e-05,6.211012818799754e-09,8.21315270207667e-08,4.3096995935926914e-10,6.617291365952445e-06,1.7836748622790257e-08,1.321417689980746e-10,2.017140045492547e-06,5.5871564832147465e-11,5.006090353373883e-12,6.145984160395214e-13,3.4320331866985394e-14,1.0461355658884726e-19
2.9885717480310332e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441941498879564,0.08387383793863616,0.009184715793851156,1.5404241528020257e-05,0.0003963049389953318,0.05228151962662022,0.026439694181151087,4.611107312462643e-05,1.6826077620913293e-10,0.0019977895321395757,5.3379142377844694e-11,0.0005233372915606362,2.818100861314599e-09,5.893333728980644e-06,2.5163691478267246e-09,1.4334434348176508e-10,1.2605111707157734e-05,1.7694160161874316e-05,0.0060433075580188685,0.00037796602437351425,0.0005335909990030924,2.6370797165104188e-08,4.564951747410086e-09,1.1584742246087041e-08,1.2193742758063084e-10,1.8411600099011576e-06,0.00010075673983054356,3.6778116218719885e-06,0.001049823741386666,2.800135414487774e-05,6.210196822912135e-09,8.216700870519777e-08,4.31238297101346e-10,6.614901149974561e-06,1.784130005541555e-08,1.3217996312106263e-10,2.018090108779566e-06,5.5461085226799063e-11,5.008416678600217e-12,6.146700811352963e-13,3.432433405980266e-14,1.046645247303534e-19
2.990018888467529e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441966934965206,0.08386283027049563,0.009180615593798219,1.5404653649326557e-05,0.00039640449803246384,0.05230480159805785,0.026450947616866345,4.609836454774858e-05,1.684834120418488e-10,0.001997515570904318,5.3368553168511726e-11,0.0005233835149796669,2.8179328123060016e-09,5.8904745658598745e-06,2.5176627163774277e-09,1.4339602140609263e-10,1.2599611346541498e-05,1.7702274498111718e-05,0.006042550949961349,0.0003748220077263369,0.0005337044941579874,2.6156871713138918e-08,4.562288159481486e-09,1.1582705957600408e-08,1.2285687771558178e-10,1.8553057276198517e-06,0.00010150989205578753,3.6793367774420876e-06,0.0010502976655443897,2.8014195455164257e-05,6.209380762369002e-09,8.220245207006041e-08,4.31506419448284e-10,6.612511489038577e-06,1.7845841699787528e-08,1.3221808862445784e-10,2.01903985084193e-06,5.5051331399224634e-11,5.0107421734830196e-12,6.147408128352541e-13,3.432828412810551e-14,1.0471532492074104e-19
2.9914660289040244e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4441992195650114,0.08385182468709106,0.009176517170207182,1.540504274479882e-05,0.0003965038518925776,0.05232807969676292,0.02646218948636966,4.6085659783741635e-05,1.6870620048892072e-10,0.001997241670069195,5.3357967422324125e-11,0.0005234297249877524,2.8177648536842644e-09,5.887615622800007e-06,2.518955312401615e-09,1.434476487854896e-10,1.259411284732318e-05,1.7710386496734148e-05,0.006041794281426086,0.000371686254741921,0.0005338179297749049,2.5943430282942364e-08,4.559626151041915e-09,1.1580671870531556e-08,1.2378785751873733e-10,1.8696276545385787e-06,0.00010227237976965457,3.680859711065878e-06,0.0010507714765249393,2.8027033066078756e-05,6.208564634679747e-09,8.223785664483213e-08,4.3177432304950045e-10,6.610122383716771e-06,1.7850373561416396e-08,1.3225614489079927e-10,2.019989270712103e-06,5.4642323576921876e-11,5.013066835039135e-12,6.14810612770679e-13,3.433218216300441e-14,1.0476595725791725e-19
2.99291316934052e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442017278241099,0.08384082118968823,0.009172420522653813,1.5405408860927606e-05,0.0003966030009172674,0.05235135392469123,0.026473419653901185,4.607295884024387e-05,1.6892914142526068e-10,0.0019969678300006816,5.3347385150180034e-11,0.0005234759216422695,2.8175969859790117e-09,5.884756903151584e-06,2.5202469229292192e-09,1.4349922528233125e-10,1.2588616220760783e-05,1.7718496158801678e-05,0.0060410375494393,0.0003685589015968015,0.000533931305573287,2.5730482789830123e-08,4.556965722168897e-09,1.1578640014727276e-08,1.2473053613535629e-10,1.884128352731952e-06,0.00010304433747051061,3.68238039528764e-06,0.0010512451736837606,2.8039866979298923e-05,6.2077484373239105e-09,8.227322195298954e-08,4.320420045285342e-10,6.607733834585245e-06,1.7854895646018367e-08,1.3229413129482025e-10,2.020938367407833e-06,5.42340822345947e-11,5.0153906602445706e-12,6.148794826196527e-13,3.433602825822339e-14,1.0481642184824618e-19
2.994215595733366e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442039698049739,0.0838309198266182,0.009168735058021077,1.5405718757454395e-05,0.00039669206019345566,0.052372297421946545,0.026483516685914834,4.6061531264019056e-05,1.6912991854144147e-10,0.001996721426201316,5.3337864084664057e-11,0.0005235174872619824,2.817445983220938e-09,5.882184249257277e-06,2.521408518953346e-09,1.4354560034179543e-10,1.258367086740183e-05,1.772579285779088e-05,0.0060403564339101806,0.00036575157953681805,0.000534033292411986,2.553926065809627e-08,4.55457268678654e-09,1.1576813277217044e-08,1.2558909095392483e-10,1.8973339745507802e-06,0.00010374730876246111,3.6837470649384613e-06,0.0010516714032694657,2.8051414341065377e-05,6.207013798031854e-09,8.230501675869179e-08,4.322827251322216e-10,6.605584616388836e-06,1.7858957167695786e-08,1.323282588030974e-10,2.0217922772960635e-06,5.386733747903866e-11,5.0174813853171735e-12,6.149406716849392e-13,3.433944541508964e-14,1.0486169665079431e-19
2.9955180221262125e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44420619693831104,0.08382102015519831,0.009165051031336214,1.5406010114819384e-05,0.00039678095409504793,0.052393237786931064,0.026493604026616727,4.605010679436886e-05,1.693308189773729e-10,0.0019964750721978273,5.332834585016991e-11,0.0005235590421550611,2.8172950549350417e-09,5.8796117814918295e-06,2.522569296402621e-09,1.4359193365556728e-10,1.2578727048556298e-05,1.7733087665820317e-05,0.006039675262320082,0.00036295127466055426,0.0005341352303573099,2.534845415304845e-08,4.552180930999743e-09,1.157498839383535e-08,1.2645738703677445e-10,1.9106884169813653e-06,0.00010445816147886287,3.6851118697002716e-06,0.0010520975396485072,2.8062958710310246e-05,6.206279098365611e-09,8.233677901174944e-08,4.3252326054195324e-10,6.603435849601836e-06,1.78630107792475e-08,1.3236232874335213e-10,2.0226459238683457e-06,5.3501245680405236e-11,5.019571428200779e-12,6.150011100683334e-13,3.4342820650951843e-14,1.0490683576116905e-19
2.9968204485190587e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44420840902082975,0.08381112217638939,0.00916136844229963,1.540628296932835e-05,0.00039686968288652966,0.05241417502111632,0.026503681573500675,4.603868543705722e-05,1.6953184263804894e-10,0.0019962287682676744,5.331883045490185e-11,0.0005236005863647026,2.817144201521327e-09,5.877039502306534e-06,2.5237292454833276e-09,1.4363822496694794e-10,1.2573784772748022e-05,1.774038058367989e-05,0.0060389940324179275,0.0003601580897383095,0.0005342371191967376,2.5158070763122666e-08,4.549790454890756e-09,1.1573165387156842e-08,1.2733555229003458e-10,1.924193615962336e-06,0.00010517699717075231,3.6864747890085094e-06,0.0010525235823331145,2.8074500088283795e-05,6.205544336426863e-09,8.236850835231446e-08,4.327636082233801e-10,6.601287534652421e-06,1.7867056485285145e-08,1.3239634064362526e-10,2.0234993063776145e-06,5.313582233939837e-11,5.021660786605804e-12,6.150607990928166e-13,3.434615403970078e-14,1.0495183927493999e-19
2.9979926322726204e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442103868568609,0.08380221544344728,0.009158055341110869,1.5406512749080148e-05,0.00039694939785234196,0.052433015856277895,0.026512742906363178,4.6028408881341214e-05,1.6971286921029893e-10,0.001996007137775229,5.331026903354764e-11,0.0005236379670550965,2.8170084977989215e-09,5.874724614304185e-06,2.5247724832203668e-09,1.436798510202448e-10,1.25693380509445e-05,1.7746942594315866e-05,0.006038380873767334,0.0003576503966956069,0.0005343287769890313,2.4987093730499677e-08,4.547640120591768e-09,1.1571526304587458e-08,1.2813444603142663e-10,1.9364788092536073e-06,0.00010583085955790545,3.687699787230796e-06,0.00105290694023282,2.8084884771963103e-05,6.204882995854903e-09,8.239703631806604e-08,4.329797585394583e-10,6.599354437875118e-06,1.7870690865433317e-08,1.3242690133551797e-10,2.024267124236646e-06,5.280752572853458e-11,5.023540622026952e-12,6.151138796324126e-13,3.4349118372814276e-14,1.049922265859241e-19
2.999164816026182e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44421235218400845,0.08379331008302483,0.009154743403963054,1.5406727599130696e-05,0.0003970289794971309,0.05245185415778989,0.0265217961460078,4.601813485563163e-05,1.6989399544563596e-10,0.0019957855482765755,5.330170992478078e-11,0.0005236753391593632,2.816872855348604e-09,5.87240988283097e-06,2.5258150346698393e-09,1.4372144264898276e-10,1.2564892592346085e-05,1.7753503075142322e-05,0.006037767664360783,0.0003551486314189628,0.0005344203946729072,2.4816471127536404e-08,4.5454908229767675e-09,1.156988877745995e-08,1.2894153386622302e-10,1.9488891424527157e-06,0.0001064913468863103,3.6889232262314553e-06,0.00105329022147681,2.809526703465604e-05,6.204221601879031e-09,8.242553706219285e-08,4.3319575285881747e-10,6.597421707751167e-06,1.787431884953721e-08,1.3245741427744943e-10,2.0250347270328797e-06,5.247979476914697e-11,5.025419899437023e-12,6.151663552991132e-13,3.4352048927490806e-14,1.0503250422373522e-19
3.0000493681503073e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4442138268830977,0.08378659083800313,0.009152244923792834,1.5406879862148734e-05,0.0003970889451781607,0.05246606822122072,0.026528622487805607,4.6010383558278266e-05,1.7003074267976546e-10,0.0019956183598985643,5.329525259349307e-11,0.0005237035351944425,2.816770537726414e-09,5.870663247214547e-06,2.5266013049773082e-09,1.4375280557375238e-10,1.2561538805043392e-05,1.775845272614976e-05,0.006037304890263085,0.0003532647231110432,0.0005344895044668594,2.4687954135148204e-08,4.54386960854139e-09,1.1568654108467831e-08,1.2955606092705444e-10,1.95833794701914e-06,0.00010699419547214353,3.689845414967184e-06,0.0010535794018114437,2.8103100085066684e-05,6.203722465203115e-09,8.244702607906954e-08,4.3335864184894614e-10,6.595963475820863e-06,1.7877052363075037e-08,1.3248040809545816e-10,2.0256138319598976e-06,5.223286434044625e-11,5.026837667394046e-12,6.152055546138155e-13,3.435423805221935e-14,1.050628259364825e-19
3.0009339202744325e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44421529430588913,0.08377987237528949,0.009149747106274569,1.5407023651721058e-05,0.00039714883514388834,0.05248028084297195,0.026535444143694315,4.600263370598395e-05,1.701675465949428e-10,0.001995451195074305,5.328879658528158e-11,0.000523731726372641,2.8166682552974894e-09,5.868916702526253e-06,2.527387177099136e-09,1.4378414870056005e-10,1.2558185743519033e-05,1.776340150659572e-05,0.006036842085561427,0.0003513842677585007,0.0005345585912605263,2.4559644615938664e-08,4.542248984524695e-09,1.156742034225889e-08,1.3017535062443288e-10,1.9678594721569978e-06,0.0001075008931365162,3.690766700475265e-06,0.001053868538126159,2.8110931757777935e-05,6.203223296690591e-09,8.246849932345228e-08,4.335214401233923e-10,6.594505452999394e-06,1.7879782238088744e-08,1.3250337436683775e-10,2.026192813852263e-06,5.198626768159651e-11,5.028255115862003e-12,6.15244410522785e-13,3.435640799985404e-14,1.0509308527913827e-19
