Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
7.605723561272817e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42883668404157244,0.055850541539744926,0.002423557134619075,1.0178728789548871e-05,9.366875924985843e-05,0.1124073618070885,0.04067575671459297,2.1275572969825698e-05,1.2499072246939537e-09,0.0013604206389574928,3.443559777788663e-11,0.0006266611543810344,2.6837161473662134e-09,1.0006756860051046e-08,4.6348333571292146e-09,1.6394459563606043e-10,3.460266487654987e-08,3.547104252936096e-05,0.0038858160435547473,6.515673629777218e-07,0.000742646687762017,6.577127177860389e-11,8.202516230573153e-10,1.4362830236343623e-08,3.904256253290409e-08,0.0004274882031021914,0.01622839662998175,5.4072261578976216e-06,0.00218000590434304,5.6134101691403286e-05,4.0700657194949816e-09,1.220383616298175e-07,2.5479722970218786e-12,9.140228596437947e-10
7.609761162072997e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4288209705467813,0.0558305724835979,0.0024208084343475705,1.0174350523473687e-05,9.364059389896955e-05,0.11244996502890049,0.040681291595396865,2.1261687680989236e-05,1.2509837718069105e-09,0.001359977304768917,3.442442141435301e-11,0.0006267252518599634,2.6837199782912788e-09,9.999593677435902e-09,4.635937437320961e-09,1.6391946941234937e-10,3.4589825819116026e-08,3.5480938363818545e-05,0.0038842843009439564,6.50490368508565e-07,0.0007427561104701893,6.56749121118432e-11,8.190543261944469e-10,1.4371518040227672e-08,3.909517287298227e-08,0.00042798556920848067,0.01624428895659564,5.407754096297342e-06,0.002180752503153659,5.614976230469435e-05,4.0686928793626035e-09,1.220504954535927e-07,2.5467212738122965e-12,9.142802886995155e-10
7.613798762873178e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42880525820640497,0.05581061067775786,0.0024180630525926367,1.0169974291362613e-05,9.361243885823337e-05,0.11249255268683639,0.040686819823008966,2.1247811335477323e-05,1.2520602782088818e-09,0.0013595341106756114,3.441324883682584e-11,0.0006267893176480081,2.6837238280453815e-09,9.992436991569782e-09,4.637040653751841e-09,1.6389431180514595e-10,3.4576992907598804e-08,3.549082649497588e-05,0.003882753174797698,6.494160706262655e-07,0.0007428654500464308,6.557877728872437e-11,8.178588423578712e-10,1.4380214536035286e-08,3.91478026979177e-08,0.00042848300897098065,0.01626017987664247,5.408281123634392e-06,0.002181498745334413,5.616541072717403e-05,4.067320587804266e-09,1.2206260842906306e-07,2.5454712192890242e-12,9.145375040502902e-10
7.617836363673358e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42878954702606276,0.05579065611962609,0.002415320985112407,1.016560009224915e-05,9.358429412361276e-05,0.11253512478645154,0.040692341405926334,2.1233943927499693e-05,1.25313674341719e-09,0.001359091056632024,3.440208004274002e-11,0.0006268533517676099,2.6837276965416384e-09,9.985286788987808e-09,4.638143007228948e-09,1.638691228815137e-10,3.456416613816343e-08,3.550070692768858e-05,0.0038812226649200844,6.483444606683314e-07,0.0007429747065691058,6.548286666392604e-11,8.166651687012096e-10,1.4388919716593418e-08,3.920045197736578e-08,0.0004289805221336262,0.01627606938470758,5.408807241224504e-06,0.0021822446310615336,5.618104696655162e-05,4.0659488446291056e-09,1.2207470058558597e-07,2.544222131877594e-12,9.147945058596712e-10
7.621873964473539e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4287738370113641,0.05577070880660464,0.0024125822276706544,1.0161227925167058e-05,9.355615969107038e-05,0.1125776813332998,0.04069785635263471,2.1220085451270246e-05,1.254213166949862e-09,0.0013586481425926298,3.4390915029534964e-11,0.0006269173542411849,2.683731583693524e-09,9.978143056297553e-09,4.639244498558577e-09,1.6384390270841031e-10,3.455134550698618e-08,3.55105796668346e-05,0.003879692771115145,6.472755300066206e-07,0.0007430838801159353,6.538717955495072e-11,8.154733023823917e-10,1.4397633574698221e-08,3.9253120681011193e-08,0.0004294781084410806,0.016291957475386126,5.409332450344962e-06,0.002182990160511188,5.619667103050731e-05,4.0645776496682465e-09,1.2208677195260223e-07,2.5429740098161627e-12,9.150512943635638e-10
7.6255078051937015e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.42875969899938815,0.0557527624173081,0.0024101201725592746,1.0157294711381594e-05,9.353084750672212e-05,0.11261596893243662,0.04070281413771797,2.120762045452958e-05,1.2551819120988122e-09,0.0013582496396231537,3.4380869748190595e-11,0.0006269749294285563,2.6837350980098764e-09,9.971719217622886e-09,4.640235104284934e-09,1.638211778895743e-10,3.453981218398579e-08,3.551945855807816e-05,0.003878316393270807,6.463157761057542e-07,0.0007431820654285942,6.530125166343604e-11,8.144021656246102e-10,1.4405483460364952e-08,3.930053909690103e-08,0.00042992599844507754,0.01630625554067322,5.409804362850193e-06,0.0021836608325442,5.621072228444383e-05,4.063344042773583e-09,1.22097618432138e-07,2.5418515239450953e-12,9.15282221745835e-10
7.629141645913864e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4287455619401925,0.05573482189255449,0.0024076607920720063,1.0153363142055047e-05,9.350554366084347e-05,0.1126542439423764,0.04070776656050647,2.119516268360936e-05,1.2561506227502965e-09,0.001357851249987067,3.4370827525428523e-11,0.0006270324790170883,2.683738627304858e-09,9.96530059910886e-09,4.6412250129110475e-09,1.6379842786147895e-10,3.4528283827113886e-08,3.5528331224997255e-05,0.003876940514143568,6.45358179231757e-07,0.0007432801836513227,6.521550376654918e-11,8.133324884475394e-10,1.4413340363801649e-08,3.9347973199725397e-08,0.0004303739473029915,0.016320552449583005,5.410275541467704e-06,0.0021843312162634562,5.6224763688135905e-05,4.062110879642247e-09,1.2210844811725023e-07,2.5407298175142874e-12,9.155129765680814e-10
7.632775486634027e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4287314258378455,0.05571688723045152,0.002405204083132332,1.014943321648355e-05,9.348024815049086e-05,0.11269250636716467,0.04071271362716287,2.118271213430015e-05,1.257119298554416e-09,0.0013574529736512357,3.436078835939117e-11,0.0006270900030230693,2.6837421715153478e-09,9.958887191140911e-09,4.642214225023136e-09,1.6377565267271637e-10,3.451676043360539e-08,3.553719767114835e-05,0.0038755651335904066,6.444027331652611e-07,0.0007433782348402635,6.512993540978128e-11,8.12264268788541e-10,1.4421204279741178e-08,3.9395422967431486e-08,0.00043082195482961843,0.016334848198196337,5.410745987146046e-06,0.0021850013117972614,5.6238795247167786e-05,4.060878160154547e-09,1.221192610293217e-07,2.5396088892576882e-12,9.15743559047607e-10
7.63640932735419e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4287172906964077,0.05569895842910751,0.002402750042667418,1.0145504933963402e-05,9.345496097272071e-05,0.11273075621084623,0.040717655343842474,2.1170268802395245e-05,1.2580879391617292e-09,0.00135705481058254,3.435075224822381e-11,0.0006271475014627718,2.683745730579343e-09,9.95247898415076e-09,4.643202741206896e-09,1.6375285237180933e-10,3.4505242000702344e-08,3.5546057900067026e-05,0.0038741902514682507,6.434494317091576e-07,0.0007434762190525943,6.504454603110371e-11,8.111975045889414e-10,1.4429075202948974e-08,3.944288837791345e-08,0.00043127002083877307,0.01634914278260197,5.41121570077256e-06,0.0021856711192738813,5.625281696714015e-05,4.059645884178389e-09,1.2213005718969098e-07,2.538488737902293e-12,9.159739692633756e-10
7.640043168074353e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4287031565199323,0.05568103548663127,0.0024002986676081093,1.014157829379107e-05,9.342968212458939e-05,0.11276899347746469,0.04072259171669317,2.1157832683690643e-05,1.2590565442232565e-09,0.0013566567607478802,3.434071919007459e-11,0.0006272049743524512,2.6837493044344228e-09,9.946075968616119e-09,4.644190562047543e-09,1.637300270072114e-10,3.44937285256536e-08,3.555491191526331e-05,0.003872815867633979,6.42498268688201e-07,0.0007435741363454855,6.495933517018914e-11,8.101321937930393e-10,1.4436953128216157e-08,3.9490369409112096e-08,0.000431718145144542,0.01636343619889526,5.41168468330694e-06,0.0021863406388215405,5.626682885367481e-05,4.058414051558412e-09,1.221408366195189e-07,2.5373693624354562e-12,9.162042072597906e-10
