Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
5.8692126298600216e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,2.001063151186049e-42,1.7157692300804382e-24,4.4628314512856792e-53,8.3839562080215257e-37,3.3090135907133407e-85,5.180047071787888e-14,9.5302884274810982e-72,5.1800470710507979e-14,6.0084330146254436e-49,3.3285729259020188e-48,4.6802336606588001e-71,5.4267176101628049e-72,2.9825510487016796e-35,1.3551410004558083e-56,2.8289650982646965e-12,8.3760628572599713e-14,3.3532235167904805e-16,5.2042111943203728e-26,1.9270524383769619e-25,3.3532141829249552e-16,4.6285570412008228e-22,1.1978592640687843e-24,3.445294937682446e-28,1.0193957846636118e-36,1.9168934369022565e-47,6.5934166086105743e-35,1.0637007854663267e-63,8.242323145122806e-65,8.5242745164155347e-68
1.1738430235117454e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,0.0,3.2016638731206714e-41,6.8631981419666597e-24,5.449778281476685e-51,6.7071713859225199e-36,1.6159344611784773e-82,1.0360098535069289e-13,6.0993934649201826e-70,1.0360098532120924e-13,9.6135024971879035e-48,5.325656643226631e-47,1.142870741752884e-68,1.3251551236541559e-69,2.3860167060893806e-34,4.3364553815653001e-55,5.6579325933314769e-12,1.6752132814827651e-13,6.7064592941256438e-16,2.0816615884464471e-25,7.7082103253046071e-25,6.7064219109626717e-16,1.846652029473868e-21,9.5573125522356344e-24,5.2640412516376737e-27,8.1550677919921304e-36,1.1707767880237544e-45,5.2748210356140582e-34,6.807691381477041e-62,2.0126992358317728e-62,2.0821562414500362e-65
2.347686544563232e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,0.0,5.122537153660044e-40,2.7453729444261871e-23,6.7822884283739584e-49,5.3657394199134501e-35,8.0432373784148041e-80,2.0720201462560509e-13,3.9036143462816312e-68,2.0720201450767061e-13,1.5381610503227225e-46,8.5208440019785055e-46,2.8444023876987957e-66,3.2980746151104861e-67,1.90877262973767e-33,1.387666118213428e-53,1.1315867579434906e-11,3.3504272729438678e-13,1.3412959386712682e-15,8.3264553046674924e-25,3.0832816471125471e-24,1.3412809474825634e-15,7.3487089068118519e-21,7.6052303933070526e-23,8.1927646085061209e-26,6.5238894034751426e-35,7.2863298630740247e-44,4.2199915987360775e-33,4.356923346498737e-60,5.0092433776920067e-60,5.1826350032755964e-63
4.695373586666205e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,0.0,8.1956544479144403e-39,1.0982225468048856e-22,8.4937111935288254e-47,4.2925920498010927e-34,4.0289880638753644e-77,4.1440407321256651e-13,2.4983135938945877e-66,4.144040727408289e-13,2.4610578071187883e-45,1.363267763143574e-44,7.1241252593125839e-64,8.2603921030560748e-65,1.5269520823308324e-32,4.4405304667573035e-52,2.2631737535521231e-11,6.7008552556563449e-13,2.6826075674397662e-15,3.3304277047195285e-24,1.233310084355683e-23,2.6825473034630728e-15,2.9095943931686648e-20,6.020094575220867e-22,1.2827184834133106e-24,5.2188449087018352e-34,4.5627015512376989e-42,3.3762040955285582e-32,2.7884297187270289e-58,1.2546174024953278e-57,1.2979703319386923e-60
9.390747670872151e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767533855,0.11866996598386768,0.0228215676923842,0.0,1.3111747386857449e-37,4.3934597069603266e-22,1.0593589877694571e-44,3.4340731884477138e-33,2.010078856146665e-74,8.2880819053503264e-13,1.5989203242018752e-64,8.2880818864808715e-13,3.9376913318421485e-44,2.1810058559899439e-43,1.7771124920211075e-61,2.0605510727900238e-62,1.2214557049843186e-31,1.4209684545313863e-50,4.526347738321176e-11,1.3401711220242397e-12,5.3652787810777793e-15,1.332047246530498e-23,4.9332185654658293e-23,5.3650353889998681e-15,1.1405949121985004e-19,4.7163369568516147e-21,1.9996379558564069e-23,4.1746482381084351e-33,2.8452695161619298e-40,2.7012907226354024e-31,1.7845927099261088e-56,3.1296228558269115e-55,3.237010002186652e-58
1.8781495839284045e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670677112,0.11866996593777003,0.022821567691714114,0.0,2.0974634616469679e-36,1.757814673146e-21,1.3000905897543792e-42,2.7472573191467234e-32,9.868425104374651e-72,1.6576164257741202e-12,1.02330823699532e-62,1.6576164182263712e-12,6.3003011687696097e-43,3.4889061703057962e-42,4.362194813412368e-59,5.0579230395960154e-60,9.769949336470148e-31,4.5470898341584605e-49,9.0526956820664352e-11,2.6803423146058956e-12,1.0730824417460625e-14,5.3271979276756555e-23,1.9732697736075865e-22,1.0729833060326835e-14,4.3864836774947426e-19,3.621927068988477e-20,3.0664436879095935e-22,3.3390340019234318e-32,1.7456883347978949e-38,2.1615287939637287e-30,1.1421361392410118e-54,7.6820440309770932e-53,7.9412725750471693e-56
3.756299217610783e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661354236,0.11866996584557472,0.022821567690373943,0.0,3.3546103869074978e-35,7.0343557643353791e-21,1.5419109066142753e-40,2.1978036811580145e-31,4.6826255258528551e-69,3.3152328986287517e-12,6.5491619294598812e-61,3.3152328684380108e-12,1.00804649905293e-41,5.5800011763884675e-41,1.0348680025105705e-56,1.1999123257083614e-57,7.8132462131662187e-30,1.4550626966995363e-47,1.8105391466385567e-10,5.3606846984270377e-12,2.1462809452264105e-14,2.1300866117743282e-22,7.8929374068963509e-22,2.1458714451595664e-14,1.6281146006916865e-18,2.6796787239362333e-19,4.5424253578062424e-21,2.6701322431978134e-31,1.0348997943187286e-36,1.7299390521782315e-29,7.3096296321167479e-53,1.8224096081023756e-50,1.8817940337969005e-53
5.634448851293161e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727652031361,0.11866996575337942,0.022821567689033772,0.0,1.2344912325153902e-34,1.4952176117945891e-20,9.8596803949730337e-40,6.5247259525187151e-31,3.910924723503668e-68,4.9728493738598384e-12,3.7184181304771867e-60,4.9728493097047214e-12,3.8136416045222752e-41,2.1269985744760879e-40,7.6244038096525472e-56,8.8403554099331836e-57,2.2336546064834716e-29,6.78782416844462e-47,2.7158087147533308e-10,8.0410270809060111e-12,3.2195760267949497e-14,4.5252705496986501e-22,1.6772283758007014e-21,3.2186881939081642e-14,3.2894304278050305e-18,7.3316391443663807e-19,1.6127445000378546e-20,7.6331116065894692e-31,5.6301927099831717e-36,4.9476319404429117e-29,4.087601000080707e-52,1.3426537976005624e-49,1.3930477914483619e-52
7.51259848497554e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642708485,0.11866996566118411,0.022821567687693601,0.0,3.1304299421782877e-34,2.5512739026508877e-20,4.0456769539942866e-39,1.4217025767848709e-30,1.9562417644188655e-67,6.630465851467049e-12,1.4300273092597939e-59,6.6304657420265077e-12,9.9268796922527772e-41,5.721686804827481e-40,3.4663029200744958e-55,4.0191031339807214e-56,4.7105724127157483e-29,2.0668946325561308e-46,3.6210782725509668e-10,1.0721369462042921e-11,4.2929741099300431e-14,7.7177523851409996e-22,2.8611215748514187e-21,4.291433557037588e-14,5.3628209459318998e-18,1.4869774562619989e-18,3.9619130082009634e-20,1.6097004534549656e-30,2.0710781731680337e-35,1.0437946870035793e-28,1.4308568751553497e-51,6.1040998772014165e-49,6.9922650489410379e-52
1.1268897752340297e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727624062733,0.11866996547679351,0.022821567685013259,0.0,1.0944392807536517e-33,5.2840051737158904e-20,3.2418426133290096e-38,4.1267587717885494e-30,2.0742616954569551e-66,9.9456988122573324e-12,1.0883615322144905e-58,9.9456985856769027e-12,3.6430193157129006e-40,2.3131977840557926e-39,3.2055972835959763e-54,3.7167748470056085e-55,1.286216001066392e-28,9.4168095422017732e-46,5.4316173639325462e-10,1.6082054221167233e-11,6.4400293384763372e-14,1.5972316439894394e-21,5.9234757304187472e-21,6.4367567603811716e-14,1.0320160791351513e-17,3.8114382782895256e-18,1.3148875588038485e-19,4.3950277240713161e-30,1.4259239759692535e-34,2.8517508553238089e-28,7.9633903814386395e-51,5.6448937999077082e-48,1.0163060853402875e-50
1.5025197019705054e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727605416982,0.11866996529240291,0.022821567682332917,0.0,2.7340974345489547e-33,8.9895320021508064e-20,1.3222592418550193e-37,9.0247463121819217e-30,1.0348685862810276e-65,1.3260931781784085e-11,4.1096461598052854e-58,1.3260931396433641e-11,9.4466101829019404e-40,6.2638606245635735e-39,1.4573433604869042e-53,1.6897267196923364e-54,2.6904753717544045e-28,2.8284887410723471e-45,7.2421564173743272e-10,2.1442738975356723e-11,8.5875074533207784e-14,2.7154521610642315e-21,1.0074097764334266e-20,8.5818174928760068e-14,1.6398621865195292e-17,7.5433761367002553e-18,3.1484638706659026e-19,9.1929676332847877e-30,5.093325121092881e-34,5.9682401619494479e-28,2.7220333072686385e-50,2.5662782294494733e-47,5.0016124487601381e-50
