Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),C2H6X(52)
5.504360902297993e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32327551329711163,0.11287780591990006,0.018315390843936581,0.0,0.00023961504679123152,3.2933778031389028e-05,0.00013664133923184933,5.3621075839803172e-09,4.4520100549278596e-20,1.4979356390648103e-05,7.4664812452870303e-19,3.3592680991574903e-08,3.8715151210995604e-15,1.0557224446094149e-07,5.8713025330637947e-15,4.6273670863384006e-17,5.4648758620077852e-07,3.0838083277939024e-14,0.0056400718471199948,0.0086347850872545186,1.2430804500640376e-07,6.4830376387473992e-07,1.6181748799768945e-05,1.3050374311649794e-11,5.63872187729286e-08,1.7033245693632992e-07,9.3526668630821133e-11,1.165898578354265e-08,1.0884504521504375e-10,1.3822493631643145e-11
5.515429686037677e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32326155406215884,0.11287750439842201,0.018307494931237289,0.0,0.00024066097415353406,3.2947729462784456e-05,0.00013715924379864174,5.4043135867456762e-09,4.479935633327644e-20,1.5022512339541072e-05,7.5820572001931946e-19,3.3584158499849695e-08,3.9107890439180244e-15,1.0614045821371069e-07,5.89222061158309e-15,4.6549734662690914e-17,5.4766771369605234e-07,3.1223983026628373e-14,0.0056398114579602606,0.0086490104619648522,1.2452082703341936e-07,6.4912501440048687e-07,1.6174931127827106e-05,1.3061766113867671e-11,5.6367166643811027e-08,1.7033626353753248e-07,9.3849536434454846e-11,1.1707422447334442e-08,1.092528795899685e-10,1.3930933944227759e-11
5.52649846977736e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32324760563838811,0.11287720185951272,0.018299603105066221,0.0,0.00024170881978483703,3.2961495650777506e-05,0.00013767801213481211,5.4467552743757533e-09,4.5079672359957819e-20,1.5065679469288081e-05,7.6991400044729255e-19,3.3575615961633258e-08,3.9503620377643416e-15,1.0671037219259115e-07,5.9131613270686187e-15,4.6826883244685331e-17,5.4884614167930065e-07,3.161379256649932e-14,0.0056395512092547156,0.0086632248830270132,1.2473346715010436e-07,6.4994473708386567e-07,1.6168117061533361e-05,1.3073150284992974e-11,5.6347119145045025e-08,1.703400603153301e-07,9.4172871323363105e-11,1.1755938449028427e-08,1.0966137001032444e-10,1.4039975684929533e-11
5.537567253517044e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32323366801702186,0.11287689830407033,0.018291715362518574,0.0,0.00024275858132428196,3.2975077552344932e-05,0.00013819764359218029,5.4894333618206372e-09,4.5361049806664994e-20,1.5108857632794033e-05,7.8177454387615753e-19,3.3567053757724373e-08,3.9902355432877513e-15,1.0728198690257967e-07,5.9341246500146336e-15,4.7105118626951171e-17,5.5002287041505046e-07,3.2007541629325735e-14,0.005639291100898316,0.0086774283592542384,1.2494596538173667e-07,6.5076293669153305e-07,1.6161306665676953e-05,1.3084526862975784e-11,5.632707650317082e-08,1.7034384724216927e-07,9.4496672884205101e-11,1.1804533674518963e-08,1.1007051590925307e-10,1.4149620643148854e-11
5.548636037256728e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32321974118929336,0.11287659373299208,0.018283831700692466,0.0,0.00024381025641551305,3.2988476121161733e-05,0.00013871813752282093,5.5323485637222652e-09,4.5643489847447196e-20,1.5152046683522814e-05,7.9378894052071738e-19,3.3558472264525915e-08,4.0304110030547066e-15,1.0785530284356464e-07,5.9551105510621071e-15,4.7384442826193831e-17,5.5119790020056673e-07,3.2405260089854203e-14,0.0056390311327861563,0.0086916208994491598,1.2515832175380089e-07,6.5157961797179751e-07,1.6154500004204512e-05,1.3095895882503298e-11,5.630703894047047e-08,1.7034762429204661e-07,9.4820940708863517e-11,1.1853208009804404e-08,1.1048031672028762e-10,1.4259870607291006e-11
5.559704820996412e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32320582514644752,0.11287628814717424,0.018275952116688914,0.0,0.00024486384270667544,3.300169230759907e-05,0.00013923949327906336,5.5755015944087485e-09,4.5926993653075612e-20,1.5195246475495368e-05,8.059587928017991e-19,3.3549871854094e-08,4.0708898615332579e-15,1.0843032051034853e-07,5.9761190009971485e-15,4.7664857858238853e-17,5.5237123136549697e-07,3.2806977965993357e-14,0.0056387713048134678,0.0087058025124038107,1.2537053629198981e-07,6.5239478565390279e-07,1.6147697140227683e-05,1.3107257379875234e-11,5.628700667745508e-08,1.7035139143836483e-07,9.5145674385889152e-11,1.1901961341293917e-08,1.1089077187734818e-10,1.4370727364751998e-11
5.570773604736095e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32319191987974039,0.11287598154751212,0.018268076607611851,0.0,0.00024591933785041251,3.3014727058722119e-05,0.00013976171021349152,5.6188931678887059e-09,4.6211562391058478e-20,1.5238456863287834e-05,8.1828571540100755e-19,3.3541252894186679e-08,4.111673565077471e-15,1.0900704039266987e-07,5.9971499707494132e-15,4.7946365738030588e-17,5.5354286427151549e-07,3.3212725419001797e-14,0.0056385116168756189,0.0087199732068996422,1.2558260902220897e-07,6.5320844444807183e-07,1.6140898136032496e-05,1.3118611392243082e-11,5.6266979932916708e-08,1.7035514865458629e-07,9.5470873501703111e-11,1.1950793555765064e-08,1.1130188081474061e-10,1.4482192701904435e-11
5.581842388475779e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32317802538043933,0.11287567393490014,0.018260205170568127,0.0,0.00024697673950386438,3.3027581318288388e-05,0.00014028478767894568,5.6625239978456425e-09,4.6497197225655967e-20,1.5281677702029652e-05,8.3077133531547726e-19,3.3532615748311958e-08,4.1527635619118519e-15,1.0958546297522578e-07,6.0182034313905851e-15,4.8228968479630858e-17,5.547127993119722e-07,3.3622532753674324e-14,0.0056382520688681142,0.0087341329917075168,1.2579453997057156e-07,6.5402059904654878e-07,1.6134103053090311e-05,1.3129957952458091e-11,5.6246958921051914e-08,1.7035889591660192e-07,9.5796537649854446e-11,1.1999704540032781e-08,1.1171364296716384e-10,1.4594268404083484e-11
5.592911172215463e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32316414163982299,0.11287536531023175,0.018252337802667506,0.0,0.00024803604532866517,3.3040256026746125e-05,0.00014080872502852287,5.7063947976323345e-09,4.678389931789506e-20,1.5324908847401706e-05,8.4341729191262366e-19,3.3523960775775371e-08,4.1941613021158063e-15,1.101655887376938e-07,6.0392793541328233e-15,4.8512668096217589e-17,5.558810369115438e-07,3.4036430418526725e-14,0.0056379926606865936,0.0087482818755877448,1.2600632916339496e-07,6.5483125412273184e-07,1.612731195206481e-05,1.314129709508998e-11,5.6226943854310247e-08,1.7036263319955521e-07,9.6122666420436364e-11,1.2048694181322425e-08,1.1212605776970471e-10,1.4706956255572889e-11
5.603979955955147e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32315026864918112,0.11287505567439947,0.01824447450102263,0.0,0.00024909725299093977,3.3052752121232931e-05,0.00014133352161557693,5.7505062802652576e-09,4.7071669825584505e-20,1.536815015563444e-05,8.5622523698488544e-19,3.3515288331727019e-08,4.2358682376081062e-15,1.1074741815475391e-07,6.0603777103272547e-15,4.879746660008357e-17,5.5704757752588858e-07,3.4454449005978923e-14,0.0056377333922268342,0.0087624198672900631,1.2621797662720396e-07,6.5564041433093798e-07,1.612052489282069e-05,1.3152628856826731e-11,5.6206934944194125e-08,1.7036636047783978e-07,9.6449259399134051e-11,1.2097762367304274e-08,1.1253912465783474e-10,1.4820258039591075e-11
