Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
3.660460218758798e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44214439856191007,0.07942591447765045,0.007632853534949408,0.00018025090037741986,0.0012553358880583137,0.06101102800943181,0.028656769576645067,4.0511521253600015e-05,2.646245863842087e-10,0.0018754768056002626,4.809861096122173e-11,0.0005408037065301398,2.7162049130512153e-09,4.34028027752878e-07,2.8184350336723205e-09,1.4931915808233394e-10,5.606101593495199e-07,2.1244006027830648e-05,0.005697310515641002,3.183172919489198e-05,0.0005710078920640957,1.01926749283702e-08,3.561388082992782e-09,2.528613537447629e-09,1.893475035359005e-10,1.178680072579782e-05,0.0025593405773110677,7.182684016091938e-05,5.626977446537067e-08,0.0012196138053641788,3.361915914532977e-05,1.2838503832149535e-10,8.864615103448594e-08,2.122683024953937e-09
3.664229858316439e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421336591085781,0.07939933167175849,0.007624261753605406,0.00018018818968689208,0.0012551013880135599,0.06106804328604322,0.028674412563620334,4.048657894059441e-05,2.652903081646223e-10,0.001874904207178819,4.808194935070042e-11,0.0005409110176395777,2.716106444111388e-09,4.3238657990672225e-07,2.8207294182947018e-09,1.493808947256524e-10,5.598805629220988e-07,2.1262987730681815e-05,0.005695266155769257,3.1692950165082045e-05,0.0005712467781060588,1.0152771027608389e-08,3.556293174461218e-09,2.527799177398819e-09,1.9035813057019979e-10,1.184487983601086e-05,0.0025708137655672354,7.186849241021857e-05,5.6257889946101306e-08,0.0012207245892757047,3.3649198524553244e-05,1.2804833605532777e-10,8.869857306125973e-08,2.124854133849835e-09
3.6679994978740796e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421229073236233,0.07937275775634028,0.007615680060236924,0.0001801254603410389,0.0012548667004772971,0.06112504004192301,0.028692034549459833,4.046165557120774e-05,2.6595671249290157e-10,0.0018743318326044436,4.80653030466815e-11,0.0005410182554161997,2.716008338348788e-09,4.30754459715621e-07,2.8230220412854557e-09,1.4944246795321601e-10,5.591557718426423e-07,2.128195715377742e-05,0.00569322236430475,3.155526229463859e-05,0.0005714854425618746,1.0113173728169937e-08,3.5512058419316196e-09,2.5269852390953267e-09,1.91371030868525e-10,1.1903053848580052e-05,0.0025822982678045748,7.191008910943777e-05,5.6245996021595944e-08,0.0012218349132652594,3.367921847052527e-05,1.2771405537348382e-10,8.87509249998937e-08,2.127023969706824e-09
3.6717691374317203e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44211214324864745,0.07934619272822949,0.007607108443017368,0.00018006271270059593,0.0012546318274663918,0.06118201828154091,0.028709635567480792,4.043675108749136e-05,2.666237985962378e-10,0.0018737596811649855,4.804867195926418e-11,0.0005411254199608416,2.715910593306677e-09,4.291316146456781e-07,2.8253129045206716e-09,1.495038780822724e-10,5.584357361685893e-07,2.1300914305256362e-05,0.005691179141692402,3.141865320182538e-05,0.0005717238857515008,1.0073879577156525e-08,3.5461260727998973e-09,2.5261717214128286e-09,1.9238620370822985e-10,1.196132264588741e-05,0.002593794053937446,7.195163034374735e-05,5.6234092788392534e-08,0.001222944777469214,3.3709218996126245e-05,1.2738216920631147e-10,8.880320696197833e-08,2.129192532635299e-09
3.675538776989361e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4421013669249078,0.07931963658426829,0.007598546890131899,0.00017999994712220385,0.0012543967709753084,0.06123897800936787,0.028727215650823635,4.0411865432072776e-05,2.6729156570150955e-10,0.0018731877521567237,4.803205599946333e-11,0.0005412325113741321,2.715813206554312e-09,4.2751799239607057e-07,2.827602009863473e-09,1.4956512542791884e-10,5.57720406684932e-07,2.1319859193231668e-05,0.005689136488372098,3.128311068816857e-05,0.0005719621079938997,1.0034885172590604e-08,3.5410538544995448e-09,2.525358623243813e-09,1.934036483700169e-10,1.2019686110825787e-05,0.002605301094047914,7.199311619791494e-05,5.62221803419794e-08,0.001224054182023488,3.3739200114195664e-05,1.2705265088236722e-10,8.88554190585093e-08,2.1313598227414374e-09
3.6793084165470017e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44209057839332294,0.07929308932130699,0.007589995389777424,0.00017993716395846797,0.0012541615329764331,0.0612959192298763,0.028744774832454918,4.0386998548150114e-05,2.6796001303528184e-10,0.0018726160448842568,4.801545507920195e-11,0.0005413395297564905,2.7157161756866888e-09,4.2591354089940913e-07,2.8298893591642697e-09,1.4962621030314497e-10,5.570097348902256e-07,2.1338791825790786e-05,0.005687094404778786,3.11486227351286e-05,0.000572200109607047,9.996187162493284e-09,3.5359891745013007e-09,2.5245459434973288e-09,1.9442336413778977e-10,1.207814412678824e-05,0.002616819358382999,7.203454675631172e-05,5.6210258776810456e-08,0.001225163127063561,3.376916183753252e-05,1.2672547412122086e-10,8.890756139989749e-08,2.133525840127341e-09
3.6830780561046424e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44207977769447837,0.07926655093620406,0.00758145393016263,0.00017987436355801668,0.0012539261154203998,0.06135284194753983,0.02876231314517006,4.036215037948675e-05,2.686291398238069e-10,0.001872044558660402,4.7998869111303273e-11,0.0005414464752081268,2.7156194983242893e-09,4.243182083220565e-07,2.8321749542610035e-09,1.496871330188746e-10,5.563036729829147e-07,2.135771221099585e-05,0.00568505289134255,3.101517750084319e-05,0.0005724378909079392,9.957782243981551e-09,3.5309320203128606e-09,2.52373368109874e-09,1.9544535029852473e-10,1.2136696577658e-05,0.0026283488173519973,7.207592210291843e-05,5.6198328186320464e-08,0.0012262716127244843,3.379910417889573e-05,1.2640061302641318e-10,8.895963409597825e-08,2.1356905848911767e-09
3.686847695662283e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.44206896486863273,0.07924002142582597,0.007572922499507966,0.00017981154626555882,0.0012536905202363995,0.061409746166833444,0.028779830621596177,4.0337320870405716e-05,2.6929894529302413e-10,0.0018714732928060889,4.7982298009483264e-11,0.0005415533478290392,2.715523172112824e-09,4.227319430644077e-07,2.834458796979375e-09,1.497478938840067e-10,5.556021738479734e-07,2.137662035688399e-05,0.005683011948488691,3.088276331693981e-05,0.0005726754522126033,9.919667162385148e-09,3.525882379478545e-09,2.522921834989477e-09,1.9646960614212696e-10,1.2195343347798187e-05,0.002639889441523853,7.21172423213314e-05,5.618638866293972e-08,0.0012273796391408913,3.382902715100466e-05,1.2607804207856224e-10,8.901163725602124e-08,2.1378540571273133e-09
3.690617335219924e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420581399557232,0.07921350078704696,0.007564401086045671,0.00017974871242194037,0.0012534547493324947,0.061466631892233344,0.028797327294194697,4.031250996578433e-05,2.699694286685599e-10,0.0018709022466502584,4.796574168834275e-11,0.0005416601477190144,2.71542719472298e-09,4.2115469376113016e-07,2.8367408891330877e-09,1.4980849320545486e-10,5.549051910438485e-07,2.139551627146754e-05,0.0056809715766378025,3.075136868541588e-05,0.0005729127938361049,9.881838710381724e-09,3.520840239579004e-09,2.5221104041267977e-09,1.9749613096130549e-10,1.2254084322042238e-05,0.0026514412016245886,7.215850749476868e-05,5.617444029810864e-08,0.0012284872064470093,3.385893076653943e-05,1.2575773612861588e-10,8.906357098873955e-08,2.1400162569264637e-09
3.6943869747775645e-06,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4420473029953707,0.07918698901674892,0.00755588967801977,0.00017968586236419932,0.0012532188045959191,0.061523499128217043,0.02881480319526407,4.028771761104869e-05,2.706405891757283e-10,0.0018703314195297612,4.794920006335978e-11,0.0005417668749776261,2.715331563850169e-09,4.1958640928136704e-07,2.8390212325240753e-09,1.4986893128818658e-10,5.542126787896993e-07,2.1414399962734412e-05,0.00567893177620585,3.0620982275585166e-05,0.0005731499160925556,9.844293727150676e-09,3.5158055882309064e-09,2.5212993874835503e-09,1.9852492405144226e-10,1.2312919385684153e-05,0.0026630040685347986,7.219971770607551e-05,5.616248318229201e-08,0.0012295943147766692,3.388881503814149e-05,1.2543967039124726e-10,8.911543540229851e-08,2.142177184375805e-09
