Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
6.061782004027585e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32222331922202313,0.11287046182005567,0.017925702936407443,0.0,7.6499530260635735e-05,8.224797137290327e-06,0.0,6.3829777375566622e-07,0.0,0.0001765031356388689,1.6493971370048893e-15,1.9536108174630055e-08,7.8289397870748145e-13,4.6011988313665139e-08,0.0,0.0,3.076725398638592e-07,5.8308904102564744e-12,0.005621558732966013,0.009714471755819085,9.1921816670269812e-08,3.518159090140226e-07,7.7644267192940625e-06,3.6856647671677094e-09,2.45205559874645e-08,1.6390819270008648e-09
6.084955362925674e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32219238368106196,0.11286980624067407,0.017909633755450023,0.0,7.7116875319381456e-05,8.2259968110802691e-06,0.0,6.4967933363021845e-07,0.0,0.00017770971635722274,1.7075645648823919e-15,1.9521797926233829e-08,8.0171491798071772e-13,4.6552182905828658e-08,0.0,0.0,3.0880520834433515e-07,5.9954014566539379e-12,0.0056209837759907677,0.0097459900160120835,9.2369964928364245e-08,3.5258036660893268e-07,7.7553945204022559e-06,3.7138788512097244e-09,2.466612016171409e-08,1.6682043767880084e-09
6.108128721823763e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32216148453648519,0.11286914678207317,0.01789358206571455,0.0,7.7736103724949097e-05,8.2270201352051735e-06,0.0,6.6121668384120004e-07,0.0,0.00017891940786435065,1.7675336981154916e-15,1.9507472753036337e-08,8.2090791766827515e-13,4.7096409436640139e-08,0.0,0.0,3.0993354769769879e-07,6.1638591855860518e-12,0.0056204092703448201,0.0097774714134221934,9.2818645467641518e-08,3.5334172738749468e-07,7.7463794837440603e-06,3.7421682414870728e-09,2.4811839767115894e-08,1.6977229377312918e-09
6.131302080721852e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32213062173246976,0.1128684834522807,0.017877547842101146,0.0,7.835720945957918e-05,8.2278692807387787e-06,0.0,6.7291128785503012e-07,0.0,0.00018013219972813302,1.8293525438894298e-15,1.9493133904107272e-08,8.4047871156329281e-13,4.7644679962974547e-08,0.0,0.0,3.1105756821763892e-07,6.3363414521957918e-12,0.0056198352154907174,0.0098089160042287328,9.3267855839815064e-08,3.54100011804655e-07,7.7373817691420128e-06,3.7705326590460987e-09,2.495771265220963e-08,1.7276412840431477e-09
6.154475439619941e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32209979521332394,0.11286781625930724,0.017861531059558455,0.0,7.898018653528992e-05,8.2285463996668753e-06,0.0,6.8476461595557213e-07,0.0,0.00018134808151868003,1.8930701771889855e-15,1.9478782597471695e-08,8.60433095683882e-13,4.8197006505843192e-08,0.0,0.0,3.1217728036826172e-07,6.5129273088178579e-12,0.0056192616108922226,0.0098403238444841647,9.3717593597432241e-08,3.5485524013816164e-07,7.7284015309843004e-06,3.7989718265239838e-09,2.5103736672682054e-08,1.7579631064052447e-09
6.17764879851803e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32206900492348645,0.11286714521114623,0.017845531693083574,0.0,7.9605028993722199e-05,8.2290536249628165e-06,0.0,6.9677814522853866e-07,0.0,0.00018256704280832946,1.9587367596896504e-15,1.946442002086929e-08,8.8077692862788164e-13,4.8753401050385681e-08,0.0,0.0,3.132926947790837e-07,6.6936970179394819e-12,0.0056186884560143107,0.0098716949901145098,9.4167856293877995e-08,3.5560743249019315e-07,7.7194389183528808e-06,3.8274854681373405e-09,2.5249909691347241e-08,1.7886921119235813e-09
6.200822157416119e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32203825080752629,0.11286647031577426,0.017829549717721885,0.0,8.0231730905983522e-05,8.2293930706653012e-06,0.0,7.0895335954567791e-07,0.0,0.00018378907317164397,2.0264035588908747e-15,1.9450047332495257e-08,9.0151613192673034e-13,4.9313875545862009e-08,0.0,0.0,3.1440382224012003e-07,6.8787320652348353e-12,0.0056181157503231655,0.0099030294969197578,9.4618641483379908e-08,3.5635660878896887e-07,7.7104940751486601e-06,3.8560733096707002e-09,2.5396229578126881e-08,1.8198320240830353e-09
6.223995516314208e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32200753281014216,0.11286579158115091,0.017813585108566954,0.0,8.0860286372491484e-05,8.2295668319583615e-06,0.0,7.2129174954873305e-07,0.0,0.00018501416218541037,2.0961229674930924e-15,1.9435665661723035e-08,9.2265669039842606e-13,4.987844190564505e-08,0.0,0.0,3.1551067369706386e-07,7.0681151726728748e-12,0.0056175434932861663,0.0099343274205742661,9.5069946721012477e-08,3.571027887903595e-07,7.7015671402136826e-06,3.8847350784651556e-09,2.5542694210030797e-08,1.8513865827013777e-09
6.247168875212298e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32197685087616179,0.11286510901521871,0.017797637840760404,0.0,8.1490689522816686e-05,8.2295769852534041e-06,0.0,7.3379481263318073e-07,0.0,0.00018624229942863842,2.1679485230202237e-15,1.9421276109809511e-08,9.4420465249955141e-13,5.0447112007213026e-08,0.0,0.0,3.1661326024655858e-07,7.2619303116984459e-12,0.00561697168437189,0.0099655888166271557,9.5521769562701135e-08,3.5784599207947499e-07,7.692658247450469e-06,3.9134705034070679e-09,2.5689301471137595e-08,1.8833595438827556e-09
6.270342234110387e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32194620495054155,0.11286442262590343,0.01778170788949179,0.0,8.2122934515525047e-05,8.2294255882732533e-06,0.0,7.4646405293174684e-07,0.0,0.00018747347448256119,2.2419349276893617e-15,1.9406879750582951e-08,9.6616613067633419e-13,5.1019897692142511e-08,0.0,0.0,3.1771159313155879e-07,7.4602627164864163e-12,0.0056164003230500985,0.0099968137405027392,9.5974107565228104e-08,3.5858623807224576e-07,7.6837675259385412e-06,3.9422793149167146e-09,2.583604925257547e-08,1.9157546799706404e-09
