Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),COX(50),CHOX(53)
1.3185472178310195e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32941072324101422,0.11291055344556998,0.021623542497435644,5.9762644328886126e-09,1.17419475212075e-07,9.6825262694172335e-06,1.0164037701225078e-05,1.204190795597278e-15,2.1840723864123434e-19,1.2353610528119329e-08,3.3174986888500872e-30,2.4520009176715263e-08,6.2816086013683607e-23,4.314969159793526e-15,3.0144964423631452e-16,7.8415567263240179e-19,3.2396202038780211e-10,1.6486853300941354e-22,0.0057489798721322236,0.0023856858977281642,5.392699126857975e-10,2.176367348691492e-05,3.9071674171917214e-14,1.19200640795031e-09,1.9563370244156605e-07,1.7772627341663058e-08,5.2970094058145782e-08,1.4239203622326583e-07,6.2946805976468011e-12,1.2531833760777691e-12,8.2497852544275919e-12,6.4963486630871692e-14
1.323020479861124e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32940301611201978,0.11291060041817864,0.021619630040607664,6.0453889554300913e-09,1.190538291297119e-07,9.7811289459596973e-06,1.0230159783134012e-05,1.216381600951937e-15,2.2174539473169774e-19,1.2396686139183437e-08,3.3800825304789376e-30,2.4631105741159511e-08,6.3575053995523257e-23,4.3727887886540889e-15,3.0486050162689659e-16,7.9201129961798237e-19,3.2710966560905192e-10,1.6740133984758511e-22,0.005748866424722986,0.0023934425346114432,5.4094376525100177e-10,2.1825789006761959e-05,3.9197252072906148e-14,1.1952283915172739e-09,1.9559953833636226e-07,1.7881685608728516e-08,5.323981618192209e-08,1.4386637534465128e-07,6.3794046854078485e-12,1.2636770740916356e-12,8.3032611945617109e-12,6.548216711576247e-14
1.3274937418912284e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32939531170220954,0.1129106477193787,0.021615718474675544,6.1150905463205513e-09,1.2070338019664115e-07,9.8802139974593152e-06,1.0296484783386653e-05,1.2286563192381759e-15,2.251197255763429e-19,1.2439779778699133e-08,3.4436418305055756e-30,2.4742128605757619e-08,6.434073740053546e-23,4.4311463106805977e-15,3.0829549127665415e-16,7.999179431444391e-19,3.3027341455256803e-10,1.6996469997452982e-22,0.0057487524444124983,0.0024011971696584066,5.4261719232751122e-10,2.1887711769283313e-05,3.9322797162199102e-14,1.1984400755914489e-09,1.9556558454776884e-07,1.799090512713258e-08,5.3510134885566902e-08,1.4534806684278488e-07,6.4648876741148321e-12,1.2742256900313347e-12,8.3568993939631286e-12,6.6002914244218603e-14
1.331967003921333e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3293876099921314,0.11291069533209756,0.021611807799343262,6.1853722114086495e-09,1.2236819561774798e-07,9.979780373507424e-06,1.0363012639954603e-05,1.2410152677570847e-15,2.2853045916521908e-19,1.2482891392792956e-08,3.5081886542734045e-30,2.4853076271000448e-08,6.511317390215698e-23,4.4900444661784216e-15,3.1175466175091389e-16,8.0787575953561913e-19,3.3345325991833051e-10,1.7255888329372878e-22,0.0057486379483347918,0.0024089498034503528,5.442901939669202e-10,2.1949443530214552e-05,3.9448309475824831e-14,1.2016415581887482e-09,1.9553183885173046e-07,1.8100285696506889e-08,5.3781049927900999e-08,1.4683709404867727e-07,6.55113278921371e-12,1.284829342097723e-12,8.410699791566535e-12,6.6525730611609685e-14
1.3364402659514374e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32937991096286851,0.11291074323978921,0.021607898014315379,6.2562369629245285e-09,1.2404834263583849e-07,1.0079827027196398e-05,1.0429743290782327e-05,1.2534587640193839e-15,2.3197782409349689e-19,1.2526020926693589e-08,3.5737351775840184e-30,2.4963947265518932e-08,6.5892401251844597e-23,4.5494859992797862e-15,3.1523806129531732e-16,8.1588490506695798e-19,3.3664919438388021e-10,1.7518416122014703e-22,0.0057485229530973795,0.0024167004365673902,5.4596277022235285e-10,2.2010986038129285e-05,3.957378905255779e-14,1.2048329368535112e-09,1.9549829905642221e-07,1.8209827129984988e-08,5.4052561068001886e-08,1.483334403368683e-07,6.6381432590046099e-12,1.295488148364057e-12,8.464662326298418e-12,6.7050618857194402e-14
1.3409135279815418e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32937221459602289,0.11291079142641787,0.021603989119297,6.3276878194725035e-09,1.2574388853446284e-07,1.0180352915298296e-05,1.0496676673788042e-05,1.2659871257426911e-15,2.354620495671171e-19,1.2569168324751617e-08,3.640293687336047e-30,2.5074740145822166e-08,6.6678457278890015e-23,4.6094736579767458e-15,3.1874573784073578e-16,8.2394553596546928e-19,3.3986121060738447e-10,1.7784080668335654e-22,0.005748407474797405,0.0024244490695884708,5.4763492114842447e-10,2.2072341034071661e-05,3.9699235933816485e-14,1.208014308640002e-09,1.9546496300165318e-07,1.8319529253791942e-08,5.43246680651994e-08,1.4983708912856277e-07,6.7259223147611921e-12,1.3062022267760346e-12,8.5187869370776982e-12,6.7577581663064678e-14
1.3453867900116463e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32936452087369983,0.11291083987644257,0.021600081113993787,6.3997278060237554e-09,1.2745490064069213e-07,1.0281356998436528e-05,1.0563812726864546e-05,1.2786006708488058e-15,2.3898336540838481e-19,1.2612333530459063e-08,3.7078765821652447e-30,2.5185453496033445e-08,6.7471379890238341e-23,4.670010194153532e-15,3.2227773900814181e-16,8.3205780840973365e-19,3.430893012306032e-10,1.8052909413065221e-22,0.005748291529037294,0.0024321957030914061,5.4930664680120024e-10,2.2133510251203085e-05,3.9824650163564638e-14,1.2111857700946601e-09,1.9543182855828295e-07,1.842939190683997e-08,5.4597370679071159e-08,1.5134802389465249e-07,6.8144731908478919e-12,1.3169716951518792e-12,8.5730735628163392e-12,6.8106621753098188e-14
1.3498600520417508e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32935682977849384,0.11291088857480179,0.021596173998111947,6.4723599539090369e-09,1.2918144632784881e-07,1.0382838241250693e-05,1.0631151387880066e-05,1.2912997174609902e-15,2.4254200206151134e-19,1.2655516486468697e-08,3.7764963730857868e-30,2.5296085927624394e-08,6.8271207070309848e-23,4.7310983636182243e-15,3.2583411211343623e-16,8.4022187852989041e-19,3.4633345888175478e-10,1.832492995301606e-22,0.0057481751309399406,0.0024399403376528894,5.5097794723815288e-10,2.2194495414462788e-05,3.9950031788212894e-14,1.2143474172391008e-09,1.9539889362765131e-07,1.8539414940329895e-08,5.4870668669438516e-08,1.5286622815862756e-07,6.9037991248339871e-12,1.327796671182389e-12,8.6275221424199814e-12,6.8637741891914344e-14
1.3543333140718552e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32934914129347365,0.11291093750689882,0.021592267771358194,6.5455873008113619e-09,1.3092359301818979e-07,1.0484795612554733e-05,1.0698692594679052e-05,1.3040845839012625e-15,2.4613819059809913e-19,1.26987171346132e-08,3.8461656841328032e-30,2.5406636079147394e-08,6.9077976880825232e-23,4.7927409261337474e-15,3.2941490417223111e-16,8.4843790240762674e-19,3.4959367617828617e-10,1.860017003739414e-22,0.005748058295163414,0.0024476829738485162,5.5264882251812604e-10,2.2255298240242249e-05,4.0075380856523427e-14,1.2174993455538513e-09,1.9536615614102031e-07,1.8649598217359e-08,5.5144561796362216e-08,1.5439168549937703e-07,6.9939033576051222e-12,1.3386772724310031e-12,8.6821326147885153e-12,6.9170944883838613e-14
1.3588065761019597e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32934145540216836,0.11291098665858755,0.021588362433439767,6.6194128907587288e-09,1.3268140818554211e-07,1.0587228085488493e-05,1.0766436285082963e-05,1.3169555886876976e-15,2.4977216272256966e-19,1.2741935415924049e-08,3.9168972530061465e-30,2.5517102615966431e-08,6.9891727460633902e-23,4.854940645448229e-15,3.3302016190458609e-16,8.5670603607617025e-19,3.5286994572954591e-10,1.8878657568108226e-22,0.0057479410359152225,0.0024554236122528066,5.5431927270129556e-10,2.2315920436072913e-05,4.0200697419515777e-14,1.2206416499628047e-09,1.9533361405902911e-07,1.8759941612534859e-08,5.5419049820138408e-08,1.5592437955388253e-07,7.0847891334724508e-12,1.3496136163338606e-12,8.7369049188166517e-12,6.9706233571872612e-14
