Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),H2X(44),CX(177)
4.4575700666651025e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32905972020485802,0.11147783733291694,0.02282156769261694,0.0,2.3838269735479776e-13,0.0018416373265916048,0.0,1.4912222624737074e-08,0.0,4.5791448424330928e-06,2.2558830510045324e-18,2.0609553719395898e-06,2.1760574825620177e-14,1.6044521481207888e-16,0.0,0.0,6.360970256823735e-13,3.1378104883393464e-13,0.0056692428100375393,0.0012923845304898872,1.0525126507771049e-06,1.7199165929471731e-07,0.0010406175022651036,2.7938737561290423e-05,0.00047643491047692554
4.473442501965029e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3290549600123967,0.11147318613019147,0.022821567692612982,0.0,2.4132858582778905e-13,0.001850257003351802,0.0,1.4988314775926727e-08,0.0,4.5904175890993081e-06,2.2842862664137815e-18,2.061394078520812e-06,2.1880603765027425e-14,1.6285250857109896e-16,0.0,0.0,6.4106859028570238e-13,3.1688381578110786e-13,0.0056689234022537843,0.0012923739464665701,1.0531461630276103e-06,1.7238183087902489e-07,0.0010429717830083339,2.8069736257904831e-05,0.00047903879162165076
4.4893149372649555e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32905020190935869,0.11146853604151939,0.022821567692609006,0.0,2.4429758767028344e-13,0.0018588761999431974,0.0,1.5064517129372664e-08,0.0,4.6016490495071682e-06,2.3129158634937519e-18,2.0618230897924371e-06,2.200075004594334e-14,1.6528452392681397e-16,0.0,0.0,6.4605399767348652e-13,3.2000365666369329e-13,0.0056686041011341235,0.0012923623567329054,1.053777426269473e-06,1.7277141659525569e-07,0.0010453233091919562,2.8200724229144982e-05,0.00048164425050922728
4.505187372564882e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32904544587148377,0.11146388706368841,0.022821567692605006,0.0,2.4728976887436908e-13,0.0018674949030114758,0.0,1.514082940172426e-08,0.0,4.6128393609163522e-06,2.3417725044650117e-18,2.0622425922878852e-06,2.2121013714818871e-14,1.6774138332720005e-16,0.0,0.0,6.5105317964232052e-13,3.2314058815053187e-13,0.0056682849059389428,0.0012923497826808385,1.0544064699815838e-06,1.7316042183908946e-07,0.0010476721016593052,2.8331701267509327e-05,0.00048425127007662404
4.5210598078648086e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32904069187506912,0.1114592391935277,0.022821567692600991,0.0,2.5030519512729305e-13,0.001876113099487556,0.0,1.5217251312670057e-08,0.0,4.623988661124344e-06,2.3708568493765389e-18,2.0626527690221459e-06,2.2241394822053925e-14,1.7022320890987942e-16,0.0,0.0,6.5606606823726919e-13,3.2629462691733707e-13,0.0056679658159441209,0.0012923362451829541,1.0550333231495629e-06,1.7354885191728613e-07,0.0010500181809694033,2.8462667169978124e-05,0.00048685983348821581
4.536932243164735e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32903593989695401,0.1114545924279072,0.02282156769259696,0.0,2.53343931812543e-13,0.0018847307765807099,0.0,1.5293782584889665e-08,0.0,4.6350970884410462e-06,2.4001695561252652e-18,2.0630537995539761e-06,2.2361893421765321e-14,1.7273012250032156e-16,0.0,0.0,6.6109259575199695e-13,3.294657896472398e-13,0.005667646830440666,0.0012923217646060997,1.0556580142746348e-06,1.7393671204941645e-07,0.0010523615674016529,2.8593621737905079e-05,0.00048946992413219023
4.5528046784646616e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32903118991450669,0.11144994676373697,0.022821567692592904,0.0,2.5640604401092904e-13,0.0018933479217718508,0.0,1.5370422944006583e-08,0.0,4.6461647816639084e-06,2.4297112804753602e-18,2.063445860047167e-06,2.2482509571561923e-14,1.7526224561009184e-16,0.0,0.0,6.6613269472886713e-13,3.3265409303130126e-13,0.005667327948734327,0.0012923063608246343,1.0562805713823531e-06,1.7432400736955636e-07,0.0010547022809604476,2.872456477691178e-05,0.0004920815256170152
4.568677113764588e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32902644190561087,0.11144530219796624,0.022821567692588834,0.0,2.5949159650166604e-13,0.0019019645228070022,0.0,1.5447172118541809e-08,0.0,4.6571918800535937e-06,2.459482676077248e-18,2.0638291233308705e-06,2.2603243332326538e-14,1.7781969943514739e-16,0.0,0.0,6.711862979590132e-13,3.3585955376899296e-13,0.0056670091701452449,0.0012922900532333164,1.0569010220311593e-06,1.7471074292794722e-07,0.0010570403413796997,2.885549609678493e-05,0.000494694621767964
4.5845495490645146e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32902169584865204,0.11144065872758312,0.022821567692584747,0.0,2.6260065376345725e-13,0.0019105805676909327,0.0,1.5524029839868292e-08,0.0,4.668178523310179e-06,2.4894843944863533e-18,2.0642037589590098e-06,2.2724094768004768e-14,1.804026048541783e-16,0.0,0.0,6.7625333848238046e-13,3.3908218856864789e-13,0.0056666904940075981,0.0012922728607598379,1.0575193933208069e-06,1.7509692369262237e-07,0.0010593757681272892,2.8986415511376184e-05,0.00049730919662369815
4.600421984364441e-07,0.11640260799999998,0.8585084662769803,0.0,0.0,0.32901695172250534,0.1114360163496137,0.022821567692580636,0.0,2.6573327997557806e-13,0.0019191960446809592,0.0,1.5600995842166108e-08,0.0,4.6791248515498559e-06,2.5197170851815945e-18,2.0645699332687718e-06,2.2845063945400366e-14,1.8301108242699491e-16,0.0,0.0,6.8133374958774016e-13,3.4232201414788065e-13,0.0056663719196692573,0.0012922548018770186,1.0581357119006187e-06,1.7548255455100026e-07,0.0010617085804094347,2.9117322838504627e-05,0.00049992523443290985
