Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H3(38)
1.3921667827643975e-18,0.004023131612903226,0.0,0.0,0.010942917984634327,0.49999999999944084,8.3883000839658472e-57,2.3876153362223831e-28,2.467868916398054e-31,2.1387001341237543e-45,4.4638155704155657e-72,1.2721573897220298e-18,8.0184182623351383e-19,1.2637188628338832e-45,0.49999999998529365,1.851568673682981e-12,1.2828944846370533e-11,5.5915801962671964e-13,6.7746365284331387e-22,2.5860402393244741e-14,2.5860392757212344e-14,1.096621566633229e-27,2.0836352466440019e-18
1.8562224425833395e-18,0.004023131612903226,0.0,0.0,0.010942917983813518,0.49999999999925443,2.1274546233413073e-56,4.0729910626258157e-28,4.209894247397019e-31,4.5111382315413058e-45,1.4400593687837357e-71,1.6962099100843494e-18,1.0691224754167333e-18,2.7561087032967113e-45,0.49999999998039152,2.4687526073406506e-12,1.7105260368584815e-11,7.4554373452210739e-13,1.1556733451837639e-21,3.4480537739314438e-14,3.4480521301376151e-14,2.3894805063461929e-27,2.7817703198308921e-18
2.7843337622212234e-18,0.004023131612903226,0.0,0.0,0.010942917982171904,0.49999999999888167,7.4398122311006234e-56,8.4326110220942914e-28,8.7160517310301716e-31,1.2321318289162264e-44,7.9267612677537341e-71,2.544314947706597e-18,1.6036837767580435e-18,8.0153375412837345e-45,0.49999999997058725,3.7031141252656142e-12,2.5657891378822237e-11,1.1183148108121202e-12,2.3926749739430536e-21,5.1720808428220526e-14,5.1720774395555759e-14,6.9359232072853184e-27,4.1820313770575138e-18
3.712445081859107e-18,0.004023131612903226,0.0,0.0,0.010942917980530299,0.49999999999850891,1.8590065581643866e-55,1.4341663038785082e-27,1.4823721525297105e-30,2.5780320142718739e-44,2.5439090559682813e-70,3.3924199804677882e-18,2.1382450827606012e-18,1.7556739925710191e-44,0.49999999996078309,4.9374656945385928e-12,3.4210522335486486e-11,1.4910853332115015e-12,4.0693135417558823e-21,6.8961079112060435e-14,6.89610212314098e-14,1.5168078510948837e-26,5.5885456864101547e-18
4.640556401496991e-18,0.004023131612903226,0.0,0.0,0.01094291797888871,0.49999999999813616,3.9440851344086022e-55,2.1910820822229319e-27,2.2647297380418399e-30,4.693208874061067e-44,6.6471528348902891e-70,4.2405250080207063e-18,2.6728063937573523e-18,3.2992851021751425e-44,0.49999999995097888,6.171806604620852e-12,4.2763153234750886e-11,1.8638552621574489e-12,6.2169916840910408e-21,8.6201349790472357e-14,8.6201261361915103e-14,2.8457372801297564e-26,7.0017599065109588e-18
6.496779040772759e-18,0.004023131612903226,0.0,0.0,0.01094291797560556,0.49999999999739064,1.4449903159754244e-54,4.213373182585462e-27,4.3549950612970655e-30,1.2391455924757308e-43,3.7184256631139164e-69,5.9367350471745662e-18,3.7419290310471407e-18,9.0648550423357217e-44,0.49999999993137051,8.6404557782019896e-12,5.9868414857474653e-11,2.6093933024172608e-12,1.1955054640337853e-20,1.2068189113067145e-13,1.2068172108568919e-13,7.7864506859388339e-26,9.8487089132040359e-18
8.353001680048527e-18,0.004023131612903226,0.0,0.0,0.01094291797232246,0.49999999999664513,3.7521495293347274e-54,6.9099212118960659e-27,7.1421808046120301e-30,2.5690591312139179e-43,1.2291734909664191e-68,7.6329450651748653e-18,4.8110516886209954e-18,1.9180057457095618e-43,0.49999999991176219,1.1109061660356523e-11,7.6973676247067226e-11,3.354928932360415e-12,1.9606258927529955e-20,1.5516243244882498e-13,1.5516215357548963e-13,1.6414775778327283e-25,1.2722869774715911e-17
1.2065446958600063e-17,0.004023131612903226,0.0,0.0,0.010942917965756391,0.49999999999515404,1.6631626505806103e-53,1.4325503768301102e-26,1.4807019819734868e-29,7.7192800803484529e-43,8.2309401047006555e-68,1.10253650377237e-17,6.9492970646123508e-18,5.8989273614414716e-43,0.49999999987254556,1.6046143572551519e-11,1.1118419832695718e-10,4.8459929623530661e-12,4.0647284824983263e-20,2.2412351501900628e-13,2.2412293686465624e-13,5.0070091214897291e-25,1.8552815479688255e-17
1.9490337515703134e-17,0.004023131612903226,0.0,0.0,0.010942917952624804,0.49999999999217198,1.2266657823184508e-52,3.7246551426028959e-26,3.8498503111488066e-29,3.3187672865029817e-42,1.0242097384940898e-66,1.7810204729016314e-17,1.1225788059967754e-17,2.6038345580737877e-42,0.49999999979411291,2.5919788017695429e-11,1.7960523968957817e-10,7.8280921032478334e-12,1.0568362572241137e-19,3.6204567989487726e-13,3.6204417668383966e-13,2.1725778698476509e-24,3.0539199555968342e-17
3.4340118629909274e-17,0.004023131612903226,0.0,0.0,0.010942917926363824,0.49999999998620787,1.2965391553034513e-51,1.1544790795366122e-25,1.1932841860445728e-28,1.8688379710154457e-41,1.952592153233116e-65,3.1379883096389797e-17,1.9778771024161264e-17,1.522742870353949e-41,0.49999999963724978,4.56649996114483e-11,3.1644731122627819e-10,1.3792174711716563e-11,3.2757269940698363e-19,6.3789000858873981e-13,6.3788534929667299e-13,1.2282730938792954e-23,5.5817921853038783e-17
