Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HX(19),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
4.374891989557875e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754909767743202,0.11865234995515402,0.022821143582786887,0.0,4.4054060682289284e-17,6.2554752559601186e-16,7.6644627947862434e-17,3.0096914669575077e-22,4.4014436604535068e-42,4.4586243445911168e-12,2.1133076637929678e-46,4.4474395360806401e-12,2.6216481952489282e-32,6.0117127378862796e-22,2.0319810935181673e-32,1.1745683513218917e-33,8.6857580920252135e-16,3.0643279819470637e-35,1.7615742249766726e-05,8.4821997034575557e-07,2.6695879271562776e-11,1.8484296633811257e-15,1.2316826619260517e-09,8.4041059386997849e-14,3.0131996357255236e-10,5.6239213731028495e-13,5.1143739033733105e-18,1.0567710522841237e-15
4.4967692167027695e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754858402782179,0.1186518599705354,0.022821131768555887,0.0,4.7408665802152733e-17,6.4915284639425849e-16,8.5823603601875809e-17,3.1057827582760186e-22,5.2251821690171052e-42,4.5828461123519797e-12,2.3799737460620051e-46,4.5713055039813157e-12,2.7890903311943916e-32,6.4502281142146177e-22,2.3445682552367139e-32,1.3536416176584799e-33,9.3151105216681654e-16,3.3597029948463416e-35,1.810571757106995e-05,8.7184840932514526e-07,2.6701116022534423e-11,1.8487922496999964e-15,1.2683366501265859e-09,8.4063714284127703e-14,3.1048768441770766e-10,5.8523897564366532e-13,5.3332576455446397e-18,1.1495196749795173e-15
4.618646443847664e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375480704199818,0.11865137002760975,0.022821119954366972,0.0,5.0905374233398382e-17,6.7305428525507312e-16,9.5795873219069705e-17,3.2019138722362671e-22,6.173686814774776e-42,4.7070671302587999e-12,2.6711920100533628e-46,4.6951697338251115e-12,2.9617865497090895e-32,6.906359886651852e-22,2.6945121506520683e-32,1.5538315095087027e-33,9.9696153963391791e-16,3.6736493266238645e-35,1.8595651197658291e-05,8.9547676396835912e-07,2.6706342792338872e-11,1.8491541448685084e-15,1.3049975826409802e-09,8.4086521715586266e-14,3.1965718184869517e-10,6.0825966684570935e-13,5.5539432795139938e-18,1.2474138624993226e-15
4.7405236709925587e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754755685390836,0.11865088012637348,0.022821108140220127,0.0,5.4545400056195883e-17,6.9725366767308315e-16,1.066047781993582e-16,3.2980848141774295e-22,7.2616450327835149e-42,4.8312873982625736e-12,2.9884301358379323e-46,4.8190322258945793e-12,3.139738479906179e-32,7.3802454091067214e-22,3.0850640118992847e-32,1.7769355862505512e-33,1.0649459954790959e-15,4.0067408052215924e-35,1.9085543133083133e-05,9.191050342867978e-07,2.6711562477571464e-11,1.8495155494634706e-15,1.3416654565492873e-09,8.410948519321914e-14,3.2882845277631836e-10,6.3144833047306329e-13,5.7763648367759285e-18,1.3505787398045557e-15
4.862400898137453e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754704332959795,0.11865039026682304,0.022821096326115353,0.0,5.8329917728770321e-17,7.2175282148091796e-16,1.1829469643612585e-16,3.3942956072316852e-22,8.5050039219594746e-42,4.9555069163440202e-12,3.3331986679682703e-46,4.942892980472197e-12,3.32294775150776e-32,7.8720178333836604e-22,3.5196579874717092e-32,2.0248481465827598e-33,1.1354825255914678e-15,4.3595514365137075e-35,1.9575393380895537e-05,9.427332202913732e-07,2.6716777124291131e-11,1.8498766051642501e-15,1.3783402709784624e-09,8.4132624411262231e-14,3.3800149494568527e-10,6.547995751901276e-13,6.0004618365135045e-18,1.4591384422481244e-15
4.984278125282348e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754652984704714,0.11864990044895489,0.022821084512052645,0.0,6.2260065419947379e-17,7.465535764728268e-16,1.3091103408491102e-16,3.4905462871885335e-22,9.9210401092118155e-42,5.0797256845050057e-12,3.7070510327356084e-46,5.0667519978404341e-12,3.5114159956655801e-32,8.3818064569646578e-22,4.0019160917082456e-32,2.2995625044310023e-33,1.2085886692568104e-15,4.732655404422521e-35,2.0065201944646273e-05,9.6636132199254871e-07,2.6721988173612961e-11,1.8502374117587456e-15,1.4150220264429229e-09,8.415593831351409e-14,3.4717630672754362e-10,6.7830845831087171e-13,6.2261788317314641e-18,1.5732161239720467e-15
5.1061553524272424e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375460164062522,0.11864941067276551,0.022821072698032002,0.0,6.6336948069314941e-17,7.7165776411918316e-16,1.4450021740141878e-16,3.5868368985965815e-22,1.1528431471169197e-41,5.2039437027620593e-12,4.1115835555102186e-46,5.1906092782817751e-12,3.7051448455837716e-32,8.9097370431729028e-22,4.5356531502351585e-32,2.6031732467894481e-33,1.2842814463291592e-15,5.126627071097293e-35,2.0554968827885813e-05,9.8998933940037598e-07,2.6727196648108047e-11,1.8505980400572513e-15,1.4517107243076142e-09,8.4179419925430889e-14,3.56352886917044e-10,7.0197044865575622e-13,6.4534649925694854e-18,1.6929339662072317e-15
5.3499098067170315e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754498964991592,0.11864843124540872,0.022821049070116908,0.0,7.4935187892775442e-17,8.2278377069345187e-16,1.7478787824135589e-16,3.7795381248443128e-22,1.5399445527823497e-41,5.4523774896822059e-12,5.019288976740335e-46,5.4383186295138784e-12,4.1083909078407612e-32,1.0020511170600409e-21,5.7738171235174584e-32,3.3059819748362396e-33,1.4434926300670897e-15,5.9794718420819253e-35,2.1534377567031626e-05,1.03724512137433e-06,2.6737608487118826e-11,1.8513189428059191e-15,1.5251089551858349e-09,8.4226936595098688e-14,3.7471134909684058e-10,7.4973748924393458e-13,6.9125623943229686e-18,1.9497740412829306e-15
5.5936642610068207e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754396306056073,0.11864745198472429,0.022821025442370042,0.0,8.4132920108339817e-17,8.7514552013440686e-16,2.09549162163032e-16,3.9723997306547407e-22,2.0298561203966774e-41,5.7008082773848441e-12,6.0699442307734126e-46,5.6860210364293353e-12,4.5326990588336256e-32,1.1205286994431668e-21,7.2687265991832604e-32,4.1521475281057309e-33,1.6132435108542375e-15,6.9226842221972907e-35,2.2513619626730627e-05,1.0845005662867263e-06,2.6748016604075526e-11,1.8520395878095661e-15,1.598534980211321e-09,8.4275181545903306e-14,3.9307687599994425e-10,7.9807136746110077e-13,7.3774250469057055e-18,2.2306169907067007e-15
5.83741871529661e-11,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33754293663815799,0.11864647289068382,0.02282100181479137,0.0,9.3938043326174888e-17,9.2875771132191251e-16,2.491913922890797e-16,4.1654222068590993e-22,2.6433348333052491e-41,5.9492360662280909e-12,7.2778660609878581e-46,5.9337165012897974e-12,4.9780824669594999e-32,1.2464970280339784e-21,9.0583411258534327e-32,5.1622968815052958e-33,1.7936554820894445e-15,7.9608655537820438e-35,2.3492695035375612e-05,1.1317556742062577e-06,2.6758422757048996e-11,1.8527600968064395e-15,1.6719888177995745e-09,8.4324167830313414e-14,4.1144946433900468e-10,8.4694755018994937e-13,7.8477777734004452e-18,2.5364060558122416e-15
