Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50)
1.3598740118620565e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31409859654816452,0.11242601987922729,0.013493821508105115,0.0,5.3594459639283927e-11,0.0014880708017997184,0.00078317218644825338,1.0105909863383016e-09,8.0566887370825477e-18,2.9079445044410871e-06,2.4973367261903318e-20,1.9512799377958125e-07,1.9862185564263577e-16,1.0299842269469967e-15,1.9602016531714725e-13,6.8183111918869548e-16,3.431658763948501e-13,5.2722632235420017e-15,0.0054575037422221941,0.017872310995460078,6.5817836304326472e-08,3.169969292027667e-10,0.00011718398158961301,1.9654491145867003e-11,1.0638746271798968e-07,1.792143609209441e-07,8.210708039710153e-09,2.1607359394109631e-05,6.0614971459371111e-10
1.361557514829643e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31408374899711,0.11242466046158944,0.013485469359149,0.0,5.3807169397692761e-11,0.0014913368321285961,0.00078485328885976962,1.0142005508134805e-09,8.0997709289242358e-18,2.9113866509846307e-06,2.5147745033513752e-20,1.9531195268395894e-07,1.9948421213464262e-16,1.0342316853399471e-15,1.9662770946608126e-13,6.8424294099684272e-16,3.438218379839107e-13,5.3022871799523529e-15,0.0054571784554282732,0.017887334172335123,6.5870889701256091e-08,3.1755734656296687e-10,0.00011728702460027543,1.9685261900313201e-11,1.064797594888516e-07,1.7920378259541006e-07,8.2272869056192847e-09,2.1653824142569206e-05,6.0742212190618477e-10
1.3632410177972295e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.314068914481415,0.11242329960965611,0.013477123168384307,0.0,5.4020439278196e-11,0.0014946053951318354,0.00078653566398781654,1.0178176171287277e-09,8.1430280034145127e-18,2.9148261989524017e-06,2.5323086371241577e-20,1.9549584566912285e-07,2.0034906733438155e-16,1.0384905133136009e-15,1.9723630545997599e-13,6.866602264759879e-16,3.4447773263485803e-13,5.332441395891532e-15,0.0054568533328751157,0.017902344160098293,6.5923890024439574e-08,3.1811791951208738e-10,0.00011739002390244537,1.9716042181625466e-11,1.06572013380018e-07,1.7919321023317602e-07,8.243876659869266e-09,2.1700322189142891e-05,6.0869541642714404e-10
1.364924520764816e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31405409298900694,0.11242193732497739,0.01346878293041884,0.0,5.4234269951259383e-11,0.0014978764879947349,0.00078821931041626794,1.0214421870843021e-09,8.1864604370644e-18,2.9182631483889616e-06,2.5499395102762271e-20,1.9567967279916901e-07,2.0121642433945829e-16,1.0427607223001534e-15,1.9784595348524397e-13,6.8908298090413262e-16,3.4513355886213979e-13,5.3627262485209396e-15,0.0054565283744285641,0.017917340970950147,6.5976837322994349e-08,3.1867864743153721e-10,0.00011749297954338173,1.974683212991277e-11,1.0666422443409983e-07,1.7918264382849047e-07,8.2604772887811503e-09,2.1746853492690105e-05,6.0996959705881663e-10
1.3666080237324025e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31403928450782531,0.11242057360910208,0.013460448639865789,0.0,5.4448662086943862e-11,0.0015011501079051669,0.00078990422673028246,1.0250742624659352e-09,8.2300687068894573e-18,2.9216974993472639e-06,2.5676675062813457e-20,1.958634341380544e-07,2.0208628624354702e-16,1.047042323712375e-15,1.9845665372712867e-13,6.9151120955706707e-16,3.4578931518365789e-13,5.3931421153923458e-15,0.0054562035799545815,0.017932324617079134,6.6029731646878962e-08,3.1923952973424776e-10,0.0001175958915702439,1.9777631558278646e-11,1.0675639269183069e-07,1.7917208337606666e-07,8.2770887791129852e-09,2.1793418012118036e-05,6.1124466270747798e-10
1.368291526699989e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31402448902582764,0.11241920846357677,0.013452120291346589,0.0,5.4663616354693394e-11,0.0015044262520548983,0.00079159041151697371,1.028713845037229e-09,8.2738532906730462e-18,2.9251292518929414e-06,2.5854930096881614e-20,1.9604712974952683e-07,2.0295865613476255e-16,1.0513353289333556e-15,1.9906840636968339e-13,6.9394491770721946e-16,3.464450001225293e-13,5.4236893746506179e-15,0.005455878949319328,0.017947295110655289,6.6082573043239427e-08,3.1980056583414165e-10,0.00011769876003010447,1.9808440250773663e-11,1.0684851819581896e-07,1.7916152887052989e-07,8.2937111175491696e-09,2.1840015706400872e-05,6.1252061228043872e-10
1.3699750296675754e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31400970653098159,0.11241784188994691,0.013443797879486999,0.0,5.4879133423620439e-11,0.0015077049176377643,0.0007932778633644818,1.0323609365501802e-09,8.3178146666026688e-18,2.928558406098307e-06,2.6034164056120027e-20,1.9623075969722284e-07,2.0383353709786985e-16,1.0556397493304154e-15,1.9968121159583429e-13,6.9638411062524044e-16,3.4710061220464109e-13,5.4543684047527558e-15,0.0054555544823890537,0.017962252463838972,6.6135361558512947e-08,3.2036175509546551e-10,0.00011780158496993576,1.9839258543055602e-11,1.0694060099118814e-07,1.7915098030580107e-07,8.310344290107691e-09,2.1886646534552732e-05,6.1379744468164143e-10
1.371658532635162e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31399493701127068,0.11241647388975595,0.013435481398920208,0.0,5.5095213962271399e-11,0.001510986101851123,0.00079496658086271375,1.0360155387368248e-09,8.3619533135609814e-18,2.9319849620470145e-06,2.6214380801421923e-20,1.9641432404459177e-07,2.0471093221258125e-16,1.0599555962439378e-15,2.0029506958733364e-13,6.9882879357873463e-16,3.4775614996059101e-13,5.4851795846920514e-15,0.0054552301790301823,0.017977196688773921,6.6188097244986219e-08,3.2092309690642001e-10,0.00011790436643660955,1.9870086585425323e-11,1.0703264111760511e-07,1.7914043767630999e-07,8.3269882833397986e-09,2.1933310455649779e-05,6.1507515882029596e-10
1.3733420356027484e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31398018045469495,0.11241510446454561,0.013427170844286686,0.0,5.5311858638641879e-11,0.0015142698018957921,0.00079665656260330864,1.0396776533096871e-09,8.4062697111117383e-18,2.9354089198338071e-06,2.6395584203231446e-20,1.9659782285490105e-07,2.0559084455347635e-16,1.0642828809879289e-15,2.0090998052459253e-13,7.0127897183231712e-16,3.4841161192559208e-13,5.5161232939867235e-15,0.0054549060391093059,0.017992127797587555,6.6240780149498523e-08,3.2148459071128194e-10,0.00011800710447690287,1.9900923861903968e-11,1.0712463861684675e-07,1.7912990097751771e-07,8.3436430843117906e-09,2.1980007428830215e-05,6.1635375361012742e-10
1.3750255385703349e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31396543684926759,0.11241373361585588,0.013418866210232796,0.0,5.5529068120282465e-11,0.0015175560149753927,0.00079834780717930672,1.0433472819654738e-09,8.4507643393710263e-18,2.9388302795622575e-06,2.6577778139744678e-20,1.9678125619126996e-07,2.0647327719093047e-16,1.0686216148549595e-15,2.0152594458694013e-13,7.0373465064817599e-16,3.4906699663859954e-13,5.5471999125802708e-15,0.0054545820624931516,0.018007045802394133,6.6293410319200834e-08,3.2204623590057523e-10,0.00011810979913749472,1.993177046584158e-11,1.0721659353194391e-07,1.7911937020338264e-07,8.3603086794334884e-09,2.2026737413282118e-05,6.1763322796191949e-10
1.3767090415379214e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31395070618301257,0.1124123613452255,0.013410567491409807,0.0,5.5746843074360139e-11,0.0015208447382958877,0.00080004031318491487,1.0470244263877656e-09,8.4954376789143448e-18,2.9422490413434294e-06,2.6760966495605868e-20,1.9696462411669462e-07,2.0735823319168059e-16,1.0729718091196062e-15,2.0214296195257895e-13,7.0619583528647846e-16,3.4972230264168995e-13,5.5784098207700883e-15,0.0054542582490485561,0.018021950715296921,6.6345987803412282e-08,3.2260803184909365e-10,0.00011821245046496691,1.9962626699071405e-11,1.0730850590509576e-07,1.7910884534823127e-07,8.3769850549897062e-09,2.2073500368237794e-05,6.1891358078687821e-10
1.3783925445055078e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31393598844396953,0.11241098765419144,0.013402274682476022,0.0,5.596518416750706e-11,0.0015241359690665853,0.00080173407921601311,1.0507090882413167e-09,8.5402902109766438e-18,2.9456652052989149e-06,2.694515316471845e-20,1.9714792669399581e-07,2.0824571561750717e-16,1.0773334750308771e-15,2.0276103279843541e-13,7.0866253100449317e-16,3.5037752848139792e-13,5.6097533993609306e-15,0.0054539345986425207,0.018036842548383458,6.6398512651080201e-08,3.2316997797519632e-10,0.00011831505850579641,1.9993492391572203e-11,1.0740037577740245e-07,1.7909832640709211e-07,8.3936721978054587e-09,2.2120296252989258e-05,6.2019481100105825e-10
1.3800760474730943e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.313921283620192,0.11240961254428899,0.013393987778096014,0.0,5.6184092065879595e-11,0.0015274297044997837,0.00080342910386997667,1.0544012691740662e-09,8.585322417381763e-18,2.9490787715596588e-06,2.7130342049258308e-20,1.9733116398583755e-07,2.0913572752563274e-16,1.0817066238148895e-15,2.0338015730018723e-13,7.1113474305689716e-16,3.510326727082428e-13,5.6412310296104338e-15,0.0054536111111421854,0.018051721313727218,6.6450984909103415e-08,3.2373207370545192e-10,0.00011841762330635902,2.0024367276813436e-11,1.0749220319073602e-07,1.7908781337480745e-07,8.4103700947486499e-09,2.2167125026882656e-05,6.2147691752198913e-10
1.3817595504406808e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31390659169974511,0.11240823601705204,0.013385706772939564,0.0,5.6403567435231792e-11,0.0015307259418102586,0.00080512538574541712,1.0581009708200409e-09,8.63053478044158e-18,2.9524897402643668e-06,2.7316537058259891e-20,1.9751433605475476e-07,2.100282719695293e-16,1.0860912666786797e-15,2.0400033563246645e-13,7.136124766962189e-16,3.516877338760412e-13,5.672843093151319e-15,0.0054532877864148128,0.018066587023390066,6.6503404625240566e-08,3.2429431842544964e-10,0.00011852014491294098,2.0055251560734478e-11,1.0758398818757217e-07,1.7907730624566124e-07,8.4270787322046478e-09,2.2213986649309382e-05,6.2275989926536756e-10
1.3834430534082673e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31389191267071348,0.11240685807401221,0.013377431661685099,0.0,5.6623610940645272e-11,0.0015340246782169088,0.00080682292344300881,1.0618081947901172e-09,8.6759277832818537e-18,2.9558981115646055e-06,2.7503742112199986e-20,1.9769744296306724e-07,2.1092335199652989e-16,1.0904874147974755e-15,2.046215679684067e-13,7.1609573717140336e-16,3.5234271054409266e-13,5.7045899722411679e-15,0.0054529646243278631,0.018081439689414461,6.655577184896362e-08,3.2485671152526788e-10,0.00011862262337170085,2.0086145420535805e-11,1.0767573080926488e-07,1.7906680501424136e-07,8.4437980966877119e-09,2.2260881079733156e-05,6.2404375514944075e-10
1.3851265563758538e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31387724652119303,0.1124054787166998,0.01336916243901639,0.0,5.6844223246795801e-11,0.0015373259109411729,0.00080852171556469515,1.0655229426809539e-09,8.7215019095292852e-18,2.9593038856197619e-06,2.7691961138601885e-20,1.9788048477296323e-07,2.11820970649987e-16,1.0948950793270581e-15,2.052438544800009e-13,7.1858452972918603e-16,3.5299760127507815e-13,5.7364720495220027e-15,0.0054526416247489178,0.018096279323830955,6.6608086628626988e-08,3.2541925244701865e-10,0.0001187250587287062,2.0117048464870479e-11,1.0776743109631874e-07,1.7905630967587519e-07,8.4605281753277556e-09,2.2307808277664632e-05,6.2532848409740287e-10
1.3868100593434403e-06,0.11640260799999998,0.8585084662769803,0.0,0.0,0.31386259323929805,0.11240409794664287,0.013360899099625286,0.0,5.7065405017736374e-11,0.0015406296372083338,0.00081022176071434999,1.0692452160675522e-09,8.7672576435727906e-18,2.9627070626010453e-06,2.7881198075712539e-20,1.9806346154643212e-07,2.1272113096765244e-16,1.0993142713934259e-15,2.0586719533808025e-13,7.2107885961294548e-16,3.5365240463678282e-13,5.7684897082198565e-15,0.0054523187875457459,0.018111105938651971,6.666034900966246e-08,3.2598194061771139e-10,0.00011882745102994226,2.0147960467711236e-11,1.0785908909115995e-07,1.7904582022544651e-07,8.4772689549709147e-09,2.235476820268044e-05,6.2661408503232774e-10
