Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
5.205770680586955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317799647,0.11866996600897158,0.022821567692549598,0.0,1.041143838213799e-45,2.8041131252853411e-28,1.7337507081906427e-48,8.4798386714784435e-37,1.095062459228356e-84,5.2935331769267034e-18,2.6534453152166767e-78,5.2935236493738697e-18,1.0596243322510035e-52,1.2105324303143747e-46,1.3574099201181215e-69,8.2020952851804087e-71,1.7830373877076638e-37,2.55088104720092e-61,2.0993352505578784e-11,1.0093790467084625e-12,3.8906916161863099e-16,2.0959172789610652e-24,3.8906927510495579e-16,5.2893728947401801e-23,8.8956235276044972e-26,2.213488712164767e-28,1.8761928367239878e-45,7.9965274237764278e-38
1.041154191279728e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315599296,0.11866996598797783,0.022821567692044908,0.0,1.5700502673564158e-44,1.1216529966178161e-27,2.2085827190101529e-46,6.7838698115525104e-36,5.5799721561727527e-82,1.0587085963723239e-17,1.6982087951066952e-76,1.0587047853513934e-17,1.6953986771351367e-51,1.8253835350567918e-45,3.4583753970939652e-67,2.0897094112664312e-68,1.3471966222983003e-36,8.162818198515283e-60,4.198670713394939e-11,2.0187582001656837e-12,7.781382437617401e-16,7.8854930151907142e-24,7.7813869856331015e-16,2.1121931327411932e-22,7.0877378993347961e-25,3.5277151735644295e-27,1.1949955796520764e-43,6.3972631907705723e-37
2.082308437721793e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311198594,0.11866996594599033,0.022821567691035528,0.0,2.2511067279790835e-43,4.486673136524299e-27,2.8000870034611843e-44,5.4270930418523271e-35,2.8298417767713896e-79,2.1174248684129347e-17,1.0868570113767321e-74,2.1174096243326609e-17,2.7126365301714133e-50,2.6169160094409067e-44,8.7693659362695354e-65,5.2988534331336117e-66,9.6951311086628874e-36,2.6121005496304949e-58,8.3973416085458294e-11,4.0375165064557932e-12,1.5562760459398053e-15,2.8158088750260291e-23,1.5562778714027084e-15,8.4204568140757662e-22,5.6245819246985184e-24,5.6003951985736695e-26,7.5749147370734297e-42,5.1178755477615152e-36
4.164616930605923e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756302397189,0.11866996586201534,0.022821567689016772,0.0,2.9750807220569442e-42,1.7947176131022375e-26,3.5165944818560556e-42,4.3416695391113562e-34,1.4216655743282717e-76,4.2348802711980749e-17,6.9559270692198155e-73,4.2348192949082168e-17,4.3402136867344769e-49,3.4578824044718404e-43,2.2027507737852511e-62,1.3310028120029319e-63,6.4496832788633897e-35,8.3587127478606496e-57,1.6794683276754687e-10,8.0750331165497353e-12,3.1125502018647189e-15,9.2424729928879463e-23,3.1125575470179834e-15,3.34574129189452e-21,4.42797939132003e-23,8.822465556849316e-25,4.7562613449351458e-40,4.0944032086998587e-35
6.246925423490053e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756293595785,0.11866996577804034,0.022821567686998015,0.0,1.0444506995893272e-41,3.8138453929126463e-26,2.2847626312658701e-41,1.2889323071774473e-33,1.2022104639640141e-75,6.3523585326658306e-17,3.9493669230119894e-72,6.3522289580967948e-17,1.6419901189092859e-48,1.2145423380459025e-42,1.6457243655683676e-61,9.9442190347775272e-63,1.6699918068121478e-34,3.8993193833935823e-56,2.5192024822870622e-10,1.2112549724163976e-11,4.6688229093598183e-15,1.7287331480663875e-22,4.6688385753751379e-15,7.076992806418157e-21,1.2545105632374702e-22,3.2231106663669229e-24,2.6355445705948083e-39,1.1707601750211732e-34
1.0411542409258312e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756275992977,0.11866996561009036,0.022821567682960498,0.0,6.5035302062158255e-41,1.0544654686698949e-25,9.9418359962669908e-40,6.0376167657004041e-33,1.6313243221001377e-73,1.0587406490161517e-16,1.0617156792120755e-70,1.0587048254926044e-16,1.2958724468275839e-47,7.5650231192699175e-42,1.2569880847430593e-59,7.5952915842551784e-61,6.0253980293726003e-34,5.2253300939233595e-55,4.198670742673083e-10,2.0187582929510651e-11,7.7813625306419011e-15,3.6727622712358053e-22,7.7814061977472044e-15,1.9336495882961175e-20,5.608805097942052e-22,2.4154694690216e-23,6.6214759849880705e-38,5.3806077660585063e-34
1.4159697696449746e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675626015045,0.11866996545893538,0.022821567679326735,0.0,1.6620542976578208e-40,1.8777481732433429e-25,4.6807192260790151e-39,1.3932394234760728e-32,8.9960229797521992e-73,1.4399023508621171e-16,4.6101528589006083e-70,1.4398385598204862e-16,3.636637059825614e-47,1.9340442491200531e-41,6.4637312951128843e-59,3.9056776797046692e-60,1.1964012842539254e-33,1.7342490676976084e-54,5.7101921375719771e-10,2.7455112806351249e-11,1.0582643509899964e-14,5.5699940306549194e-22,1.0582721655092091e-14,3.4165205699425333e-20,1.243390606520706e-21,6.5725959770278227e-23,2.7982731393311114e-37,1.2111977129524162e-33
1.790785298364118e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756244307923,0.1186699653077804,0.022821567675692971,0.0,3.428188365137125e-40,2.9312809055952577e-25,1.6247376290941444e-38,2.6825948610174076e-32,4.119991226492831e-72,1.8210718702752323e-16,1.3959588960439881e-69,1.8209722916220425e-16,8.3262896284174624e-47,3.9898492107579175e-41,2.591348665772838e-58,1.5658095769871187e-59,2.0135906852179167e-33,4.6599438276305243e-54,7.2217134907154148e-10,3.4722642674762675e-11,1.3383919535593841e-14,7.5476551446851961e-22,1.3384042095078532e-14,5.2916842353758234e-20,2.3129671097928873e-21,1.4607316405261394e-22,8.2768174341347965e-37,2.2892979868783025e-33
2.165600827083261e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756228465395,0.11866996515662542,0.022821567672059208,0.0,6.1292121222995507e-40,4.202325443624653e-25,4.5347205447829905e-38,4.5610650169927181e-32,1.3903362414280759e-71,2.2022487741969585e-16,3.6240818565464471e-69,2.2021060210372164e-16,1.6236756712724004e-46,7.1346206302117835e-41,7.9646947676989413e-58,4.8126260427181944e-59,3.0458664292393967e-33,1.0308899535977185e-53,8.7332348044164014e-10,4.1990172535214036e-11,1.6185190882129261e-14,9.5688421155526136e-22,1.6185367334511853e-14,7.5298689412481199e-20,3.8092613877702044e-21,2.7735885803944455e-22,2.0975948368153736e-36,3.8265603117065876e-33
2.915231884521548e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756196780341,0.1186699648543155,0.022821567664791678,0.0,1.4431482959878909e-39,7.2404920792571421e-25,2.1328526448573603e-37,1.0084538027589419e-31,8.2061762740223901e-71,2.9646194222416949e-16,1.6030359965422549e-68,2.9643734744254664e-16,4.3107866822909342e-46,1.6805536506241193e-40,4.1945548842563904e-57,2.5345354395928502e-58,5.6074403480274286e-33,3.2434994922238091e-53,1.1756277341870595e-09,5.6525232237969514e-11,2.1787722904488102e-14,1.3659229321967039e-21,2.1788029023679635e-14,1.2812823356071634e-19,7.9402390643048143e-21,7.0358613352040902e-22,8.8448841135735839e-36,8.169562461511977e-33
