Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),H2(190),C4H7X(141),C2H6(343),C4H5X(365),C4H5X(364),C4H7X(140),C4H7X(143),C4H7X(142),C6H8(474),C6H7X(565),C6H7X(563),C6H7X(564),C6H9X(460),SX(757),C6H9X(665),C6H9(569),C6H9X(954),C8H10(479),SX(1410),SX(1409),SX(1408)
3.5588619459981948e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583349388,0.66999999999788984,1.6944517200406826e-43,0.0,2.3047774947736497e-30,7.7031986128124555e-48,1.0706952021057688e-72,0.0,1.2070095407053348e-96,7.593493381019716e-85,0.0,2.1102167050854579e-12,2.1102167050854579e-12,1.0785349058679465e-33,1.0033432426573917e-35,2.3047774941885326e-30,1.5296198583152084e-44,1.3047164301416817e-45,6.523582150710886e-46,4.4223245101843044e-43,9.738567608661386e-56,4.8693214401341076e-56,8.7474876347943215e-70,8.2150782416413867e-82,4.1075391208211381e-82,4.1075391208209163e-82,5.5161718151161868e-64,3.3778851826708949e-100,9.4082086987226371e-77,2.348745342791254e-92,3.4850493932490419e-103,2.4653276683026286e-91,2.0273881382682332e-103,2.0273881382682332e-103,1.0136940691342123e-103
7.117726908883599e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582927342,0.66999999999577964,2.7111258292970846e-42,0.0,9.2191158402446154e-30,3.0812814036235108e-47,3.4262298844278946e-71,0.0,3.089951235329544e-94,4.8598441024714908e-83,0.0,4.2204351989283497e-12,4.2204351989283497e-12,8.6282877798957706e-33,8.0267538790826379e-35,9.2191158355624471e-30,2.4473945517962825e-43,2.0875485001172523e-44,1.0437742500602122e-44,3.5378622314344983e-42,3.1163452897966862e-54,1.5581786666325839e-54,5.5984005248965446e-68,1.0515316124813769e-79,5.2576580624091648e-80,5.2576580624080255e-80,1.7651769134894041e-62,8.6473992569809051e-98,6.0212602660669809e-75,3.006397409965126e-90,8.9217364902687926e-101,7.8890554484802961e-90,1.2975295632722922e-101,1.2975295632722922e-101,6.4876478163639095e-102
1.4235456834654407e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282582083256,0.66999999999155924,4.3378037867832618e-41,0.0,3.6876475082024958e-29,1.2325129528321103e-46,1.096394400622566e-69,0.0,7.910283876887593e-92,3.110302892770841e-81,0.0,8.4408721863185133e-12,8.4408721863185133e-12,6.9026336366294881e-32,6.421406277669327e-34,3.6876475044547858e-29,3.9158335054263151e-42,3.3400793693181541e-43,1.6700396846692278e-43,2.8302908333719124e-41,9.9723107706694661e-53,4.9861650201249936e-53,3.5829790358084159e-66,1.3459614861633773e-77,6.7298074308285583e-78,6.729807430822722e-78,5.6485692147131067e-61,2.2137358976042044e-95,3.85360871345454e-73,3.8481908416783418e-88,2.2839658266514193e-98,2.5244988487876545e-88,8.3041928988328868e-100,8.3041928988328868e-100,4.1520964494227121e-100
2.8470916686196028e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282580395079,0.66999999998311832,6.9404880207360416e-40,0.0,1.4750592375988704e-28,4.9300525915492736e-46,3.5084634194261536e-68,0.0,2.0250337859673853e-89,1.9905947033756332e-79,0.0,1.6881746159882904e-11,1.6881746159882904e-11,5.5221082736178717e-31,5.1371262907143387e-33,1.4750592345975453e-28,6.2653353859285683e-41,5.344128404927786e-42,2.6720642025288609e-42,2.2642330842458003e-40,3.1911403784972239e-51,1.5955717308302731e-51,2.2931074462422238e-64,1.7228313558469013e-75,8.6141567792942661e-76,8.6141567792643869e-76,1.8075426429028731e-59,5.6671660560972186e-93,2.4663102618128955e-71,4.9256856561211718e-86,5.8469541589758629e-96,8.078398082529079e-87,5.3146846354636728e-98,5.3146846354636728e-98,2.6573423177478846e-98
5.694183638927927e-18,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282577018729,0.6699999999662366,1.110478238314735e-38,0.0,5.900237418165841e-28,1.9720211906156331e-45,1.122708506437897e-66,0.0,5.1840879071033584e-87,1.2739808808853739e-77,0.0,3.3763494101880362e-11,3.3763494101880362e-11,4.417687163322921e-30,4.1097015380519102e-32,5.900237394104724e-28,1.0024538036613285e-39,8.5506065745946682e-41,4.2753032877131275e-41,1.8113866316422112e-39,1.0211650682371452e-49,5.1058278079075274e-50,1.4675890410206085e-62,2.205224552059191e-73,1.1026122760601926e-73,1.1026122760448941e-73,5.784137245024668e-58,1.4507947854755589e-90,1.5784387860193208e-69,6.3048785179223381e-84,1.4968204738058812e-93,2.5850876676958031e-85,3.4013985419375487e-96,3.4013985419375487e-96,1.7006992710098576e-96
1.1388367579544574e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282570266031,0.66999999993247306,1.7767652989242245e-37,0.0,2.3600950600629631e-27,7.8880850538683199e-45,3.5926675486214416e-65,0.0,1.3271266799279e-84,8.1534784795254862e-76,0.0,6.7526989963209377e-11,6.7526989963209377e-11,3.5341499461519776e-29,3.2877614293235698e-31,2.3600950407332511e-27,1.6039261984553491e-38,1.3680971403811431e-39,6.8404857045667958e-40,1.4491093666146792e-38,3.2677284406425457e-48,1.6338646152411365e-48,9.3925707325199998e-61,2.8226876885923735e-71,1.4113438444528422e-71,1.4113438443745143e-71,1.8509240424422924e-56,3.7140349968814801e-88,1.0102008918749393e-67,8.0702450534157315e-82,3.831860674443133e-91,8.2722809776213554e-84,2.17689518361332e-94,2.17689518361332e-94,1.0884475919118339e-94
2.277673546077787e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282556760634,0.66999999986494607,2.8428245503704285e-36,0.0,9.4403804187436716e-27,3.1552340662395596e-44,1.3318998994248372e-63,0.0,5.1452867031867424e-82,6.8949704356782013e-74,0.0,1.3505398157807867e-10,1.3505398157807864e-10,2.8273200388268904e-28,2.6302092171129595e-30,9.4403802628128709e-27,2.566282003397319e-37,2.1889554883607952e-38,1.0944777458834898e-38,1.1592875109065835e-37,1.0456731273717422e-46,5.2283662718582808e-47,6.0112455271326569e-59,3.613040393323749e-69,1.8065201974639512e-69,1.8065201970629125e-69,5.9229571201877555e-55,9.5079299952018266e-86,6.4652859129914909e-66,1.0329913989072725e-79,9.8095636277175191e-89,8.2722809878835936e-84,6.4626575790135454e-94,6.4626575790135454e-94,3.2313287908560094e-94
4.555347122324446e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282529749835,0.6699999997298921,4.5485192637476694e-35,0.0,3.7761521958477131e-26,1.2620936240510126e-43,4.2803042980448498e-62,0.0,1.3189412395714276e-79,4.4295485367978964e-72,0.0,2.7010796423966131e-10,2.7010796423966131e-10,2.2618560548837792e-27,2.1041673917861269e-29,3.7761520690341186e-26,4.1060512583642107e-36,3.5023287997501949e-37,1.7511644107748875e-37,9.2743000513897233e-37,3.3461539848465344e-45,1.6730770980267543e-45,3.8471971922263143e-57,4.6246917551898998e-67,2.3123458817015808e-67,2.312345879648265e-67,1.8953462973319412e-53,2.4340301086726816e-83,4.1377830269203415e-64,1.32222900192889e-77,2.5112483079547231e-86,8.2722867885703097e-84,1.5034188345216236e-93,1.5034188345216236e-93,7.5170941855343301e-94
9.110694274817764e-17,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282475728242,0.66999999945978417,7.2776305330899047e-34,0.0,1.5104608754634975e-25,5.048374392054538e-43,1.3698795690449656e-60,0.0,3.3765068761581035e-77,2.835078668447836e-70,0.0,5.4021592619419679e-10,5.4021592619419669e-10,1.8094848325004279e-26,1.6833338963124045e-28,1.5104607707022937e-25,6.5696819808964078e-35,5.603725924550768e-36,2.8018630320340368e-36,7.4194398699823973e-36,1.0707692207253234e-43,5.3538463238377115e-44,2.4622061709295968e-55,5.9196053159058543e-65,2.9598026789788742e-65,2.9598026684659004e-65,6.0651080929697172e-52,6.2311169701169537e-81,2.6481811125147253e-62,1.6924531005070597e-75,6.4287955728033127e-84,8.2752578348506837e-84,3.2183406701266365e-93,3.2183406701266365e-93,1.60917034627065e-93
1.321050671206175e-16,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282427108812,0.66999999921668696,2.4934121042298399e-33,0.0,2.9875535249350875e-25,9.9852229166280235e-43,6.1341970870126975e-60,0.0,2.8678714139350303e-76,1.6041137375103917e-69,0.0,7.8331308811085904e-10,7.8331308811085893e-10,4.8011307782988071e-26,4.4664128631213339e-28,2.9875532516808145e-25,2.2508596429364405e-34,1.8088120295050316e-35,9.0440605115753468e-36,1.8943206803755847e-35,4.2599985924740856e-43,2.1299993835629745e-43,1.2849531154454469e-54,3.3538358300736032e-64,1.6769179328593814e-64,1.6769179239480911e-64,2.2972557318707553e-51,3.7658989542058954e-80,1.1402066223468134e-61,8.0614057978715737e-75,3.3096574575184102e-83,-8.1301682497269988e-80,-2.7712693394841653e-89,-2.7712693394841667e-89,-1.3856346680673766e-89
