Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
6.713837832277045e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319716225,0.11866996602725778,0.022821567692989198,0.0,1.3487182696780188e-42,4.6640623838475271e-30,1.0314150937753637e-54,1.8190530240170071e-39,1.0835648969822355e-92,6.8270186732124411e-19,1.2210281371352833e-83,6.8270120875189722e-19,2.9315396382217459e-56,4.2178314607219324e-47,1.0414584112390205e-76,6.292971224751379e-78,9.6313945796096319e-37,9.1016506686469674e-66,2.7074946866443375e-12,1.3017875060810603e-13,5.0177923282835062e-17,3.7191800076217381e-26,5.0177924328265107e-17,7.2196934638909242e-37,2.2841548591130336e-30,2.1201313467312333e-25,1.1086426934888134e-29,3.5573791774883786e-33,5.0095415619648156e-52,1.6167649629946937e-50
1.3427681355949762e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319432446,0.11866996602455024,0.022821567692924108,0.0,2.1579399937656857e-41,1.8656261645899582e-29,1.3170400474417165e-52,1.4552438132440201e-38,5.5345645572288263e-90,1.3654056304139062e-18,7.8145968000975853e-82,1.3654029961348806e-18,4.6904682489558898e-55,6.7485142741725831e-46,2.6597416617428352e-74,1.607138358429018e-75,7.7050953569948378e-36,2.9125313160524174e-64,5.4149916667699906e-12,2.6035761156671212e-13,1.003558874326892e-16,1.4876675658417265e-25,1.0035589161445695e-16,5.7757287615214312e-36,9.1366326512664404e-30,8.4800871012905051e-25,8.8658710874937996e-29,5.6897301070683046e-32,3.1983751948496057e-50,2.5868265959138092e-49
2.6855368403295197e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318864889,0.11866996601913514,0.022821567692793927,0.0,3.4526703134268991e-40,7.4625072299418961e-29,1.6777610206865319e-50,1.1641955539683394e-37,2.8202049043134678e-87,2.730817107712829e-18,5.0013520481053473e-80,2.7308065705936768e-18,7.5047527188174757e-54,1.0797553049524711e-44,6.7764874882516538e-72,4.0946656463657052e-73,6.1640369369763335e-35,9.3201047570208635e-63,1.0829985621944345e-11,5.2071533347346104e-13,2.0071181072428693e-16,5.9506290911054299e-25,2.007118274517225e-16,4.6205362534341608e-35,3.6546601470144554e-29,3.3916810287495892e-24,7.0874612126113638e-28,9.0970285424099991e-31,2.0371469503619467e-48,4.1389244712143763e-48
5.3710742497986066e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631772978,0.11866996600830494,0.02282156769253357,0.0,5.5241614459170655e-39,2.9850035258390054e-28,2.1271913144809476e-48,9.3135655774108325e-37,1.4303069740119035e-84,5.4616558667634823e-18,3.200874614942572e-78,5.4616137182825871e-18,1.2007606072883367e-52,1.7275846848099113e-43,1.7183799634987748e-69,1.0383242350922384e-70,4.9311638497679021e-34,2.9824339822320828e-61,2.1659973511985259e-11,1.0414307772451065e-12,4.0142363727504227e-16,2.3802175643227317e-24,4.0142370418767442e-16,3.6963521389121082e-34,1.4618690309423591e-28,1.3563887981734078e-23,5.6616046503633699e-27,1.4534437172867011e-29,1.291375426101235e-46,6.6222800278357392e-47
1.0742149068736782e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315459557,0.11866996598664456,0.022821567692012854,0.0,8.8383003178211193e-38,1.1940016326846677e-27,2.6720010405576483e-46,7.450851531668695e-36,7.1869300394633803e-82,1.0923396602663416e-17,2.0485800784520553e-76,1.0923228008745686e-17,1.921216759526449e-51,2.7640580549944208e-42,4.3171322983156375e-67,2.6086098018690692e-68,3.944824866964528e-33,9.5437877682764184e-60,4.3319949210835906e-11,2.0828616646209885e-12,8.0284721024680857e-16,9.5205954214949989e-24,8.0284747792046067e-16,2.9569579122587069e-33,5.8475145067117991e-28,5.423286321252911e-23,4.5159501792417361e-26,2.3188823454373422e-28,8.1099891728838885e-45,1.0595646630661773e-45
2.148429870661313e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310919117,0.1186699659433238,0.022821567690971423,0.0,1.4140132921017086e-36,4.7760077390875621e-27,3.2962425541465854e-44,5.9606786315910852e-35,3.5467724685215996e-79,2.1847130945556694e-17,1.3111108641222973e-74,2.1846456570012982e-17,3.0739455256727876e-50,4.4222443016167709e-41,1.0652205336270864e-64,6.4365513767920381e-66,3.1556895274639829e-32,3.0540108349309069e-58,8.6639900283612487e-11,4.1657234387031145e-12,1.6056940356714977e-15,3.8080178638397779e-23,1.6056951065521423e-15,2.3653679412328607e-32,2.3390362301899701e-27,2.1675012965446341e-22,3.5915866240413848e-25,3.6891656314097869e-27,5.0016035563659884e-43,1.6953026716395253e-44
4.2968597982365825e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756301838231,0.11866996585668227,0.022821567688888562,0.0,2.2620539386766409e-35,1.910403946691266e-26,3.9301777384907756e-42,4.7685383131559772e-34,1.6919129304013292e-76,4.3695611114908305e-17,8.3913587989908517e-73,4.3692913613911985e-17,4.9183082258680853e-49,7.0747947947280692e-40,2.5405266823857649e-62,1.535102448970481e-63,2.5242789034496393e-31,9.772825662710138e-57,1.7327980112946682e-10,8.3314469841888322e-12,3.2113864044465744e-15,1.5230308395348976e-22,3.2113906894753197e-15,1.8919768593073644e-31,9.3563877828120074e-27,8.6555327074776006e-22,2.8398968943291774e-24,5.8363102573653132e-26,2.9809132302996526e-41,2.7124814795127059e-43
6.445289725811853e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756292757345,0.11866996577004074,0.0228215676868057,0.0,8.3252642598357526e-35,4.0596096177245786e-26,2.5149886840118171e-41,1.4156590243717721e-33,1.4139126018107271e-75,6.554510276701568e-17,4.7643582664776046e-72,6.5539370579175394e-17,1.8606950505810258e-48,2.6971278724267922e-39,1.8729632093326028e-61,1.1317299817696803e-62,7.217412072437989e-31,4.5589999469845964e-56,2.5991970067562228e-10,1.2497170526996017e-11,4.8170774911484105e-15,3.2361816235672414e-22,4.8170865990692555e-15,5.409349891546203e-31,1.9882680584709259e-26,1.8371791350187407e-21,8.0661431156820908e-24,2.1365316755126733e-25,1.6230591993690377e-40,1.0261863256839221e-42
1.0742149580962393e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756274595578,0.11866996559675769,0.022821567682639977,0.0,6.4038248250246781e-34,1.1223635182700772e-25,1.0097608287934217e-39,6.6312321741487286e-33,1.7668933615835e-73,1.0924813199578934e-16,1.2808920296661434e-70,1.0923228419515986e-16,1.4684766664387534e-47,2.2174698670876562e-38,1.3187065175159787e-59,7.9682220215516909e-61,3.3162325418781871e-30,6.1093448165284823e-55,4.3319949456913815e-10,2.08286176018964e-11,8.0284545362677039e-15,8.9452449876849439e-22,8.028479733230588e-15,2.4852123331669489e-30,5.4972305228015031e-26,5.0641987497433862e-21,3.6335566714107169e-23,1.6127238358340786e-24,3.7655602296555893e-39,8.0987501678664957e-42
1.4609323450597878e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756258249987,0.11866996544080294,0.022821567678890826,0.0,1.7634343441839357e-33,1.9985979074090877e-25,4.6777259284806547e-39,1.5302223139665397e-32,9.6520328953366852e-73,1.4858412641781917e-16,5.5620323828341807e-70,1.4855590619547235e-16,4.1210209408500014e-47,6.4666243028135965e-38,6.6959872192933731e-59,4.046016998001018e-60,7.4640294899853841e-30,2.0276473778409232e-54,5.8915130487394326e-10,2.8326919960652521e-11,1.0918689734477526e-14,1.592665329181251e-21,1.0918734622244006e-14,5.593283964084948e-30,9.7892387945206666e-26,9.0001139046431051e-21,8.0890558586834974e-23,4.4028640369990026e-24,1.5595519993154476e-38,2.2727713307037492e-41
