Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53),H2OX(23)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,6.1459825961654186e-73,2.1120294928624391e-42,1.7703572245094701e-24,6.9861929982740218e-53,8.6308306216091072e-37,5.3328988141391634e-85,5.2514978642820514e-14,1.0222531299852322e-71,5.2514978636718391e-14,6.2706784248426865e-49,1.5257316932010269e-50,7.4359719776775835e-71,8.6219909026743078e-72,8.2668793769004152e-37,1.4337965428185554e-56,2.8679871504166266e-12,8.4916002182262014e-14,3.3995020452044253e-16,5.3464643776564067e-26,1.9805808442424102e-25,3.399443081044922e-16,2.877339712919226e-21,4.6318231597090726e-23,1.9318478249992483e-26,1.1097466509919242e-45,6.8952435273535016e-35,1.1409639280096793e-63,5.3205489261924043e-66,1.3095436262714459e-64,8.3054289321381345e-67,1.0617363671463631e-36
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,2.5347825583828487e-70,3.3778911864988699e-41,7.1084541084894484e-24,7.2029596850718632e-51,6.904671289017294e-36,2.1976075652686984e-82,1.0503000180341146e-13,6.5424297121362774e-70,1.0503000177900293e-13,1.0033095830256624e-47,2.440109471029485e-49,1.5325299070928591e-68,1.7769642538055494e-69,6.6107744992643334e-36,4.5881534693162689e-55,5.7359767306774536e-12,1.6983207634697589e-13,6.7990682395222126e-16,2.1376397118425298e-25,7.9223239030877228e-25,6.7988305837378697e-16,1.1329343398918385e-20,3.6503712668854521e-22,2.497696672287876e-25,5.726962456773754e-44,5.5358774511890057e-34,7.302176123369843e-62,1.0974626628214999e-63,2.6989251845593475e-62,1.713561145230426e-64,8.4903682985607802e-36
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,1.1203353276833102e-67,5.4002853763055923e-40,2.8640772172242758e-23,7.9612740727981956e-49,5.5237397035570909e-35,9.7110920501807891e-80,2.1006004812529434e-13,4.1871579387622911e-68,2.100600480276603e-13,1.6052960934564387e-46,3.9007766874195894e-48,3.3866326439422193e-66,3.9267898296717761e-67,5.2842525191590639e-35,1.4682095994078893e-53,1.1471955887057029e-11,3.3966422467101613e-13,1.3598394624862617e-15,8.5429917662154646e-25,3.1689269600051749e-24,1.3597430213927423e-15,4.3938596889399021e-20,2.8357920015448364e-21,3.457641075338595e-24,3.1670256377039229e-42,4.4588895818029798e-33,4.6733938590512184e-60,2.4257031921943385e-61,5.964160184851691e-60,3.7892662272882818e-62,6.7866576264758382e-35
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,5.0877678312592594e-65,8.6265945323137814e-39,1.1608465839288416e-22,9.046250689494434e-47,4.4189927608286541e-34,4.4129919748712527e-77,4.201201407718639e-13,2.6797817925919441e-66,4.2012014038132822e-13,2.5684741422634289e-45,6.2303324289874338e-47,7.6953824194045966e-64,8.9227647437641867e-65,4.2204289751932905e-34,4.698269990850709e-52,2.2943914183247862e-11,6.7932852129754791e-13,2.7197887189077517e-15,3.4111563981068126e-24,1.2675680986011111e-23,2.7193928009719272e-15,1.656165682005043e-19,2.1440184486897442e-20,4.9147265758981377e-23,1.7997650068612231e-40,3.6116250175993991e-32,2.9909710332563198e-58,5.5082450591684484e-59,1.3552208001910565e-57,8.6141726033557943e-60,5.4203254697814861e-34
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,2.272607652529868e-62,1.3758397017312037e-37,4.7472263325471389e-22,1.0120669408396491e-44,3.535194494347048e-33,1.9750543091811719e-74,8.4024032607621524e-13,1.7150602888487609e-64,8.4024032451407698e-13,4.1095582513984593e-44,9.9338689926487247e-46,1.7219921177990004e-61,1.9966398380894245e-62,3.3652383943166242e-33,1.5034453143090995e-50,4.5887830709356267e-11,1.3586571144644523e-12,5.440065005489912e-15,1.3596538346122364e-23,5.0702497024914145e-23,5.4384118032537527e-15,5.9327320905049948e-19,1.5441931295683444e-19,6.8701354604825227e-22,1.0066211832970772e-38,2.9503875660265044e-31,1.9142193358550757e-56,1.2301680847022121e-56,3.0325522808236455e-55,1.927662927625872e-57,4.3219269402365081e-33
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,9.5497564511318559e-60,2.1873458447627807e-36,1.9613682388387069e-21,1.0672110426341545e-42,2.8281555281937611e-32,8.3341120433107628e-72,1.6804806967297458e-12,1.0976381998841275e-62,1.6804806904812279e-12,6.5752906920761778e-43,1.5784346730575467e-44,3.6326369000098816e-59,4.2120084915526599e-60,2.6745907328308738e-32,4.8110170885039592e-49,9.1775663496480062e-11,2.7173143004538733e-12,1.0882362134729242e-14,5.4005222390077285e-23,2.0280814859312109e-22,1.0875327811926288e-14,1.9566883055190415e-18,1.0274365140850648e-18,9.0405098659236592e-21,5.3044247947783517e-37,2.4345717361294595e-30,1.2250973988574122e-54,2.5842879676567626e-54,6.3972555369904645e-53,4.0651048983602164e-55,3.4348252834356722e-32
2.8560845046232673e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727665822779,0.11866996588976481,0.022821567691016301,7.82810955723982e-59,8.0262806792724011e-36,4.2410681612599337e-21,6.6281439257678369e-42,8.3960864634121286e-32,6.8041893814099024e-71,2.5207210674281042e-12,6.23206383434188e-62,2.5207210541500326e-12,2.4875655472054691e-42,5.9990012579104832e-44,2.6086984614514452e-58,3.0247588352659066e-59,7.6189591805924614e-32,2.2443274019355368e-48,1.3766349601851082e-10,4.0759714860991366e-12,1.6326567355522509e-14,1.1420612822968541e-22,4.3096460721286619e-22,1.6311122056276518e-14,3.6702525035925848e-18,2.6591394276846585e-18,3.0566159139003046e-20,2.7904473475547588e-36,7.0608855670093752e-30,6.8508463785303849e-54,1.8643959944301491e-53,4.5940327983548342e-52,2.9348747723525362e-54,9.7844129517981317e-32
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.1186699658430313,0.022821567690336973,4.1452909814641237e-58,2.0300240999848152e-35,7.3301409004440115e-21,2.6442486824434578e-41,1.8294629736939728e-31,3.3278047223630944e-70,3.360961438171246e-12,2.3967249361197309e-61,3.3609614155204943e-12,6.4751178026503132e-42,1.6086067662816845e-43,1.1566708608161967e-57,1.3411459620799678e-58,1.6015997019546423e-31,6.8339905376547389e-48,1.835513282754485e-10,5.4346286714005008e-12,2.1772795971459344e-14,1.9395657026766689e-22,7.35170660464404e-22,2.1745794767822489e-14,5.625065983660592e-18,5.1512950665332581e-18,7.2165283963669455e-20,9.9427347473792176e-36,1.5056873910507345e-29,2.3981281166429902e-53,9.1210128763640893e-53,2.0369408714572242e-51,1.4371733805965933e-53,2.0567698034027101e-31
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651645569,0.11866996574956427,0.022821567688978316,6.1632170696296442e-57,7.066173482888392e-35,1.5439843256922128e-20,2.0016194979241775e-40,5.3103661310852584e-31,3.36661014405289e-69,5.0414421797625401e-12,1.8240953625432037e-60,5.0414421328673592e-12,2.3762760916060014e-41,6.4584637929356017e-43,1.0158759997558647e-56,1.1778886458698654e-57,4.3498186108455238e-31,3.1135839072557967e-47,2.7532699216716678e-10,8.1519430411968832e-12,3.2670237721915451e-14,3.9859783320462876e-22,1.5220627485673295e-21,3.2612508740081914e-14,9.8870213786559897e-18,1.2344838519830783e-17,2.2582338652554265e-19,6.4267027413679616e-35,4.1740967259862149e-29,1.3346734628810497e-52,1.2474551926944938e-51,1.788978201949397e-50,1.9691197489504e-52,5.5858660225222431e-31
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194096,0.11866996565609725,0.02282156768761966,3.3590041866068565e-56,1.7588922988689955e-34,2.6599460597992275e-20,7.9202439643770539e-40,1.1613170808029241e-30,1.6360796987931659e-68,6.7219229215183416e-12,6.8877767788621656e-60,6.7219228417624214e-12,6.1618601380562653e-41,1.7404501572522637e-42,4.4896920702967353e-56,5.2056945428870107e-57,9.0558507155079973e-31,9.3521577561903e-47,3.671026550840434e-10,1.0869257409730597e-11,4.3575671717705417e-14,6.7315655849514871e-22,2.5886062483362276e-21,4.3475100358779948e-14,1.4544345912099029e-17,2.3128749299140685e-17,5.1699118824014315e-19,2.2225347495797617e-34,8.8300424816812808e-29,4.5621658186108932e-52,5.9731966446433561e-51,7.9063914740787831e-50,9.4434148532462349e-52,1.1628873830147442e-30
9.520281799771516e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727632742612,0.11866996556263022,0.022821567686261004,1.3889379956664929e-55,3.7172418266652193e-34,4.1058953597117689e-20,2.4776925463389509e-39,2.1787886965701154e-30,6.2531535808071535e-68,8.40240366345026e-12,2.1068309090770438e-59,8.4024035416019917e-12,1.3472760322429349e-40,3.8889599612348825e-42,1.561214211738e-55,1.8101854916400868e-56,1.6402360105176419e-30,2.3335106260490473e-46,4.5887831695644682e-10,1.3586571776913014e-11,5.448993477126332e-14,1.0210703858497723e-21,3.9547681570306272e-21,5.4333276716533604e-14,1.9409909190200112e-17,3.7919587037514932e-17,1.0092107412088963e-18,6.1947318521632574e-34,1.6224185599092267e-28,1.2793998303109867e-51,2.2497669143366932e-50,2.7492954962279214e-49,3.5617882197529407e-51,2.1062192989147042e-30
