Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,5.4241341148107482e-75,2.1120294927940582e-42,1.7634091217772029e-24,4.7810449367866922e-53,8.8482666820651425e-37,3.6428667425506774e-85,5.2514978645063693e-14,1.0480067008612579e-71,5.2514978636718391e-14,6.4286553038689273e-49,1.3441209854714764e-49,5.0825877385170216e-71,5.8932477663322145e-72,8.2668786859708171e-37,1.4699181062821245e-56,2.8679871504166266e-12,8.4916002182262014e-14,3.3994756698213168e-16,5.346464377637042e-26,1.9805808443149223e-25,3.3994689766336022e-16,3.3127029549891011e-22,6.0474973632518716e-25,1.7162201660282316e-28,9.8098928331830607e-48,6.8699671909274476e-35,1.1697081746373138e-63,8.9509083694916841e-65,1.0617363671427846e-36,6.4417419519709418e-68,4.6985268979964857e-68
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,2.6869186005586307e-72,3.3778911862754323e-41,7.0536820815146218e-24,5.920560788769244e-51,7.078620024041323e-36,1.8041371399996384e-82,1.0503000181238416e-13,6.7072525510396103e-70,1.0503000177900293e-13,1.0285858697468525e-47,2.1496722740996139e-48,1.258652195374154e-68,1.4594037935166994e-69,6.6107734094191744e-36,4.7037424065689166e-55,5.7359767306774536e-12,1.6983207634697589e-13,6.7989609621806906e-16,2.1376397118255518e-25,7.9223239036678375e-25,6.7989341653076276e-16,1.3226694447379296e-21,4.8284920438009678e-24,2.6584023012153514e-27,6.0753711059683988e-46,5.4960077205653611e-34,7.4861391934975482e-62,2.2166015136365483e-62,8.4903682984981934e-36,1.5955506522781426e-65,1.1638050662021311e-65
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,1.3488434659894368e-69,5.4002853755603519e-40,2.8215064502277041e-23,7.4301987284293755e-49,5.6628983037893951e-35,9.0559114701867009e-80,2.1006004816118522e-13,4.2926442983209216e-68,2.100600480276603e-13,1.6457380433757309e-46,3.4365252129773986e-47,3.1590029477372789e-66,3.6628539217503344e-67,5.2842508234291759e-35,1.5051979564457059e-53,1.1471955887057029e-11,3.3966422467101613e-13,1.3597951913113255e-15,8.5429917660550243e-25,3.1689269604692431e-24,1.3597844533531976e-15,5.2714768581974142e-21,3.8476563552145893e-23,4.1716996163587235e-26,3.8126530199560958e-44,4.3968553977152635e-33,4.7911298888289676e-60,5.5632841289232942e-60,6.7866576263580644e-35,4.0047624216246108e-63,2.9212512450775061e-63
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,6.7992781154338227e-67,8.6265945292731279e-39,1.1286286716921068e-22,9.3636071960091803e-47,4.5303189379780707e-34,4.5648283849707861e-77,4.201201409154276e-13,2.7472926569738878e-66,4.2012014038132812e-13,2.6331808624384238e-45,5.4890172991602604e-46,7.9618839657534637e-64,9.2317722338922534e-65,4.220426403814766e-34,4.8166319777179529e-52,2.2943914183247862e-11,6.7932852129754761e-13,2.7196016276632224e-15,3.4111563979102876e-24,1.2675680989724066e-23,2.7195585233958583e-15,2.0933840722669534e-20,3.0541454070739137e-22,6.5723003518198808e-25,2.4024508630915424e-42,3.5175603709852722e-32,3.0663216005029328e-58,1.4021539428767233e-57,5.4203254694964505e-34,1.0092681841263365e-60,7.3628125169670331e-61
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,3.4158122418053933e-64,1.3758397006329097e-37,4.5147182081047182e-22,1.1760555485846912e-44,3.6242542781792818e-33,2.2933937828746874e-74,8.4024032665046932e-13,1.7582666986800553e-64,8.4024032451407647e-13,4.2130876835139439e-44,8.7523986339271023e-45,2.0000318663106921e-61,2.3190253232274325e-62,3.3652346703475701e-33,1.5413206509370943e-50,4.5887830709356267e-11,1.3586571144644521e-12,5.4392482645912491e-15,1.3596538343815095e-23,5.0702497054616196e-23,5.4390746494502572e-15,8.2543062877588918e-20,2.4057043881180861e-21,1.0317950743620099e-23,1.5086812201504091e-40,2.8141668687314559e-31,1.9624430492555971e-56,3.5222003564801114e-55,4.3219269395664521e-33,2.5346569960691987e-58,1.8494474851429545e-58
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,1.6948721081497044e-61,2.1873458405974677e-36,1.8060435599684558e-21,1.4589582080118185e-42,2.8994014894266788e-32,1.1381190904834676e-71,1.6804806990267607e-12,1.1252895986016286e-62,1.6804806904812235e-12,6.7409335260231202e-43,1.3908696584533688e-43,4.962548680043185e-59,5.7540288370159007e-60,2.6745857279404168e-32,4.9322149461515296e-49,9.1775663496480062e-11,2.7173143004538729e-12,1.0878682581270045e-14,5.4005222362394381e-23,2.0280814883073389e-22,1.0877978848458428e-14,3.2100482752643296e-19,1.8666991230601888e-20,1.5996364518456026e-22,9.3570541011202467e-39,2.251515764384207e-30,1.2559597374619687e-54,8.7392969787954037e-53,3.4348252818290857e-32,6.2855871680708613e-56,4.5882189742809128e-56
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,8.1897611630096441e-59,3.4557872962410283e-35,7.2253312987864063e-21,1.7627199245769409e-40,2.3195178837013813e-31,5.5012594079187334e-69,3.3609614474040026e-12,7.2018384803951466e-61,3.3609614132221196e-12,1.0785470914826324e-41,2.1955270214821882e-42,1.1992916923305422e-56,1.3905590608117863e-57,2.1120334108586409e-31,1.5783014933416917e-47,1.8355132801035547e-10,5.4346286710571054e-12,2.1758159555326419e-14,2.1303248315938699e-22,8.112178322439278e-22,2.175527505825672e-14,1.2161188076725953e-18,1.4075712486178334e-19,2.414649742840227e-21,5.651387771235014e-37,1.8014831745907316e-29,8.0380926623109561e-53,2.1119600488785811e-50,2.7121956755703887e-31,1.5173164142621424e-53,1.1084724213818627e-53
5.712169059686803e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727651645569,0.11866996574956426,0.022821567688978316,6.897251420828389e-58,1.2642828028172287e-34,1.5355424566818001e-20,1.1329212585737469e-39,6.8860630750769683e-31,4.612933452339354e-68,5.0414421994053565e-12,4.088987751216541e-60,5.0414421267696188e-12,4.0803586031607689e-41,8.3194783709191691e-42,8.8754031335948767e-56,1.0290867255188433e-56,5.9943580188583053e-31,7.3627281021789778e-47,2.7532699146385874e-10,8.1519430402865015e-12,3.2638285662741648e-14,4.4837490304447408e-22,1.7238161970925494e-21,3.2632059104021721e-14,2.4906090497005234e-18,3.8918257087028732e-19,8.6471627599867927e-21,3.0926732619700359e-36,5.1515357774978164e-29,4.4949623642283669e-52,1.5629534817490893e-49,7.6974485631214872e-31,1.1281854769583662e-52,8.2439192047167705e-53
9.520281799771516e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727632742623,0.11866996556263021,0.022821567686261,1.0689390100342829e-55,9.5229998945810018e-34,4.2463224707756178e-20,4.6241757286629766e-38,3.2255678254177983e-30,5.8643865418803786e-66,8.4024037179053708e-12,1.0992271875143306e-58,8.4024035170910485e-12,3.220247651006354e-40,6.6710430715944251e-41,6.3550795749340186e-54,7.368477867159424e-55,2.6946234196531925e-30,9.8664523103013468e-46,4.5887831412937675e-10,1.3586571773265119e-11,5.440141547357347e-14,1.2098795072185311e-21,4.7656900701647224e-21,5.4383578732858474e-14,6.2992989433542979e-18,1.6253123238202289e-18,6.0689562229126388e-20,7.2914335803185419e-35,2.3679713924224654e-28,1.0342156884992615e-50,1.1190704904625794e-47,3.4598209691682537e-30,9.8430126020097805e-51,7.2021963563436068e-51
1.2924284495349153e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727615845623,0.11866996539553329,0.022821567683832044,6.6961793331869651e-55,2.5756075261174309e-33,7.5337310009971944e-20,2.0999359472162094e-37,7.3988936841970384e-30,3.1124299175089946e-65,1.1406706083286322e-11,4.7107344900251653e-58,1.1406705727059132e-11,8.9599521393023645e-40,1.9049706418617364e-40,3.1502367812301383e-53,3.6525506985808872e-54,5.9568016035190989e-30,3.2372638096234799e-45,6.2295149864622604e-10,1.8444487518564439e-11,7.3857547036740793e-14,2.1124984497233727e-21,8.4538142211314162e-21,7.3825234895794042e-14,1.0553521880760117e-17,3.452335076479601e-18,1.5905165661808649e-19,2.9707062230252891e-34,5.2986450428817969e-28,3.8948439837545682e-50,5.5471968941977407e-47,7.6478922577687173e-30,5.8082578271334482e-50,4.2505134499795094e-50
